case	selection	scope_fraction	runs	mean_gain	sample_sd	min_gain	max_gain
llama_tulu	compatibility	0.25	1	0.015237348014379704	0.0	0.015237348014379704	0.015237348014379704
llama_tulu	compatibility	0.5	1	0.01509993483955907	0.0	0.01509993483955907	0.01509993483955907
llama_tulu	high_f_high_c	0.25	1	0.0013613877844120825	0.0	0.0013613877844120825	0.0013613877844120825
llama_tulu	high_f_high_c	0.5	1	0.019346445209821095	0.0	0.019346445209821095	0.019346445209821095
llama_tulu	high_f_low_c	0.25	1	0.0036719238287743483	0.0	0.0036719238287743483	0.0036719238287743483
llama_tulu	high_f_low_c	0.5	1	0.014937587822533183	0.0	0.014937587822533183	0.014937587822533183
llama_tulu	low_f_high_c	0.25	1	0.022094154620850515	0.0	0.022094154620850515	0.022094154620850515
llama_tulu	low_f_high_c	0.5	1	0.04005427820405427	0.0	0.04005427820405427	0.04005427820405427
llama_tulu	low_f_low_c	0.25	1	0.012976679654428058	0.0	0.012976679654428058	0.012976679654428058
llama_tulu	low_f_low_c	0.5	1	0.01327643984627458	0.0	0.01327643984627458	0.01327643984627458
