base_model	task	modules	adapter_global_gamma	gamma_mean	gamma_p05	gamma_p25	gamma_median	gamma_p75	gamma_p95	gamma_min	gamma_max	gamma_iqr	fro_weighted_gamma_rmse_from_global	spearman_gamma_vs_top1_nuclear	spearman_gamma_vs_top1_energy	spearman_gamma_vs_effective_rank	spearman_gamma_vs_spectral_hhi	median_gamma_to_ideal_flat_ratio	scalar_shrink_gain	hns_gain	head_only_gain	shape_only_gain
Llama-3.1-8B-Instruct	commonsense	224	0.7652950321243399	0.7291649707048433	0.49358977712344887	0.6549141415922296	0.7521024163631477	0.8186847884950563	0.8793860777878889	0.41820922582364894	0.9256275528720082	0.16377064690282672	0.11373189771483606	-0.9733023702754646	-0.9187283792440745	0.9930269058295967	-1.0	1.0000001708305644	0.003941292985012224	-0.0007488557204154977	-0.00266077383300245	-0.006732178811003076
Llama-3.1-8B-Instruct	magicoder	224	0.6417631097300763	0.7583446777053908	0.5204455890931636	0.6878094202547271	0.7774271489937195	0.8503138329894747	0.911349052045853	0.35760475149470816	0.9512291028059555	0.16250441273474758	0.15201013666465096	-0.9853245782617982	-0.961580183642964	0.9945697202647876	-0.9999967969250483	1.000079706193294	0.04216095662902153	0.04021543133719274	0.044367467020973717	0.029965834677802006
Llama-3.1-8B-Instruct	metamath	224	0.8729477263694609	0.8653841446688383	0.7669047444973541	0.826480572150053	0.872686734914309	0.9102207141050535	0.9453314274441911	0.427491245827183	0.9633302290977953	0.08374014195500046	0.0685285274448074	-0.9549615631005767	-0.9113388853299168	0.9956224642323299	-0.9999978646166989	1.0000775845134302	0.0030326004548900665	0.03260045489006824	0.020470053070507976	0.018953752843063
Llama-3.1-8B-Instruct	tulu	224	0.8601695205672634	0.891430903439774	0.7431160340486611	0.8705883270015202	0.9087424215742821	0.9388672285377474	0.9643886930003601	0.5769612373631101	0.9789498239537929	0.06827890153622718	0.09808178366910558	-0.9656171257740765	-0.9464755498612002	0.9971001494768312	-1.0	1.000000154501845	0.018009991267614267	0.020707832994232955	0.03608259418343318	0.0204330066445918
Qwen3-8B	commonsense	252	0.6048746971985547	0.6358904646545617	0.46329378929380244	0.5703431189774223	0.6400313203621535	0.7088321180280424	0.8076405404360951	0.33583451445811713	0.8751193639033626	0.13848899905062007	0.10811699290069816	-0.9749948071444695	-0.9023150762281199	0.9852020489470691	-1.0	1.0000002754594686	0.0011836364422668222	-0.004428088724243606	-0.005212961795885929	-0.010666086863265756
Qwen3-8B	magicoder	252	0.5216498252446977	0.6071084642845369	0.42861776639141175	0.5266575661144415	0.6114081440136687	0.6836706766292165	0.7976553891710342	0.34881754092502376	0.934101258803276	0.15701311051477507	0.0949981156864242	-0.9946654188815978	-0.9646585875582933	0.9933793904000038	-0.9999985002583307	1.0001085348282217	0.004152035683780975	0.03716665084938775	0.03133007497390139	0.032172345069754194
Qwen3-8B	metamath	252	0.6088122866572805	0.6659272384395306	0.45014801975860996	0.587064084477169	0.6727682837039093	0.7552460318355751	0.8397121170274283	0.3169023253128472	0.9235437985884084	0.1681819473584062	0.13111504579708474	-0.9845384132583164	-0.9463887345404753	0.9923460683897201	-0.9999992501291652	1.0001066003237704	0.0098559514783928	0.04397270659590602	0.031084154662623265	0.038665655799848375
Qwen3-8B	tulu	252	0.7574307553399251	0.7379731346021123	0.5899336424686112	0.6812000287354094	0.7519432771303582	0.8047138070073503	0.8712491564970088	0.3165487847624888	0.9016964149485852	0.12351377827194088	0.10197181643934036	-0.9627209213213025	-0.8843699172817482	0.9903229168775679	-0.9999977503874959	1.0001045675170996	-0.05358061055776453	0.01809753675802428	-0.019808552418693504	-0.03015000199470741
