base_model,task,module,layer,module_type,dose_label,dose,lora_fro,head_fro,scalar_gamma_head_matched,suppressed_directions
Qwen3-8B,metamath,base_model.model.model.layers.1.mlp.gate_proj,1,gate_proj,1p00,1.0,2.2890453338623047,0.2930077016353607,0.12800432741641998,1
Qwen3-8B,metamath,base_model.model.model.layers.1.mlp.up_proj,1,up_proj,0p00,0.0,0.6923354864120483,0.6923354864120483,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.1.mlp.up_proj,1,up_proj,0p25,0.25,0.6923354864120483,0.5676562786102295,0.8199150562286377,3
Qwen3-8B,metamath,base_model.model.model.layers.1.mlp.up_proj,1,up_proj,0p50,0.5,0.6923354864120483,0.4470040798187256,0.6456466317176819,3
Qwen3-8B,metamath,base_model.model.model.layers.1.mlp.up_proj,1,up_proj,1p00,1.0,0.6923354864120483,0.24288272857666016,0.3508165180683136,3
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.k_proj,1,k_proj,0p00,0.0,0.44295406341552734,0.44295406341552734,1.0,5
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.k_proj,1,k_proj,0p25,0.25,0.44295406341552734,0.3796174228191376,0.8570130467414856,5
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.k_proj,1,k_proj,0p50,0.5,0.44295406341552734,0.31948772072792053,0.7212660312652588,5
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.k_proj,1,k_proj,1p00,1.0,0.44295406341552734,0.21950896084308624,0.49555695056915283,5
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.o_proj,1,o_proj,0p00,0.0,0.5290645956993103,0.5290645956993103,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.o_proj,1,o_proj,0p25,0.25,0.5290645956993103,0.44059064984321594,0.8327729105949402,3
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.o_proj,1,o_proj,0p50,0.5,0.5290645956993103,0.3570970892906189,0.6749593615531921,3
Qwen3-8B,metamath,base_model.model.model.layers.1.self_attn.o_proj,1,o_proj,1p00,1.0,0.5290645956993103,0.22776548564434052,0.43050599098205566,3
