dose_label	dose	modules	adapter_global_gamma	gamma_mean	gamma_p05	gamma_median	gamma_p95	gamma_min	gamma_max
0p00	0.0	252	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0p25	0.25	252	0.8309789895271898	0.8488030963473849	0.793889406323433	0.8471563160419464	0.9040573328733443	0.7713788151741028	0.9395805597305298
0p50	0.5	252	0.671320242327895	0.7052180443018202	0.5913302928209305	0.7021937370300293	0.8150310933589935	0.5435500741004944	0.8824501633644104
1p00	1.0	252	0.42404775926964705	0.4719548178984532	0.2498783901333809	0.4784422069787979	0.6687222689390181	0.11170347779989243	0.7852158546447754
