base	task	seed	method	checkpoint	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path
Qwen3-8B	magicoder	42	base	Qwen3-8B/magicoder/seed42	66.46341463414635	85.74677786201667	69.68576709796673	82.67503434198252	66.46341463414635	79.36919310065531	0.0	
Qwen3-8B	magicoder	43	base	Qwen3-8B/magicoder/seed43	66.46341463414635	85.74677786201667	69.68576709796673	82.67503434198252	66.46341463414635	79.36919310065531	0.0	
Qwen3-8B	magicoder	44	base	Qwen3-8B/magicoder/seed44	66.46341463414635	85.74677786201667	69.68576709796673	82.67503434198252	66.46341463414635	79.36919310065531	0.0	
Qwen3-8B	metamath	42	base	Qwen3-8B/metamath/seed42	66.46341463414635	85.74677786201667	69.68576709796673	82.67503434198252	85.74677786201667	72.94140535803187	0.0	
Qwen3-8B	metamath	43	base	Qwen3-8B/metamath/seed43	66.46341463414635	85.74677786201667	69.68576709796673	82.67503434198252	85.74677786201667	72.94140535803187	0.0	
Qwen3-8B	metamath	44	base	Qwen3-8B/metamath/seed44	66.46341463414635	85.74677786201667	69.68576709796673	82.67503434198252	85.74677786201667	72.94140535803187	0.0	
Qwen3-8B	tulu	42	base	Qwen3-8B/tulu/seed42	66.46341463414635	85.74677786201667	69.68576709796673	82.67503434198252	69.68576709796673	78.29507561271518	0.0	
Qwen3-8B	tulu	43	base	Qwen3-8B/tulu/seed43	66.46341463414635	85.74677786201667	69.68576709796673	82.67503434198252	69.68576709796673	78.29507561271518	0.0	
Qwen3-8B	tulu	44	base	Qwen3-8B/tulu/seed44	66.46341463414635	85.74677786201667	69.68576709796673	82.67503434198252	69.68576709796673	78.29507561271518	0.0	
Llama-3.1-8B-Instruct	magicoder	42	base	Llama-3.1-8B-Instruct/magicoder/seed42	52.4390243902439	62.39575435936315	62.10720887245841	71.3917020346049	52.4390243902439	65.29822175547548	0.0	
Llama-3.1-8B-Instruct	magicoder	43	base	Llama-3.1-8B-Instruct/magicoder/seed43	52.4390243902439	62.39575435936315	62.10720887245841	71.3917020346049	52.4390243902439	65.29822175547548	0.0	
Llama-3.1-8B-Instruct	magicoder	44	base	Llama-3.1-8B-Instruct/magicoder/seed44	52.4390243902439	62.39575435936315	62.10720887245841	71.3917020346049	52.4390243902439	65.29822175547548	0.0	
Llama-3.1-8B-Instruct	metamath	42	base	Llama-3.1-8B-Instruct/metamath/seed42	52.4390243902439	62.39575435936315	62.10720887245841	71.3917020346049	62.39575435936315	61.97931176576907	0.0	
Llama-3.1-8B-Instruct	metamath	43	base	Llama-3.1-8B-Instruct/metamath/seed43	52.4390243902439	62.39575435936315	62.10720887245841	71.3917020346049	62.39575435936315	61.97931176576907	0.0	
Llama-3.1-8B-Instruct	metamath	44	base	Llama-3.1-8B-Instruct/metamath/seed44	52.4390243902439	62.39575435936315	62.10720887245841	71.3917020346049	62.39575435936315	61.97931176576907	0.0	
Llama-3.1-8B-Instruct	tulu	42	base	Llama-3.1-8B-Instruct/tulu/seed42	52.4390243902439	62.39575435936315	62.10720887245841	71.3917020346049	62.10720887245841	62.07549359473732	0.0	
Llama-3.1-8B-Instruct	tulu	43	base	Llama-3.1-8B-Instruct/tulu/seed43	52.4390243902439	62.39575435936315	62.10720887245841	71.3917020346049	62.10720887245841	62.07549359473732	0.0	
Llama-3.1-8B-Instruct	tulu	44	base	Llama-3.1-8B-Instruct/tulu/seed44	52.4390243902439	62.39575435936315	62.10720887245841	71.3917020346049	62.10720887245841	62.07549359473732	0.0	
Qwen3-8B	magicoder	42	original_lora	Qwen3-8B/magicoder/seed42	65.2439024390244	83.92721758908263	65.80406654343808	83.66224435780832	65.2439024390244	77.79784283010969	1.9004202758208966	
Qwen3-8B	magicoder	42	hns_f4_s1	Qwen3-8B/magicoder/seed42	75.0	88.62774829416225	71.71903881700554	83.65273723214618	75.0	81.33317478110466	0.0	
Qwen3-8B	metamath	42	original_lora	Qwen3-8B/metamath/seed42	64.02439024390245	84.1546626231994	66.72828096118299	83.12655978192834	84.1546626231994	71.29307699567126	1.798836842342548	
Qwen3-8B	metamath	42	hns_f4_s1	Qwen3-8B/metamath/seed42	67.6829268292683	88.17285822592874	72.45841035120148	84.61988734853911	88.17285822592874	74.9204081763363	0.0	
Qwen3-8B	tulu	42	original_lora	Qwen3-8B/tulu/seed42	84.7560975609756	89.0068233510235	67.8373382624769	84.29127334064447	67.8373382624769	86.0180647508812	0.0	
Qwen3-8B	tulu	42	hns_f4_s1	Qwen3-8B/tulu/seed42	82.92682926829268	88.70356330553449	70.79482439926062	84.457699756602	70.79482439926062	85.36269744347639	0.0	
