base_model	task	module	gamma_fro	gamma_energy	gamma_fit	shape_residual_fraction	suppressed_original_energy_share	relative_distance_to_equal_spectrum	peak_gain_ratio	nuclear_relative_error	participation_rank_sigma_probabilities	hns_majorized_by_lora_tolerance_1e_6	cached_energy_consistency_relative_error
Qwen3-8B	magicoder	layers.11.self_attn.v_proj	0.5037522113493239	0.1576504979610859	0.14149928712628332	0.1944030560423703	0.9981426713839898	0.01743958173964648	0.14133690237728108	3.830999503184884e-07	4.059028873397646	True	8.300944352458593e-08
Qwen3-8B	magicoder	layers.12.mlp.down_proj	0.5810023196484346	0.23103766581634097	0.1981676623155504	0.2643012873842918	0.9960041804195234	0.014832857606728186	0.17259451545307086	6.389139628470986e-07	5.3998377290393424	True	2.2391996400729456e-08
Qwen3-8B	magicoder	layers.12.mlp.gate_proj	0.6905922668876731	0.2861750664207744	0.23299531079181196	0.33712631797235804	0.9857664428513853	0.008071205408814145	0.20567670826997322	8.350709672644285e-07	7.630173025956783	True	4.127153491416912e-08
Qwen3-8B	magicoder	layers.12.mlp.up_proj	0.692961778119759	0.2891994902687203	0.24142918308283473	0.3030775038723663	0.9898310336417188	0.014284701322285646	0.21429428380549428	8.36503257772847e-08	7.6815699354225195	True	6.440786024222686e-08
Qwen3-8B	magicoder	layers.12.self_attn.k_proj	0.7218458442240103	0.303552861721635	0.26451334954978456	0.24067704867372397	0.9912400766446108	0.013429464143905745	0.24289716407850423	7.963167814040162e-08	8.335480513641981	True	9.875816729475924e-09
Qwen3-8B	magicoder	layers.12.self_attn.o_proj	0.5828066802188472	0.20068574119682037	0.17388823412315776	0.2492292214403552	0.995693782225145	0.014491579265400754	0.16423815103676	8.990025051058836e-07	5.433466953034091	True	5.615383742447886e-08
Qwen3-8B	magicoder	layers.12.self_attn.q_proj	0.6963660925721074	0.2477462571006281	0.22468574887882936	0.17749821198057314	0.994773396369176	0.018030271050046343	0.2232351008419798	9.761919961270848e-08	7.756287926476039	True	2.4981215142266413e-08
Qwen3-8B	magicoder	layers.12.self_attn.v_proj	0.42807337743199053	0.12409887126004376	0.11392576493704033	0.15723159887508364	0.9992630414755272	0.014609622976941057	0.11238233730489024	1.4816326225908227e-06	2.9313145788024992	True	8.122767917483862e-09
Qwen3-8B	magicoder	layers.13.mlp.down_proj	0.5563303586668829	0.2374759214382374	0.1854157239035531	0.3903873657602669	0.9940879725480324	0.01717631577374366	0.15673522529605483	2.392822351371393e-08	4.950594740260092	True	4.256729086176261e-08
Qwen3-8B	magicoder	layers.13.mlp.gate_proj	0.7174667123791116	0.31610468659641605	0.2544023750623518	0.3522902218132551	0.9796169883182188	0.013164764049293275	0.2199095140493471	5.468441162115312e-07	8.234699314734328	True	1.6595528338409892e-08
Qwen3-8B	magicoder	layers.13.mlp.up_proj	0.6646177884123041	0.2662430029841448	0.2189654024564889	0.32361402587712185	0.9905499350616964	0.015070934671190944	0.1975377859693405	4.690086989889153e-07	7.0658569909708255	True	2.2364448019122366e-08
Qwen3-8B	magicoder	layers.13.self_attn.k_proj	0.802302236626305	0.38835081046776515	0.33811663339315107	0.24197306016284315	0.982576865635969	0.017535999514849562	0.3038830697934879	3.6181812856916906e-07	10.29586244734048	True	8.132698254954919e-08
