base_model	task	modules	gamma_fro_q25	gamma_fro_median	gamma_fro_q75	gamma_energy_q25	gamma_energy_median	gamma_energy_q75	gamma_fit_q25	gamma_fit_median	gamma_fit_q75	shape_residual_fraction_q25	shape_residual_fraction_median	shape_residual_fraction_q75	suppressed_original_energy_share_q25	suppressed_original_energy_share_median	suppressed_original_energy_share_q75	relative_distance_to_equal_spectrum_q25	relative_distance_to_equal_spectrum_median	relative_distance_to_equal_spectrum_q75	peak_gain_ratio_q25	peak_gain_ratio_median	peak_gain_ratio_q75	majorization_fraction
Qwen3-8B	magicoder	252	0.5266575661144415	0.6114081440136687	0.6836706766292165	0.16796433883250694	0.21882077323625398	0.27407374585494554	0.1512022494931612	0.1905438877244866	0.22709007288628982	0.17745472171556814	0.2329293886438239	0.29167251563551844	0.9906190820124219	0.9959326351023421	0.9982283788596412	0.01341508598154014	0.014746527227293263	0.016114234246700596	0.14474914394018973	0.17594083323998977	0.21108019858478763	1.0
Qwen3-8B	metamath	252	0.587064084477169	0.6727682837039093	0.7552460318355751	0.24235416491848796	0.35738625875360747	0.4868660065201463	0.1941338399456754	0.2772187887164326	0.3970622744773812	0.2851519624372707	0.3505862305190067	0.42058301432506207	0.9542919547080133	0.979968279602519	0.9931814251501544	0.013115486461737047	0.01460986052006007	0.015830205833279175	0.16907283642214035	0.2097174382743217	0.25967871763667955	1.0
Qwen3-8B	tulu	252	0.6812000287354094	0.7519432771303582	0.8047138070073503	0.42823592357069024	0.512327674755718	0.5831491753127305	0.33247968220352186	0.41502713172349903	0.47487704502384	0.27093046162945844	0.3453986856564207	0.42286754642204627	0.9261443233695692	0.9512947389438213	0.9723951066855827	0.012909431891663558	0.014454929073540016	0.01573157320527452	0.22014287675290328	0.2683888038954194	0.3121666058868988	1.0
Qwen3-8B	commonsense	252	0.5703431189774223	0.6400313203621535	0.7088321180280424	0.42141134516578843	0.5047192945678651	0.5857701951998532	0.2674343202320595	0.3514060824534628	0.427742566148429	0.42088184034404297	0.5179187605533341	0.5950059566149968	0.9334174263320556	0.9555054204943109	0.9734653871471428	0.00015013678615574043	0.0001684477781938274	0.00018540923033504952	0.16285663735560052	0.20019377192668955	0.2483929414468222	1.0
Llama-3.1-8B-Instruct	magicoder	224	0.6878094202547271	0.7774271489937195	0.8503138329894747	0.27817667875594315	0.37463492517005537	0.5089725745763515	0.23727384498788928	0.31271934667827445	0.4484027797803594	0.1963975243945672	0.23604327041113543	0.29217121337040475	0.9500683541397899	0.9720538416534639	0.9907907823479369	0.011011972296947944	0.012629393637928123	0.01456702979922091	0.20862935042945993	0.2695293751528339	0.33943612145527935	1.0
Llama-3.1-8B-Instruct	metamath	224	0.826480572150053	0.872686734914309	0.9102207141050535	0.6116909983875093	0.6749882154288536	0.7475730178684373	0.5135047106561392	0.5928114500604533	0.6790841802819638	0.167225429584583	0.21466620859624796	0.29411156205833067	0.847382909972686	0.8850464687853589	0.9153774019680232	0.01111137789904154	0.01243220965848843	0.013741317891718667	0.32731223259547976	0.39651226686613383	0.45418669752528995	1.0
Llama-3.1-8B-Instruct	tulu	224	0.8705883270015202	0.9087424215742821	0.9388672285377474	0.5808760459119118	0.7365170245874502	0.8182548218700347	0.5158133459373437	0.6767864469354539	0.768556073565617	0.11641065572614065	0.17020419076644994	0.22289949294073427	0.7975819260296226	0.8596155512535679	0.9322390580609132	0.00013259095717166425	0.00015037618694305175	0.00016564378798042688	0.35907871904109273	0.43050632148323287	0.510694663395167	1.0
Llama-3.1-8B-Instruct	commonsense	224	0.6549141415922296	0.7521024163631477	0.8186847884950563	0.4211955506559042	0.5442477865416429	0.6574035321542362	0.3135671930586605	0.43377176259897304	0.542702430551874	0.2808075246726608	0.3800236511106965	0.4544621653121592	0.9037647433218889	0.9432161233875724	0.9741205815422805	0.00014064036491592184	0.0001608729037582193	0.00018310847412604249	0.207982450753813	0.2656686393204788	0.3303679343410532	1.0
