case	contrast	left	right	left_score	right_score	delta	bootstrap_ci_low	bootstrap_ci_high	paired_permutation_p	paired_units	paired_permutation_p_holm	paired_permutation_p_bh_fdr
qwen_magicoder	vs_lora	lora	high_f_high_c_top25	0.7471173009395464	0.7560026573028376	0.00888535636329113	-0.018553668026952644	0.0369056657492645	0.5714142858571414	421	1.0	0.8790989013186791
qwen_magicoder	vs_lora	lora	high_f_low_c_top25	0.7471173009395464	0.7496441112271045	0.002526810287558079	-0.02491221410268577	0.02944386447755528	0.8868311316886831	421	1.0	0.969310996545207
qwen_magicoder	vs_lora	lora	low_f_high_c_top25	0.7471173009395464	0.7571059124988138	0.009988611559267335	-0.01220164657872259	0.03327560026573029	0.4401755982440176	421	1.0	0.7976190508365186
qwen_magicoder	vs_lora	lora	low_f_low_c_top25	0.7471173009395464	0.746856315839423	-0.0002609851001234009	-0.023810441776596754	0.0236072886020689	1.0	421	1.0	1.0
qwen_magicoder	vs_lora	lora	compatibility_top25	0.7471173009395464	0.7540571320110088	0.0069398310714623435	-0.019395938122805354	0.034117870361582994	0.6548234517654824	421	1.0	0.9137071419983476
qwen_magicoder	vs_lora	lora	high_f_high_c_top50	0.7471173009395464	0.7534758470152796	0.0063585460757331624	-0.028282777355983675	0.042101641833538955	0.7351126488735112	421	1.0	0.9188908110918891
qwen_magicoder	vs_lora	lora	high_f_low_c_top50	0.7471173009395464	0.755160387206985	0.008043086267438548	-0.023868273702192275	0.039954446237069376	0.6511334886651133	421	1.0	0.9137071419983476
qwen_magicoder	vs_lora	lora	low_f_high_c_top50	0.7471173009395464	0.7445904906519882	-0.00252681028755819	-0.035541425453165035	0.03048780487804878	0.9057909420905791	421	1.0	0.969310996545207
qwen_magicoder	vs_lora	lora	low_f_low_c_top50	0.7471173009395464	0.7662522539622283	0.019134953022681866	-0.012195121951219513	0.051313822719939166	0.2602173978260217	421	1.0	0.7064929350706494
qwen_magicoder	vs_lora	lora	compatibility_top50	0.7471173009395464	0.7584701527949131	0.011352851855366719	-0.019977223118534688	0.04294391192939167	0.4918650813491865	421	1.0	0.7976190508365186
qwen_magicoder	C_at_high_F	high_f_low_c_top25	high_f_high_c_top25	0.7496441112271045	0.7560026573028376	0.006358546075733051	-0.018873967922558604	0.031009775078295533	0.6282637173628264	421	1.0	0.9137071419983476
qwen_magicoder	C_at_low_F	low_f_low_c_top25	low_f_high_c_top25	0.746856315839423	0.7571059124988138	0.010249596659390736	-0.010830881655120052	0.03159106007402487	0.36313636863631366	421	1.0	0.7976190508365186
qwen_magicoder	F_at_high_C	low_f_high_c_top25	high_f_high_c_top25	0.7571059124988138	0.7560026573028376	-0.001103255195976205	-0.018031697826705894	0.01524390243902439	0.9832701672983271	421	1.0	0.9999357633542308
qwen_magicoder	F_at_low_C	low_f_low_c_top25	high_f_low_c_top25	0.746856315839423	0.7496441112271045	0.00278779538768148	-0.01745041283097656	0.0236072886020689	0.8474415255847442	421	1.0	0.969310996545207
qwen_magicoder	F_added_to_C	compatibility_top25	high_f_high_c_top25	0.7540571320110088	0.7560026573028376	0.0019455252918287869	-0.009988611559267344	0.013879662142924932	0.9214507854921451	421	1.0	0.969310996545207
qwen_magicoder	C_at_high_F	high_f_low_c_top50	high_f_high_c_top50	0.755160387206985	0.7534758470152796	-0.001684540191705386	-0.026395083989750403	0.023547973806586315	0.9370006299937	421	1.0	0.969310996545207
qwen_magicoder	C_at_low_F	low_f_low_c_top50	low_f_high_c_top50	0.7662522539622283	0.7445904906519882	-0.021661763310240056	-0.04468776691657968	0.0002609851001233749	0.07088929110708893	421	1.0	0.531669683303167
qwen_magicoder	F_at_high_C	low_f_high_c_top50	high_f_high_c_top50	0.7445904906519882	0.7534758470152796	0.008885356363291352	-0.0130439166745753	0.03165037486950745	0.4801751982480175	421	1.0	0.7976190508365186
qwen_magicoder	F_at_low_C	low_f_low_c_top50	high_f_low_c_top50	0.7662522539622283	0.755160387206985	-0.011091866755243318	-0.035482110657682454	0.013037392047072221	0.4033359666403336	421	1.0	0.7976190508365186
qwen_magicoder	F_added_to_C	compatibility_top50	high_f_high_c_top50	0.7584701527949131	0.7534758470152796	-0.004994305779633557	-0.024710543798044986	0.01440163234317168	0.6909730902690973	421	1.0	0.9173647393960842
qwen_commonsense	vs_lora	lora	high_f_high_c_top25	0.9078089686538365	0.9075939555949657	-0.00021501305887083877	-0.0025162084438276255	0.0021017034799690865	0.8556914430855691	22419	1.0	0.969310996545207
qwen_commonsense	vs_lora	lora	high_f_low_c_top25	0.9078089686538365	0.9065266409485697	-0.001282327705266817	-0.0035977842724787905	0.0010530387837014946	0.2729472705272947	22419	1.0	0.7064929350706494
qwen_commonsense	vs_lora	lora	low_f_high_c_top25	0.9078089686538365	0.9059035887258224	-0.0019053799280140948	-0.004340774074842548	0.0005996762268337824	0.13315866841331586	22419	1.0	0.6751317102213593
qwen_commonsense	vs_lora	lora	low_f_low_c_top25	0.9078089686538365	0.9068968313120438	-0.0009121373417927403	-0.0032505434766844617	0.001365546710992931	0.44795552044479553	22419	1.0	0.7976190508365186
qwen_commonsense	vs_lora	lora	compatibility_top25	0.9078089686538365	0.9065117303302743	-0.001297238323562211	-0.003580727371256834	0.0009430902089378593	0.2698273017269827	22419	1.0	0.7064929350706494
qwen_commonsense	vs_lora	lora	high_f_high_c_top50	0.9078089686538365	0.9054115581112409	-0.0023974105425956793	-0.005358190640645201	0.00043977296881343914	0.1025889741102589	22419	1.0	0.6751317102213593
qwen_commonsense	vs_lora	lora	high_f_low_c_top50	0.9078089686538365	0.9072962756409901	-0.0005126930128463991	-0.00354779363291674	0.0024136228438709803	0.7345726542734573	22419	1.0	0.9188908110918891
qwen_commonsense	vs_lora	lora	low_f_high_c_top50	0.9078089686538365	0.9042570079079688	-0.0035519607458677216	-0.006564473597357264	-0.0006104840259003547	0.017619823801761983	22419	1.0	0.35239647603523966
qwen_commonsense	vs_lora	lora	low_f_low_c_top50	0.9078089686538365	0.9058793849577355	-0.0019295836961010782	-0.004832649457270005	0.0008028864674099375	0.18327816721832782	22419	1.0	0.7064929350706494
qwen_commonsense	vs_lora	lora	compatibility_top50	0.9078089686538365	0.906287294491797	-0.0015216741620395213	-0.0043210096127725825	0.0011967287316856478	0.28259717402825973	22419	1.0	0.7064929350706494
qwen_commonsense	C_at_high_F	high_f_low_c_top25	high_f_high_c_top25	0.9065266409485697	0.9075939555949657	0.0010673146463959782	-0.0016088740943750804	0.0037796066478564803	0.43450565494345056	22419	1.0	0.7976190508365186
qwen_commonsense	C_at_low_F	low_f_low_c_top25	low_f_high_c_top25	0.9068968313120438	0.9059035887258224	-0.0009932425862213545	-0.003746919262095419	0.0017357758831661506	0.4849851501484985	22419	1.0	0.7976190508365186
qwen_commonsense	F_at_high_C	low_f_high_c_top25	high_f_high_c_top25	0.9059035887258224	0.9075939555949657	0.001690366869143256	-0.0010562250837450374	0.004537122855839608	0.23476765232347677	22419	1.0	0.7064929350706494
qwen_commonsense	F_at_low_C	low_f_low_c_top25	high_f_low_c_top25	0.9068968313120438	0.9065266409485697	-0.00037019036347407663	-0.0030498985458952107	0.002238943921204059	0.7877521224787752	22419	1.0	0.9645944356882963
qwen_commonsense	F_added_to_C	compatibility_top25	high_f_high_c_top25	0.9065117303302743	0.9075939555949657	0.0010822252646913721	-0.0011649797627986981	0.003421186977405612	0.3573464265357346	22419	1.0	0.7976190508365186
qwen_commonsense	C_at_high_F	high_f_low_c_top50	high_f_high_c_top50	0.9072962756409901	0.9054115581112409	-0.0018847175297492802	-0.004800202594166648	0.0009596115182933566	0.1985980140198598	22419	1.0	0.7064929350706494
qwen_commonsense	C_at_low_F	low_f_low_c_top50	low_f_high_c_top50	0.9058793849577355	0.9042570079079688	-0.0016223770497666434	-0.0042421904080329805	0.0009779990418809508	0.22711772882271178	22419	1.0	0.7064929350706494
