method	name	n	target	target_gain_lora	target_gain_hns
original_lora	LoRA	6	68.56103377869056	0.0	-3.955451938782371
hns_f4_s1	HNS α=0 (4+1)	6	72.51648571747293	3.955451938782371	0.0
functional_hns_a05	Functional-HNS α=0.5	6	72.07472823611681	3.513694457426258	-0.44175748135611315
functional_hns_a10	Functional-HNS α=1	6	71.81882864662394	3.257794867933388	-0.6976570708489831
functional_flat	Protected Exact Functional Flat	6	71.63428726056357	3.0732534818730115	-0.8821984569093596
