method	name	n	target	off_score	forgetting_gap	target_gain_lora	target_gain_hns	off_score_gain_lora	off_score_gain_hns	fg_reduction_lora	fg_reduction_hns	functional_pr	cov_functional_pr	functional_energy_ratio	target_gain_lora_wtl	target_gain_hns_wtl	off_score_gain_lora_wtl	off_score_gain_hns_wtl	fg_reduction_lora_wtl	fg_reduction_hns_wtl	pareto_vs_hns
original_lora	LoRA	6	68.56103377869056	69.47599079608159	2.54323441736522	0.0	-3.955451938782371	0.0	-3.187442137149862	0.0	-2.0475790812910333	2.1879580455826875	1.9875691343210673	1.0	[0, 6, 0]	[0, 0, 6]	[0, 6, 0]	[1, 0, 5]	[0, 6, 0]	[0, 1, 5]	0
hns_f4_s1	HNS α=0 (4+1)	6	72.51648571747293	72.66343293323145	0.4956553360741868	3.955451938782371	0.0	3.187442137149862	0.0	2.0475790812910333	0.0	8.031323655463144	6.068303724764369	0.30478099913037116	[6, 0, 0]	[0, 6, 0]	[5, 0, 1]	[0, 6, 0]	[5, 1, 0]	[0, 6, 0]	0
functional_hns_a05	Functional-HNS α=0.5	6	72.07472823611681	72.42097746877491	0.4077862119533854	3.513694457426258	-0.44175748135611315	2.9449866726933216	-0.24245546445654043	2.135448205411835	0.08786912412080146	13.055029066145462	9.327361882018913	0.24494974451828033	[6, 0, 0]	[4, 0, 2]	[5, 0, 1]	[3, 0, 3]	[5, 1, 0]	[2, 3, 1]	3
functional_hns_a10	Functional-HNS α=1	6	71.81882864662394	72.11711304405236	0.47291376443027666	3.257794867933388	-0.6976570708489831	2.641122247970767	-0.5463198891790952	2.0703206529349436	0.02274157164391019	15.981911955132789	12.293184990573124	0.2250482735429916	[6, 0, 0]	[2, 1, 3]	[5, 0, 1]	[1, 0, 5]	[5, 1, 0]	[1, 3, 2]	0
functional_flat	Protected Exact Functional Flat	6	71.63428726056357	72.097897822143	0.5026297718975228	3.0732534818730115	-0.8821984569093596	2.6219070260614097	-0.5655351110884522	2.0406046454676976	-0.0069744358233359005	15.999999999999963	12.345254489929587	0.22415914650276852	[6, 0, 0]	[2, 1, 3]	[5, 0, 1]	[2, 0, 4]	[5, 1, 0]	[1, 3, 2]	1
