checkpoint	cohort	label	feature	previous	recollected	difference
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_erank	9.97999	9.98001	1.9999999999242846e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_top1	0.31066	0.31066	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_erank_iqr	4.85446	4.85456	9.999999999976694e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_attn_mlp_gap	2.38241	2.38244	2.9999999999752447e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_energy_ratio	0.37548	0.37548	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	gamma_functional	0.30106	0.30106	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	eta_functional	0.3571	0.3571	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_participation	6.61039	6.61031	-7.999999999963592e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_erank	9.97999	9.98001	1.9999999999242846e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_top1	0.31066	0.31066	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_erank_iqr	4.85446	4.85456	9.999999999976694e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_attn_mlp_gap	2.38241	2.38244	2.9999999999752447e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_energy_ratio	0.21388	0.21388	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	gamma_functional	0.15742	0.15742	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	eta_functional	0.45825	0.45825	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_participation	6.78533	6.78537	4.000000000026205e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_erank	10.06368	10.06368	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_top1	0.30485	0.30485	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_erank_iqr	5.01265	5.01266	1.0000000000509601e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_attn_mlp_gap	2.18313	2.18307	-5.999999999994898e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_energy_ratio	0.21427	0.21427	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	gamma_functional	0.15821	0.15821	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	eta_functional	0.45482	0.45482	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_participation	2.20155	2.2015	-5.000000000032756e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_erank	3.24083	3.24081	-1.9999999999686935e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_top1	0.63866	0.63866	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_erank_iqr	1.74044	1.74039	-4.999999999988347e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_attn_mlp_gap	0.98213	0.9821	-2.999999999997449e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_energy_ratio	1.0	1.0	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	gamma_functional	1.0	1.0	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	eta_functional	0.0	0.0	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_participation	9.90412	9.90401	-0.00011000000000116472
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_erank	12.45118	12.45119	9.999999999621423e-06
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_top1	0.19962	0.19962	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_erank_iqr	2.6568	2.65712	0.00031999999999987594
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_attn_mlp_gap	0.73531	0.7352	-0.0001100000000000545
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_energy_ratio	0.57899	0.57897	-2.0000000000020002e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	gamma_functional	0.45641	0.4564	-1.0000000000010001e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	eta_functional	0.3786	0.37859	-1.0000000000010001e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_participation	9.90412	9.90401	-0.00011000000000116472
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_erank	12.45118	12.45119	9.999999999621423e-06
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_top1	0.19962	0.19962	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_erank_iqr	2.6568	2.65712	0.00031999999999987594
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_attn_mlp_gap	0.73531	0.7352	-0.0001100000000000545
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_energy_ratio	0.42477	0.42476	-9.99999999995449e-06
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	gamma_functional	0.33019	0.33019	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	eta_functional	0.39574	0.39573	-9.99999999995449e-06
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_participation	10.02516	10.02504	-0.00011999999999900979
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_erank	12.47275	12.47275	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_top1	0.19532	0.19532	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_erank_iqr	2.70957	2.7095	-7.00000000000145e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_attn_mlp_gap	0.74391	0.74378	-0.00012999999999996348
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_energy_ratio	0.42299	0.42299	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	gamma_functional	0.32751	0.3275	-1.0000000000010001e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	eta_functional	0.40052	0.40052	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_participation	1.25469	1.25468	-1.0000000000065512e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_erank	1.69406	1.69405	-9.999999999843467e-06
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_top1	0.89177	0.89177	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_erank_iqr	1.31641	1.31636	-5.0000000000105516e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_attn_mlp_gap	0.87294	0.87291	-3.0000000000085514e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_energy_ratio	1.0	1.0	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	gamma_functional	1.0	1.0	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	eta_functional	0.0	0.0	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_participation	4.56508	4.56515	7.00000000000145e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_erank	8.60288	8.6028	-8.00000000005241e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_top1	0.43384	0.43384	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_erank_iqr	5.62326	5.62324	-2.0000000000131024e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_attn_mlp_gap	3.22678	3.22671	-7.00000000000145e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_energy_ratio	0.29886	0.29886	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	gamma_functional	0.27181	0.27181	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	eta_functional	0.17284	0.17284	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_participation	4.56508	4.56515	7.00000000000145e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_erank	8.60288	8.6028	-8.00000000005241e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_top1	0.43384	0.43384	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_erank_iqr	5.62326	5.62324	-2.0000000000131024e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_attn_mlp_gap	3.22678	3.22671	-7.00000000000145e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_energy_ratio	0.15843	0.15843	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	gamma_functional	0.13571	0.13571	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	eta_functional	0.26626	0.26626	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_participation	4.77133	4.77137	4.000000000026205e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_erank	8.73482	8.73482	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_top1	0.42645	0.42644	-1.0000000000010001e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_erank_iqr	5.69185	5.69171	-0.000140000000000029
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_attn_mlp_gap	3.15161	3.15154	-7.00000000000145e-05
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_energy_ratio	0.15976	0.15976	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	gamma_functional	0.13763	0.13763	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	eta_functional	0.25784	0.25784	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_participation	3.43719	3.4372	9.999999999621423e-06
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_erank	5.43219	5.43222	2.9999999999752447e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_top1	0.47781	0.47781	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_erank_iqr	2.93663	2.9366	-3.0000000000196536e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_attn_mlp_gap	0.59572	0.59573	9.99999999995449e-06
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_energy_ratio	1.0	1.0	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	gamma_functional	1.0	1.0	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	eta_functional	0.0	0.0	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_participation	11.91938	11.91933	-4.999999999988347e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_erank	13.88741	13.88745	4.000000000026205e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_top1	0.1635	0.1635	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_erank_iqr	1.77823	1.77825	2.0000000000131024e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_attn_mlp_gap	-0.35194	-0.35194	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_energy_ratio	0.64024	0.64024	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	gamma_functional	0.54245	0.54245	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	eta_functional	0.28214	0.28214	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_participation	11.91938	11.91933	-4.999999999988347e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_erank	13.88741	13.88745	4.000000000026205e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_top1	0.1635	0.1635	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_erank_iqr	1.77823	1.77825	2.0000000000131024e-05
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_attn_mlp_gap	-0.35194	-0.35194	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_energy_ratio	0.54596	0.54596	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	gamma_functional	0.45727	0.45727	0.0
Llama-3.1-8B-Instruct/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	eta_functional	0.29852	0.29852	0.0
