cohort	model	split	rows	clusters	normalized_mse	zero_normalized_mse	train_mean_normalized_mse	feature_selection	skill_vs_zero	skill_vs_train_mean	target_gain_rmse	target_gain_r2	target_gain_pearson	forgetting_reduction_rmse	forgetting_reduction_r2	forgetting_reduction_pearson
joint_flat_hns	single	seed	54	18	1.437612792896657	3.080280441643781	1.5474165768378052	{'erank_iqr': 2, 'functional_energy_ratio': 1}	0.5332850952592225	0.07095942074340167	3.1098819715039507	0.15079692432263447	0.388892621872844	2.2351775104512654	-0.05732269475533869	0.103881008482877
joint_flat_hns	single	base	54	18	9.245892595561386	7.511226968399229	4.875171192349731	{'erank_iqr': 1, 'functional_erank_iqr': 1}	-0.23094304491931017	-0.8965267537825803	6.9196345790187594	-3.204264838382006	-0.49746682371464906	4.641434315325888	-3.5591925422914024	0.17825275643440686
joint_flat_hns	single	train_task	54	18	6.148461770596026	7.856768656881061	4.668797815595934	{'functional_participation': 1, 'functional_energy_ratio': 1, 'functional_erank': 1}	0.2174312317047642	-0.3169261153390135	4.026850577260123	-0.42381896876704594	-0.526605562998096	3.3502398078367714	-1.375392086443905	-0.5430680237395814
joint_flat_hns	shape_plus_strength	seed	54	18	1.2464489024440195	3.080280441643781	1.5474165768378052	{'functional_participation+functional_energy_ratio': 1, 'functional_cov_erank+functional_energy_ratio': 2}	0.5953456426912686	0.1944968658722932	2.494460288518832	0.45364246881949777	0.6780689390772789	2.2758980055657747	-0.09619825521458525	0.2544791755900218
joint_flat_hns	shape_plus_strength	base	54	18	8.12067157627482	7.511226968399229	4.875171192349731	{'erank_iqr+fro_ratio': 1, 'functional_cov_participation+functional_energy_ratio': 1}	-0.08113782347938736	-0.6657202908111264	6.204814340381388	-2.3805030128731985	-0.5942557639466245	3.299049021554486	-1.3033559330177034	0.224781147058245
joint_flat_hns	shape_plus_strength	train_task	54	18	5.234020135993783	7.856768656881061	4.668797815595934	{'functional_erank_iqr+functional_energy_ratio': 1, 'functional_participation+functional_energy_ratio': 1, 'functional_cov_erank+functional_energy_ratio': 1}	0.3338202555563655	-0.12106378188186806	4.27446247339548	-0.6043043548422311	0.03721827078930818	3.446294210374053	-1.5135539829424105	-0.30708279092478186
hns_grid_target	single	seed	162	18	0.9633338835117843	2.7832491803851753	1.1513285574586558	{'fro_ratio': 3}	0.6538815531498807	0.16328499169849042	2.9497509349574784	0.14916925446328566	0.4543556076526081			
hns_grid_target	single	base	162	18	11.815241043031065	10.213566115776343	6.779864883113807	{'erank_iqr': 1, 'functional_erank': 1}	-0.15681838342248566	-0.742695650537013	6.436692684068691	-3.0513338178176665	-0.6206422157769693			
hns_grid_target	single	train_task	162	18	4.034077934565382	8.203843694807992	4.232968307612652	{'erank_iqr': 1, 'fro_ratio': 2}	0.5082697715074155	0.04698602932830409	3.3647712771739835	-0.107091652968903	0.19375572361751012			
hns_grid_target	shape_plus_strength	seed	162	18	0.7696540199443892	2.7832491803851753	1.1513285574586558	{'erank_iqr+fro_ratio': 1, 'erank_depth_slope+fro_ratio': 2}	0.7234692368299283	0.3315079219060998	2.7628100517072545	0.2535950085487422	0.6207715941028851			
