cohort	outcome	feature	family	sources	raw_spearman	within_base_spearman	within_base_task_spearman	within_base_task_pearson	permutation_p	exact_seed_permutations	fdr_q
source18	hns_forgetting_reduction	erank_energy	source	18	-0.17738827818950087	-0.6134670389756931	0.09128709291752768	0.23124715002929444	0.8868312757201646	46656	0.9550490661601773
source18	target	entropy_gap	source	18	0.12403115681897885	-0.4151025494769678	0.4008918628686366	-0.06574759215202641	0.18964334705075445	46656	0.8850022862368541
source18	off_score	entropy_gap	source	18	0.4427244582043343	-0.4	0.5000000000000001	0.46578933153388136	0.1143261316872428	46656	0.21825897867564537
source18	forgetting_gap	entropy_gap	source	18	0.11722149377434854	0.6134670389756931	-0.3651483716701107	-0.45980601974925867	0.2824074074074074	46656	0.5391414141414141
source18	hns_target_gain	entropy_gap	source	18	0.4276861786284517	0.020920685218893075	-0.13055824196677338	-0.21617382802769966	0.7165637860082305	46656	0.9511442336645588
source18	hns_off_gain	entropy_gap	source	18	0.27554179566563464	0.5416666666666666	-0.33333333333333337	-0.6054877401120256	0.3191872427983539	46656	0.6383744855967078
source18	hns_forgetting_reduction	entropy_gap	source	18	0.17738827818950087	0.6134670389756931	-0.09128709291752768	-0.31367681624792676	0.8868312757201646	46656	0.9550490661601773
source18	target	hill_tail_contrast	source	18	0.5116285218782878	0.20126184217065105	-0.0890870806374748	-0.21088870195794773	0.8209876543209876	46656	0.9319319319319319
source18	off_score	hill_tail_contrast	source	18	0.5128998968008255	-0.6416666666666667	0.5000000000000001	0.2479146713353998	0.1143261316872428	46656	0.21825897867564537
source18	forgetting_gap	hill_tail_contrast	source	18	-0.05083055924728388	0.5126231421577709	-0.3651483716701107	-0.2023871627900951	0.2824074074074074	46656	0.5391414141414141
source18	hns_target_gain	hill_tail_contrast	source	18	0.5867771726110159	-0.004184137043778615	0.04351941398892446	-0.26057353818417817	0.9284979423868313	46656	0.9511442336645588
source18	hns_off_gain	hill_tail_contrast	source	18	0.12693498452012383	0.5083333333333333	-0.5833333333333334	-0.34838911465631084	0.05757030178326475	46656	0.6002121913580247
