base	train_task	method	target_score	off_task_macro	off_task_vs_base	clipped_forgetting_gap	score_magicoder	score_metamath	score_tulu	score_commonsense
Qwen3-8B	magicoder	common_hns	0.7621951219512195	0.8148485172872996	0.01824769735939395	0.0	0.7621951219512195	0.8938589840788476	0.7153419593345656	0.8353446084484856
Qwen3-8B	magicoder	common_lora	0.6707317073170732	0.7771661244775817	-0.019434695450323947	0.02281176996520362	0.6707317073170732	0.8400303260045489	0.6543438077634011	0.8371242396647951
Qwen3-8B	magicoder	common_per_module	0.7439024390243902	0.8015784878568278	0.004977667928922107	0.0005054334091483629	0.7439024390243902	0.8551933282789992	0.7079482439926063	0.8415938912988777
Qwen3-8B	magicoder	global_0p25	0.75	0.8076096797354557	0.011008859807550139	0.001848428835489857	0.75	0.8847611827141774	0.7005545286506469	0.837513327841543
Qwen3-8B	magicoder	global_0p40	0.7621951219512195	0.8112662342718636	0.014665414343958108	0.0	0.7621951219512195	0.8673237300985596	0.7245841035120147	0.8418908692050169
Qwen3-8B	magicoder	global_0p55	0.7195121951219512	0.7996990883834464	0.0030982684555407682	0.0018797264680341375	0.7195121951219512	0.8529188779378317	0.7042513863216266	0.8419270008908808
Qwen3-8B	magicoder	global_0p70	0.6951219512195121	0.7949569875968691	-0.0016438323310366358	0.00581248420520597	0.6951219512195121	0.8392721758908264	0.7060998151571165	0.8394989717426641
Qwen3-8B	magicoder	global_0p85	0.6707317073170732	0.7845324516004655	-0.012068368327440182	0.015480649888332865	0.6707317073170732	0.8324488248673237	0.6839186691312384	0.8372298608028341
Qwen3-8B	magicoder	original_hns	0.75	0.8126474370910541	0.016046617163148518	0.0	0.75	0.88855193328279	0.7134935304990758	0.8358968474912966
Qwen3-8B	magicoder	original_lora	0.6646341463414634	0.7806590237960623	-0.01594179613184336	0.019225621830238866	0.6646341463414634	0.8415466262319939	0.6635859519408502	0.8368444932153426
Qwen3-8B	metamath	common_hns	0.8809704321455648	0.752542730595458	0.019967071389212537	0.0	0.6829268292682927	0.8809704321455648	0.7282809611829945	0.8464204013350864
Qwen3-8B	metamath	common_lora	0.8438210765731615	0.717299185721724	-0.015276473484521325	0.016756082533098942	0.6402439024390244	0.8438210765731615	0.6802218114602587	0.8314318432658889
Qwen3-8B	metamath	common_per_module	0.8476118271417741	0.7360737376838401	0.003498078477594794	0.0012322858903265714	0.6646341463414634	0.8476118271417741	0.7024029574861368	0.8411841092239202
Qwen3-8B	metamath	global_0p25	0.8786959818043972	0.7325586588973555	-1.7000308889810373e-05	0.008130081300813016	0.6402439024390244	0.8786959818043972	0.7153419593345656	0.8420901149184766
Qwen3-8B	metamath	global_0p40	0.8741470811220622	0.7388657297940133	0.006290070587767982	0.0	0.6646341463414634	0.8741470811220622	0.7079482439926063	0.8440147990479703
Qwen3-8B	metamath	global_0p55	0.8582259287338894	0.7287398989320523	-0.0038357602741931527	0.008994184211712756	0.6524390243902439	0.8582259287338894	0.6913123844731978	0.8424682879327149
Qwen3-8B	metamath	global_0p70	0.8597422289613343	0.7384645209662937	0.005888861760048436	0.002464571780653143	0.676829268292683	0.8597422289613343	0.6987060998151571	0.8398581947910413
Qwen3-8B	metamath	global_0p85	0.8551933282789992	0.7254130614948971	-0.007162597711348195	0.01022647010203929	0.6524390243902439	0.8551933282789992	0.6876155268022182	0.8361846332922294
Qwen3-8B	metamath	original_hns	0.8817285822592873	0.7503947456054757	0.017819086399230355	0.0	0.676829268292683	0.8817285822592873	0.7282809611829945	0.8460740073407497
Qwen3-8B	metamath	original_lora	0.8415466262319939	0.7160339635681329	-0.016541695638112475	0.017988368423425476	0.6402439024390244	0.8415466262319939	0.6765249537892791	0.8313330344760951
Qwen3-8B	tulu	common_hns	0.7005545286506469	0.8546677464826135	0.07188881615992548	0.0	0.8292682926829268	0.8893100833965125	0.7005545286506469	0.845424863368401
Qwen3-8B	tulu	common_lora	0.6931608133086876	0.8589396331944661	0.07616070287177816	0.0	0.8475609756097561	0.8855193328279	0.6931608133086876	0.8437385911457422
Qwen3-8B	tulu	common_per_module	0.6950092421441775	0.8512733747120126	0.06849444438932469	0.0	0.823170731707317	0.8870356330553449	0.6950092421441775	0.8436137593733759
Qwen3-8B	tulu	global_0p25	0.7245841035120147	0.8495915477245123	0.06681261740182436	0.0	0.8170731707317073	0.8877937831690674	0.7245841035120147	0.8439076892727622
Qwen3-8B	tulu	global_0p40	0.7264325323475046	0.8528593966931606	0.07008046637047254	0.0	0.823170731707317	0.890068233510235	0.7264325323475046	0.8453392248619294
Qwen3-8B	tulu	global_0p55	0.7245841035120147	0.8536733759475461	0.07089444562485818	0.0	0.8292682926829268	0.8877937831690674	0.7245841035120147	0.8439580519906441
Qwen3-8B	tulu	global_0p70	0.6987060998151571	0.8537040003262799	0.07092507000359201	0.0	0.8292682926829268	0.88855193328279	0.6987060998151571	0.843291775013123
Qwen3-8B	tulu	global_0p85	0.6913123844731978	0.8671697971963762	0.08439086687368828	0.0	0.8658536585365854	0.8915845337376801	0.6913123844731978	0.8440711993148632
Qwen3-8B	tulu	original_hns	0.711645101663586	0.8512464684319497	0.06846753810926172	0.0	0.823170731707317	0.8855193328279	0.711645101663586	0.845049340760632
Qwen3-8B	tulu	original_lora	0.6765249537892791	0.8625216361344963	0.07974270581180831	0.0	0.8536585365853658	0.8908263836239575	0.6765249537892791	0.8430799881941654
Qwen3-8B	commonsense	common_hns	0.9030199916293553	0.3242167214876545	-0.4182644751806868	0.4182644751806868	0.04878048780487805	0.25473843821076575	0.6691312384473198	0.9030199916293553
Qwen3-8B	commonsense	common_lora	0.9076892858307891	0.2849132240381723	-0.4575679726301691	0.4575679726301691	0.08536585365853659	0.19636087945413191	0.5730129390018485	0.9076892858307891
Qwen3-8B	commonsense	common_per_module	0.909476884976437	0.4977849832591847	-0.2446962134091568	0.2446962134091568	0.04878048780487805	0.7846853677028052	0.6598890942698706	0.909476884976437
Qwen3-8B	commonsense	global_0p25	0.8891071998877824	0.6269998369720334	-0.11548135969630795	0.13821138211382114	0.25	0.9082638362395754	0.722735674676525	0.8891071998877824
Qwen3-8B	commonsense	global_0p40	0.9014179709902901	0.5752264973891998	-0.16725469927914163	0.19050463609996549	0.10975609756097561	0.9264594389689158	0.6894639556377079	0.9014179709902901
Qwen3-8B	commonsense	global_0p55	0.9069973507351898	0.5423543842896047	-0.20012681237873667	0.20947733044798103	0.07317073170731707	0.8847611827141774	0.6691312384473198	0.9069973507351898
Qwen3-8B	commonsense	global_0p70	0.9100986392880687	0.4395541884099477	-0.3029270082583937	0.3029270082583937	0.06097560975609756	0.6125852918877938	0.6451016635859519	0.9100986392880687
Qwen3-8B	commonsense	global_0p85	0.9082816422351991	0.32880040333043725	-0.4136807933379041	0.4136807933379041	0.07926829268292683	0.2805155420773313	0.6266173752310537	0.9082816422351991
Qwen3-8B	commonsense	original_hns	0.9038054577818914	0.3211673043943824	-0.42131389227395893	0.42131389227395893	0.04878048780487805	0.2585291887793783	0.6561922365988909	0.9038054577818914
Qwen3-8B	commonsense	original_lora	0.9078616627399869	0.28966303284860284	-0.4528181638197386	0.4528181638197386	0.09146341463414634	0.19711902956785443	0.5804066543438078	0.9078616627399869
Llama-3.1-8B-Instruct	magicoder	common_hns	0.5304878048780488	0.6456217881603993	-0.00736042939435555	0.011403896667542305	0.5304878048780488	0.6360879454131918	0.5970425138632163	0.7037349052047899
Llama-3.1-8B-Instruct	magicoder	common_lora	0.5426829268292683	0.6073521956188451	-0.04563002193590978	0.04563002193590978	0.5426829268292683	0.5640636846095527	0.5674676524953789	0.6905252497516037
Llama-3.1-8B-Instruct	magicoder	common_per_module	0.5609756097560976	0.6263983745007645	-0.026583843053990346	0.02835285998600956	0.5609756097560976	0.6292645943896892	0.5526802218114603	0.6972503073011441
Llama-3.1-8B-Instruct	magicoder	global_0p25	0.5487804878048781	0.6494807234120759	-0.003501494142679048	0.007039528006717477	0.5487804878048781	0.6345716451857468	0.6025878003696857	0.7112827246807949
Llama-3.1-8B-Instruct	magicoder	global_0p40	0.5609756097560976	0.6443637190087661	-0.008618498545988692	0.012661965819175447	0.5609756097560976	0.6360879454131918	0.589648798521257	0.7073544130918498
Llama-3.1-8B-Instruct	magicoder	global_0p55	0.5609756097560976	0.6389105901420824	-0.014071627412672502	0.014071627412672502	0.5609756097560976	0.6148597422289613	0.5988909426987061	0.7029810854985796
Llama-3.1-8B-Instruct	magicoder	global_0p70	0.5487804878048781	0.6308419605742849	-0.022140256980470063	0.022140256980470063	0.5487804878048781	0.6163760424564063	0.5767097966728281	0.69944004259362
Llama-3.1-8B-Instruct	magicoder	global_0p85	0.5792682926829268	0.6232916311712694	-0.029690586383485502	0.029690586383485502	0.5792682926829268	0.5966641394996209	0.5767097966728281	0.6965009573413591
Llama-3.1-8B-Instruct	magicoder	original_hns	0.5426829268292683	0.6415052473424199	-0.011476970212334922	0.011729686916909085	0.5426829268292683	0.624715693707354	0.5951940850277264	0.7046059632921794
Llama-3.1-8B-Instruct	magicoder	original_lora	0.5365853658536586	0.6031983900812208	-0.04978382747353408	0.04978382747353408	0.5365853658536586	0.5640636846095527	0.5545286506469501	0.6910028349871595
Llama-3.1-8B-Instruct	metamath	common_hns	0.8081880212282032	0.6358400576501918	0.016046939992501175	0.014440864885547596	0.6158536585365854	0.8081880212282032	0.5951940850277264	0.6964724293862639
Llama-3.1-8B-Instruct	metamath	common_lora	0.7748294162244125	0.5869547631969224	-0.03283835446076825	0.04096843576158127	0.5487804878048781	0.7748294162244125	0.5619223659889094	0.6501614357969798
Llama-3.1-8B-Instruct	metamath	common_per_module	0.7763457164518575	0.5938292884446773	-0.02596382921301336	0.03206139018862312	0.5426829268292683	0.7763457164518575	0.5748613678373382	0.6639435706674255
Llama-3.1-8B-Instruct	metamath	global_0p25	0.8097043214556482	0.6185328003951095	-0.0012603172625811714	0.009390398563394187	0.5487804878048781	0.8097043214556482	0.5951940850277264	0.7116238283527241
Llama-3.1-8B-Instruct	metamath	global_0p40	0.8097043214556482	0.631454062002421	0.01166094434473027	0.010696779232505485	0.5914634146341463	0.8097043214556482	0.5970425138632163	0.7058562575099003
Llama-3.1-8B-Instruct	metamath	global_0p55	0.7952994692949203	0.627230000055126	0.007436882397435192	0.01288832085459731	0.5853658536585366	0.7952994692949203	0.5988909426987061	0.697433203808135
Llama-3.1-8B-Instruct	metamath	global_0p70	0.7816527672479151	0.6107043335812965	-0.009088784076394277	0.021283906027613802	0.5609756097560976	0.7816527672479151	0.5859519408502772	0.6851854501375144
Llama-3.1-8B-Instruct	metamath	global_0p85	0.7687642153146323	0.5967833097477708	-0.023009807909919838	0.03317240953593611	0.5548780487804879	0.7687642153146323	0.5693160813308688	0.666155799131956
Llama-3.1-8B-Instruct	metamath	original_hns	0.8043972706595905	0.6287936687423414	0.009000551084650699	0.017422213142991565	0.6036585365853658	0.8043972706595905	0.5859519408502772	0.6967705287913811
Llama-3.1-8B-Instruct	metamath	original_lora	0.7710386656557998	0.5788375516901544	-0.04095556596753628	0.04705312694314604	0.5426829268292683	0.7710386656557998	0.5434380776340111	0.6503916506071838
Llama-3.1-8B-Instruct	tulu	common_hns	0.6506469500924215	0.6637116892363657	0.042956753288992545	0.002957557256690594	0.6219512195121951	0.6641394996209249	0.6506469500924215	0.7050443485759772
Llama-3.1-8B-Instruct	tulu	common_lora	0.6266173752310537	0.6427324997936199	0.021977563846246717	0.010542761357005307	0.6219512195121951	0.5943896891584534	0.6266173752310537	0.7118565907102112
Llama-3.1-8B-Instruct	tulu	common_per_module	0.6506469500924215	0.659961353352387	0.03920641740501385	0.0021697791469440877	0.6280487804878049	0.6444275966641395	0.6506469500924215	0.7074076829052167
Llama-3.1-8B-Instruct	tulu	global_0p25	0.6358595194085028	0.6495995969247529	0.028844660977379737	0.0026108639645262186	0.5914634146341463	0.6512509476876421	0.6358595194085028	0.7060844284524703
Llama-3.1-8B-Instruct	tulu	global_0p40	0.6487985212569316	0.6578314757307834	0.037076539783410224	0.002498279770698867	0.6097560975609756	0.6573161485974223	0.6487985212569316	0.7064221810339524
Llama-3.1-8B-Instruct	tulu	global_0p55	0.6506469500924215	0.6637723749391745	0.04301743899180125	0.0023914381447335633	0.6219512195121951	0.6626231993934799	0.6506469500924215	0.7067427059118483
Llama-3.1-8B-Instruct	tulu	global_0p70	0.6524953789279113	0.6661756347490472	0.04542069880167399	0.001999125282844331	0.6158536585365854	0.6747536012130402	0.6524953789279113	0.707919644497516
Llama-3.1-8B-Instruct	tulu	global_0p85	0.6487985212569316	0.6507602254554286	0.030005289508055404	0.0009879487791417303	0.6158536585365854	0.6254738438210766	0.6487985212569316	0.7109531740086238
Llama-3.1-8B-Instruct	tulu	original_hns	0.6432532347504621	0.6638814863042833	0.04312655035691012	0.003556696991105427	0.6280487804878049	0.6603487490523123	0.6432532347504621	0.7032469293727327
Llama-3.1-8B-Instruct	tulu	original_lora	0.6321626617375231	0.6382610416659975	0.01750610571862432	0.01907926013503421	0.6341463414634146	0.5678544351781653	0.6321626617375231	0.7127823483564126
Llama-3.1-8B-Instruct	commonsense	common_hns	0.8766370288914633	0.334012430435258	-0.25579419497162686	0.25579419497162686	0.45121951219512196	0.05913570887035633	0.49168207024029575	0.8766370288914633
Llama-3.1-8B-Instruct	commonsense	common_lora	0.8798154748360931	0.18364441038125723	-0.40616221502562766	0.40616221502562766	0.22560975609756098	0.0	0.32532347504621073	0.8798154748360931
Llama-3.1-8B-Instruct	commonsense	common_per_module	0.8837846804507218	0.28141877557395123	-0.30838784983293366	0.30838784983293366	0.43902439024390244	0.002274450341167551	0.4029574861367837	0.8837846804507218
Llama-3.1-8B-Instruct	commonsense	global_0p25	0.8303486604259545	0.5823432224167795	-0.007463402990105394	0.014539470718182216	0.5121951219512195	0.645185746777862	0.589648798521257	0.8303486604259545
Llama-3.1-8B-Instruct	commonsense	global_0p40	0.863489045324964	0.5681119712852025	-0.021694654121682293	0.04115384037389358	0.4878048780487805	0.6823351023502654	0.5341959334565619	0.863489045324964
Llama-3.1-8B-Instruct	commonsense	global_0p55	0.8778576702024903	0.43256697770269836	-0.1572396477041865	0.1572396477041865	0.47560975609756095	0.33965125094768767	0.4824399260628466	0.8778576702024903
Llama-3.1-8B-Instruct	commonsense	global_0p70	0.8830918088856659	0.27689535335203735	-0.3129112720548475	0.3129112720548475	0.40853658536585363	0.013646702047005308	0.40850277264325324	0.8830918088856659
Llama-3.1-8B-Instruct	commonsense	global_0p85	0.883758814557494	0.2385299731001007	-0.35127665230678423	0.35127665230678423	0.32926829268292684	0.0	0.38632162661737524	0.883758814557494
Llama-3.1-8B-Instruct	commonsense	original_hns	0.8758559592618774	0.33122651673517	-0.25858010867171494	0.25858010867171494	0.4573170731707317	0.0576194086429113	0.4787430683918669	0.8758559592618774
Llama-3.1-8B-Instruct	commonsense	original_lora	0.8795895457536193	0.1856769307064605	-0.4041296947004244	0.4041296947004244	0.23170731707317074	0.0	0.32532347504621073	0.8795895457536193
