case	label	selection	scope_fraction	selected_modules	seed	baseline_score	score	gain
qwen_commonsense	functional_top25	functional_top1_share	0.25	63		0.9078089686538364	0.9081482079650955	0.00033923931125912077
qwen_commonsense	raw_top25	raw_top1_energy_share	0.25	63		0.9078089686538364	0.9080327754410139	0.00022380678717748292
qwen_commonsense	random_top25_seed42	uniform_random	0.25	63	42	0.9078089686538364	0.9075005757066139	-0.0003083929472225133
qwen_commonsense	matched_random_top25_seed42	functional_matched_random	0.25	63	42	0.9078089686538364	0.9032948043573319	-0.00451416429650453
qwen_commonsense	random_top25_seed43	uniform_random	0.25	63	43	0.9078089686538364	0.9061674201207163	-0.0016415485331201518
qwen_commonsense	matched_random_top25_seed43	functional_matched_random	0.25	63	43	0.9078089686538364	0.9044934661764582	-0.0033155024773782182
qwen_commonsense	random_top25_seed44	uniform_random	0.25	63	44	0.9078089686538364	0.9070314167111764	-0.0007775519426600486
qwen_commonsense	matched_random_top25_seed44	functional_matched_random	0.25	63	44	0.9078089686538364	0.9057553357392353	-0.0020536329146011445
qwen_commonsense	functional_top50	functional_top1_share	0.5	126		0.9078089686538364	0.9064180270036698	-0.0013909416501666216
qwen_commonsense	raw_top50	raw_top1_energy_share	0.5	126		0.9078089686538364	0.9057549151383443	-0.002054053515492149
qwen_commonsense	random_top50_seed42	uniform_random	0.5	126	42	0.9078089686538364	0.9042704146962872	-0.0035385539575492064
qwen_commonsense	matched_random_top50_seed42	functional_matched_random	0.5	126	42	0.9078089686538364	0.9052636880941999	-0.0025452805596365424
qwen_commonsense	random_top50_seed43	uniform_random	0.5	126	43	0.9078089686538364	0.9059086185702707	-0.001900350083565705
qwen_commonsense	matched_random_top50_seed43	functional_matched_random	0.5	126	43	0.9078089686538364	0.9064206163681366	-0.0013883522856997788
qwen_commonsense	random_top50_seed44	uniform_random	0.5	126	44	0.9078089686538364	0.9050753908038178	-0.002733577850018598
qwen_commonsense	matched_random_top50_seed44	functional_matched_random	0.5	126	44	0.9078089686538364	0.9054215974418887	-0.002387371211947764
