cohort	outcome	feature	family	rows	source_clusters	raw_pearson	raw_spearman	within_pearson	within_spearman	cluster_ci_low	cluster_ci_high	partial_pearson_logFro	median_checkpoint_spearman	positive_checkpoints	negative_checkpoints	nonconstant_checkpoints	permutation_p	fdr_q
joint_flat_hns__edited_only	target_gain	entropy_rank	core	54	18	-0.09913154750122516	-0.14251471050417774	-0.16673255756109184	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.14026926016571106	0.0	4	8	18	0.42028985507246375	0.42028985507246375
joint_flat_hns__edited_only	target_gain	energy_entropy_rank	core	54	18	-0.10318788683338903	-0.14375643225135115	-0.16961571491468902	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.14353219679593943	0.0	4	8	18	0.42028985507246375	0.42028985507246375
joint_flat_hns__edited_only	target_gain	stable_rank	core	54	18	-0.06732005403613525	-0.14761032597691007	-0.18431159054025487	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.16035107896455011	0.0	4	8	18	0.42028985507246375	0.42028985507246375
joint_flat_hns__edited_only	target_gain	participation_rank	core	54	18	-0.10265948579531844	-0.1443726277115346	-0.16943978775683552	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.14333274145877245	0.0	4	8	18	0.42028985507246375	0.42028985507246375
joint_flat_hns__edited_only	target_gain	nuclear_participation_rank	core	54	18	-0.10227758948151228	-0.14288588251556392	-0.17144754480397145	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.14562913328557206	0.0	4	8	18	0.42028985507246375	0.42028985507246375
joint_flat_hns__edited_only	target_gain	top1_energy	core	54	18	0.06872525816837756	0.1492772088349139	0.18360781766958956	0.14852213144650114	-0.1246886670134541	0.423941467845744	0.1595508440313408	0.0	8	4	18	0.42028985507246375	0.42028985507246375
joint_flat_hns__edited_only	target_gain	top4_energy	core	54	18	0.06292037709386418	0.13684690997166257	0.18703117243862488	0.14852213144650114	-0.1246886670134541	0.423941467845744	0.16343482241284318	0.0	8	4	18	0.42028985507246375	0.42028985507246375
joint_flat_hns__edited_only	target_gain	log_condition	core	54	18	0.06006876999828257	0.16197142911998383	0.18844710051430016	0.14852213144650114	-0.1246886670134541	0.423941467845744	0.16505110495987085	0.0	8	4	18	0.42028985507246375	0.42028985507246375
joint_flat_hns__edited_only	target_gain	log_fro	core	54	18	-0.2237910361617364	0.07941894441766527	-0.09244072529962474	-0.20008168266626028	-0.5512459105263765	0.14506471329641488		-0.4999999999999999	8	10	18	0.2463768115942029	0.42028985507246375
joint_flat_hns__edited_only	target_gain	log_nuclear	core	54	18	-0.2036961474252135	0.10782257173136908	-0.10470614723352108	-0.24753688574416857	-0.5570066518960166	0.09759000729485331	-0.203741840953425	-0.43301270189221935	4	9	18	0.16241879060469766	0.42028985507246375
joint_flat_hns__edited_only	target_gain	log_head_rss	core	54	18	-0.22331698447869097	0.0899420498709901	-0.084618953424089	-0.20008168266626028	-0.5512459105263765	0.14506471329641488	0.1583275232854629	-0.4999999999999999	8	10	18	0.2463768115942029	0.42028985507246375
joint_flat_hns__edited_only	target_gain	fro_ratio	core	54	18	-0.2566467330536364	-0.23878095496728982	-0.11947642571583457	-0.20008168266626028	-0.5512459105263765	0.14506471329641488	-0.437203768874098	-0.4999999999999999	8	10	18	0.2463768115942029	0.42028985507246375
