base	train_task	method	quantity	n	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	magicoder	flat_nuclear	top1_energy	3	0.0625	0.0	0.0625	0.0625	0.0625
Qwen3-8B	magicoder	flat_nuclear	top4_energy	3	0.25	0.0	0.25	0.25	0.25
Qwen3-8B	magicoder	flat_nuclear	log_condition	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	log_fro	3	1.3425042284181092	0.11401376248284234	1.474143071869196	1.2782814302045993	1.275088183180532
Qwen3-8B	magicoder	flat_nuclear	log_nuclear	3	5.357239865134172	0.09410609379899855	5.465867724653845	5.305364785971763	5.300487084776908
Qwen3-8B	magicoder	flat_nuclear	log_head_rss	3	-0.04378950645521235	0.11401374325911898	0.08784931476231678	-0.10801229146577003	-0.11120554266218381
Qwen3-8B	magicoder	flat_nuclear	fro_ratio	3	0.57484	0.046117904332265564	0.52159	0.60103	0.6019
Qwen3-8B	magicoder	flat_nuclear	nuclear_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_nuclear	head_ratio	3	0.15900666666666666	0.017395609599359645	0.13892	0.16901	0.16909
Qwen3-8B	magicoder	flat_nuclear	original_head1_retention	3	0.025483333333333334	0.005354944755395085	0.0193	0.02856	0.02859
Qwen3-8B	magicoder	flat_nuclear	original_head4_retention	3	0.08969666666666669	0.015534485293479578	0.07176	0.0985	0.09883
Qwen3-8B	magicoder	flat_nuclear	scalar_fit	3	0.33186	0.05179092970781659	0.27206	0.36124	0.36228
Qwen3-8B	magicoder	flat_nuclear	shape_residual	3	0.6681400000000001	0.05179092970781663	0.72794	0.63876	0.63772
Qwen3-8B	magicoder	flat_nuclear	displacement	3	0.8169999999999998	0.03135185640436621	0.8532	0.79923	0.79857
Qwen3-8B	magicoder	flat_nuclear	target	3	74.39024390243902	1.2195121951219505	75.60975609756098	73.17073170731707	74.39024390243902
Qwen3-8B	magicoder	flat_nuclear	target_gain	3	10.162601626016256	0.35204284706684685	10.36585365853658	10.365853658536587	9.756097560975604
Qwen3-8B	magicoder	flat_nuclear	off_score	3	80.92515706336184	0.15631712151713947	81.0020964675649	81.02809205899014	80.74528266353049
Qwen3-8B	magicoder	flat_nuclear	off_gain	3	2.8883910297537008	0.6037576920623625	3.20425363745521	3.268694303495721	2.192225148310172
Qwen3-8B	magicoder	flat_nuclear	forgetting_gap	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	forgetting_reduction	3	1.6655167511624869	0.48253822913963124	1.9004202758208966	1.985624576956435	1.1105054007101292
