cohort	field	value	clusters	feature	outcome	within_spearman
joint_flat_hns	seed	43	6	nuclear_participation_rank	forgetting_reduction	0.5051814855409226
joint_flat_hns	seed	43	6	top1_energy	target_gain	-0.35136418446315326
joint_flat_hns	seed	43	6	top1_energy	off_gain	-0.40406881213262624
joint_flat_hns	seed	43	6	top1_energy	forgetting_reduction	-0.5051814855409226
joint_flat_hns	seed	43	6	top4_energy	target_gain	-0.35136418446315326
joint_flat_hns	seed	43	6	top4_energy	off_gain	-0.40406881213262624
joint_flat_hns	seed	43	6	top4_energy	forgetting_reduction	-0.5051814855409226
joint_flat_hns	seed	43	6	log_condition	target_gain	-0.35136418446315326
joint_flat_hns	seed	43	6	log_condition	off_gain	-0.40406881213262624
joint_flat_hns	seed	43	6	log_condition	forgetting_reduction	-0.5051814855409226
joint_flat_hns	seed	43	6	log_fro	target_gain	-0.26352313834736496
joint_flat_hns	seed	43	6	log_fro	off_gain	-0.3865006029094686
joint_flat_hns	seed	43	6	log_fro	forgetting_reduction	-0.5773502691896257
joint_flat_hns	seed	43	6	log_nuclear	target_gain	0.17213259316477408
joint_flat_hns	seed	43	6	log_nuclear	off_gain	0.08606629658238704
joint_flat_hns	seed	43	6	log_nuclear	forgetting_reduction	0.0
joint_flat_hns	seed	43	6	log_head_rss	target_gain	-0.4
joint_flat_hns	seed	43	6	log_head_rss	off_gain	-0.5
joint_flat_hns	seed	43	6	log_head_rss	forgetting_reduction	-0.6846531968814576
joint_flat_hns	seed	43	6	fro_ratio	target_gain	-0.26352313834736496
joint_flat_hns	seed	43	6	fro_ratio	off_gain	-0.3865006029094686
joint_flat_hns	seed	43	6	fro_ratio	forgetting_reduction	-0.5773502691896257
joint_flat_hns	seed	43	6	nuclear_ratio	target_gain	0.17213259316477408
joint_flat_hns	seed	43	6	nuclear_ratio	off_gain	0.08606629658238704
joint_flat_hns	seed	43	6	nuclear_ratio	forgetting_reduction	0.0
joint_flat_hns	seed	43	6	head_ratio	target_gain	-0.4
joint_flat_hns	seed	43	6	head_ratio	off_gain	-0.5
joint_flat_hns	seed	43	6	head_ratio	forgetting_reduction	-0.6846531968814576
joint_flat_hns	seed	43	6	original_head1_retention	target_gain	-0.5666666666666667
joint_flat_hns	seed	43	6	original_head1_retention	off_gain	-0.5666666666666667
joint_flat_hns	seed	43	6	original_head1_retention	forgetting_reduction	-0.6846531968814576
joint_flat_hns	seed	43	6	original_head4_retention	target_gain	-0.5333333333333333
joint_flat_hns	seed	43	6	original_head4_retention	off_gain	-0.5333333333333333
joint_flat_hns	seed	43	6	original_head4_retention	forgetting_reduction	-0.6846531968814576
joint_flat_hns	seed	43	6	scalar_fit	target_gain	-0.5333333333333333
joint_flat_hns	seed	43	6	scalar_fit	off_gain	-0.5333333333333333
joint_flat_hns	seed	43	6	scalar_fit	forgetting_reduction	-0.6846531968814576
joint_flat_hns	seed	43	6	shape_residual	target_gain	0.5333333333333333
joint_flat_hns	seed	43	6	shape_residual	off_gain	0.4666666666666667
joint_flat_hns	seed	43	6	shape_residual	forgetting_reduction	0.5020790110464023
joint_flat_hns	seed	43	6	displacement	target_gain	0.5
joint_flat_hns	seed	43	6	displacement	off_gain	0.4
joint_flat_hns	seed	43	6	displacement	forgetting_reduction	0.41079191812887456
joint_flat_hns	seed	44	6	entropy_rank	target_gain	0.6308610821751877
joint_flat_hns	seed	44	6	entropy_rank	off_gain	0.03513641844631533
joint_flat_hns	seed	44	6	entropy_rank	forgetting_reduction	0.4923659639173309
joint_flat_hns	seed	44	6	energy_entropy_rank	target_gain	0.6308610821751877
joint_flat_hns	seed	44	6	energy_entropy_rank	off_gain	0.03513641844631533
joint_flat_hns	seed	44	6	energy_entropy_rank	forgetting_reduction	0.4923659639173309
joint_flat_hns	seed	44	6	stable_rank	target_gain	0.6308610821751877
joint_flat_hns	seed	44	6	stable_rank	off_gain	0.03513641844631533
joint_flat_hns	seed	44	6	stable_rank	forgetting_reduction	0.4923659639173309
joint_flat_hns	seed	44	6	participation_rank	target_gain	0.6308610821751877
joint_flat_hns	seed	44	6	participation_rank	off_gain	0.03513641844631533
joint_flat_hns	seed	44	6	participation_rank	forgetting_reduction	0.4923659639173309
joint_flat_hns	seed	44	6	nuclear_participation_rank	target_gain	0.6308610821751877
joint_flat_hns	seed	44	6	nuclear_participation_rank	off_gain	0.03513641844631533
joint_flat_hns	seed	44	6	nuclear_participation_rank	forgetting_reduction	0.4923659639173309
joint_flat_hns	seed	44	6	top1_energy	target_gain	-0.6308610821751877
joint_flat_hns	seed	44	6	top1_energy	off_gain	-0.03513641844631533
joint_flat_hns	seed	44	6	top1_energy	forgetting_reduction	-0.4923659639173309
joint_flat_hns	seed	44	6	top4_energy	target_gain	-0.6308610821751877
joint_flat_hns	seed	44	6	top4_energy	off_gain	-0.03513641844631533
joint_flat_hns	seed	44	6	top4_energy	forgetting_reduction	-0.4923659639173309
joint_flat_hns	seed	44	6	log_condition	target_gain	-0.6308610821751877
joint_flat_hns	seed	44	6	log_condition	off_gain	-0.03513641844631533
joint_flat_hns	seed	44	6	log_condition	forgetting_reduction	-0.4923659639173309
joint_flat_hns	seed	44	6	log_fro	target_gain	-0.5857995763055314
joint_flat_hns	seed	44	6	log_fro	off_gain	-0.31622776601683794
joint_flat_hns	seed	44	6	log_fro	forgetting_reduction	-0.5333964609104418
joint_flat_hns	seed	44	6	log_nuclear	target_gain	0.0883021571376696
joint_flat_hns	seed	44	6	log_nuclear	off_gain	-0.17213259316477408
joint_flat_hns	seed	44	6	log_nuclear	forgetting_reduction	0.050251890762960605
joint_flat_hns	seed	44	6	log_head_rss	target_gain	-0.7181848464596079
joint_flat_hns	seed	44	6	log_head_rss	off_gain	-0.3333333333333333
joint_flat_hns	seed	44	6	log_head_rss	forgetting_reduction	-0.6617241025372945
joint_flat_hns	seed	44	6	fro_ratio	target_gain	-0.5857995763055314
joint_flat_hns	seed	44	6	fro_ratio	off_gain	-0.31622776601683794
joint_flat_hns	seed	44	6	fro_ratio	forgetting_reduction	-0.5333964609104418
joint_flat_hns	seed	44	6	nuclear_ratio	target_gain	0.0883021571376696
joint_flat_hns	seed	44	6	nuclear_ratio	off_gain	-0.17213259316477408
joint_flat_hns	seed	44	6	nuclear_ratio	forgetting_reduction	0.050251890762960605
joint_flat_hns	seed	44	6	head_ratio	target_gain	-0.7181848464596079
joint_flat_hns	seed	44	6	head_ratio	off_gain	-0.3333333333333333
joint_flat_hns	seed	44	6	head_ratio	forgetting_reduction	-0.6617241025372945
joint_flat_hns	seed	44	6	original_head1_retention	target_gain	-0.6326866504525117
joint_flat_hns	seed	44	6	original_head1_retention	off_gain	-0.5333333333333333
joint_flat_hns	seed	44	6	original_head1_retention	forgetting_reduction	-0.7395739969534468
joint_flat_hns	seed	44	6	original_head4_retention	target_gain	-0.6326866504525117
joint_flat_hns	seed	44	6	original_head4_retention	off_gain	-0.4666666666666667
joint_flat_hns	seed	44	6	original_head4_retention	forgetting_reduction	-0.7395739969534468
joint_flat_hns	seed	44	6	scalar_fit	target_gain	-0.6326866504525117
joint_flat_hns	seed	44	6	scalar_fit	off_gain	-0.4666666666666667
joint_flat_hns	seed	44	6	scalar_fit	forgetting_reduction	-0.7395739969534468
joint_flat_hns	seed	44	6	shape_residual	target_gain	0.4787898976397386
joint_flat_hns	seed	44	6	shape_residual	off_gain	0.16666666666666666
joint_flat_hns	seed	44	6	shape_residual	forgetting_reduction	0.5838742081211422
joint_flat_hns	seed	44	6	displacement	target_gain	0.44459061923690013
joint_flat_hns	seed	44	6	displacement	off_gain	0.13333333333333333
joint_flat_hns	seed	44	6	displacement	forgetting_reduction	0.5060243137049899
joint_flat_hns	base	Qwen3-8B	9	entropy_rank	target_gain	0.6611360631499735
joint_flat_hns	base	Qwen3-8B	9	entropy_rank	off_gain	0.19910637119578684
joint_flat_hns	base	Qwen3-8B	9	entropy_rank	forgetting_reduction	0.5657789498610037
joint_flat_hns	base	Qwen3-8B	9	energy_entropy_rank	target_gain	0.6611360631499735
joint_flat_hns	base	Qwen3-8B	9	energy_entropy_rank	off_gain	0.19910637119578684
joint_flat_hns	base	Qwen3-8B	9	energy_entropy_rank	forgetting_reduction	0.5657789498610037
joint_flat_hns	base	Qwen3-8B	9	stable_rank	target_gain	0.6611360631499735
joint_flat_hns	base	Qwen3-8B	9	stable_rank	off_gain	0.19910637119578684
joint_flat_hns	base	Qwen3-8B	9	stable_rank	forgetting_reduction	0.5657789498610037
joint_flat_hns	base	Qwen3-8B	9	participation_rank	target_gain	0.6611360631499735
joint_flat_hns	base	Qwen3-8B	9	participation_rank	off_gain	0.19910637119578684
joint_flat_hns	base	Qwen3-8B	9	participation_rank	forgetting_reduction	0.5657789498610037
joint_flat_hns	base	Qwen3-8B	9	nuclear_participation_rank	target_gain	0.6611360631499735
joint_flat_hns	base	Qwen3-8B	9	nuclear_participation_rank	off_gain	0.19910637119578684
joint_flat_hns	base	Qwen3-8B	9	nuclear_participation_rank	forgetting_reduction	0.5657789498610037
joint_flat_hns	base	Qwen3-8B	9	top1_energy	target_gain	-0.6611360631499735
joint_flat_hns	base	Qwen3-8B	9	top1_energy	off_gain	-0.19910637119578684
joint_flat_hns	base	Qwen3-8B	9	top1_energy	forgetting_reduction	-0.5657789498610037
joint_flat_hns	base	Qwen3-8B	9	top4_energy	target_gain	-0.6611360631499735
joint_flat_hns	base	Qwen3-8B	9	top4_energy	off_gain	-0.19910637119578684
