cohort	model	split	rows	clusters	normalized_mse	zero_normalized_mse	train_mean_normalized_mse	feature_selection	skill_vs_zero	skill_vs_train_mean	target_gain_rmse	target_gain_r2	target_gain_pearson	forgetting_reduction_rmse	forgetting_reduction_r2	forgetting_reduction_pearson
joint_flat_hns	single	seed	54	18	1.2568255570170754	3.080280441643781	1.5474165768378052	{'entropy_rank': 3}	0.5919769057305786	0.1877910733091419	2.401036310029938	0.49380109582181175	0.7086962698964163	2.2569966520186826	-0.07806599061535979	0.040523372628567304
joint_flat_hns	single	base	54	18	15.934841998331262	7.511226968399229	4.875171192349731	{'entropy_rank': 1, 'shape_residual': 1}	-1.121469909692697	-2.268570757748304	8.031228101484336	-4.663536017250874	-0.8145820164264879	3.2500146894905626	-1.2353944268468755	0.08521996951738854
joint_flat_hns	single	train_task	54	18	4.0499026833320055	7.856768656881061	4.668797815595934	{'energy_entropy_rank': 1, 'entropy_rank': 2}	0.48453329094970266	0.1325598487466162	3.4456542243149006	-0.04247855956598823	0.32019951615745945	2.830653354237059	-0.6957307382550688	-0.586670637486742
joint_flat_hns	shape_plus_strength	seed	54	18	1.2489518446249772	3.080280441643781	1.5474165768378052	{'entropy_rank+original_head1_retention': 1, 'top1_energy+original_head1_retention': 1, 'entropy_rank+scalar_fit': 1}	0.5945330731124994	0.19287936854260024	2.3904602390197245	0.49825067852076466	0.7177146198923844	2.225644782329154	-0.048323251449227334	0.13663234108119832
joint_flat_hns	shape_plus_strength	base	54	18	32.014960966126466	7.511226968399229	4.875171192349731	{'entropy_rank+original_head1_retention': 1, 'shape_residual+original_head1_retention': 1}	-3.2622811294103924	-5.566940873043665	12.05181641063683	-11.753481592640401	-0.8197956788163805	2.719715920571115	-0.5654190085606914	0.16463655839115884
joint_flat_hns	shape_plus_strength	train_task	54	18	3.937405058425533	7.856768656881061	4.668797815595934	{'top1_energy+scalar_fit': 2, 'entropy_rank+scalar_fit': 1}	0.4988518524117289	0.15665547878882502	3.390881574341022	-0.00959918176190211	0.3712261689761959	3.0039938184075656	-0.909772279785855	-0.4806677937157475
hns_grid_target	single	seed	162	18	0.7299756257645771	2.7832491803851753	1.1513285574586558	{'entropy_rank': 3}	0.7377253783423174	0.3659710592292935	2.5741939950094537	0.352029810845089	0.6187787179737689			
hns_grid_target	single	base	162	18	12.459497683681082	10.213566115776343	6.779864883113807	{'fro_ratio': 1, 'top1_energy': 1}	-0.21989690402410678	-0.8377206476065899	5.606832773164943	-2.0740270634596345	-0.713958117533617			
hns_grid_target	single	train_task	162	18	4.361185145725316	8.203843694807992	4.232968307612652	{'entropy_rank': 3}	0.4683973381300034	-0.030290053880648315	3.4975693879437233	-0.19620374730428836	0.14256155624452369			
hns_grid_target	shape_plus_strength	seed	162	18	1.1017822809611488	2.7832491803851753	1.1513285574586558	{'top1_energy+log_fro': 1, 'entropy_rank+original_head1_retention': 1, 'top1_energy+scalar_fit': 1}	0.6041381099737995	0.043034002914746794	3.349050888663108	-0.09677103770110418	0.6473696156329086			
