cohort	outcome	feature	family	rows	source_clusters	raw_pearson	raw_spearman	within_pearson	within_spearman	cluster_ci_low	cluster_ci_high	partial_pearson_logFro	median_checkpoint_spearman	positive_checkpoints	negative_checkpoints	nonconstant_checkpoints	permutation_p	fdr_q	missing_rows
joint_flat_hns	target_gain	shannon_eff_rank	core	72	18	0.4559168768130065	0.442845669530595	0.8515496642455165	0.47947255030245817	0.2724072678877414	0.649613487298637	0.7987667453853828	0.6324555320336759	16	2	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	r2_participation	core	72	18	0.4666075171153558	0.4427767152527186	0.835331882001698	0.47947255030245817	0.2724072678877414	0.649613487298637	0.7761335022068213	0.6324555320336759	16	2	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	stable_rank	core	72	18	0.499314677748564	0.44790732631982505	0.7513220777057558	0.47947255030245817	0.2724072678877414	0.649613487298637	0.6666494191913143	0.6324555320336759	16	2	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	flatness	core	72	18	0.4623309664159699	0.4453963723815368	0.8453737816771357	0.47947255030245817	0.2724072678877414	0.649613487298637	0.7902128023612416	0.6324555320336759	16	2	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	gini	core	72	18	-0.4875594059819055	-0.4427465831799334	-0.8087442834239482	-0.47947255030245817	-0.6496134872986371	-0.2724072678877415	-0.7405504555529435	-0.6324555320336759	2	16	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	decay_slope	core	72	18	0.492216808080685	0.44299392024224665	0.786629905877428	0.47947255030245817	0.2724072678877414	0.649613487298637	0.7117857460180568	0.6324555320336759	16	2	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	erank_energy	core	72	18	0.48200210683096656	0.4424164346288965	0.8080862784497487	0.47947255030245817	0.2724072678877414	0.649613487298637	0.7385051146280853	0.6324555320336759	16	2	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	entropy_gap	core	72	18	-0.4587850437562167	-0.4425428608978479	-0.8394237503137518	-0.47947255030245817	-0.6496134872986371	-0.2724072678877415	-0.7817706988623497	-0.6324555320336759	2	16	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	hill_tail_contrast	core	72	18	-0.49176563797013145	-0.48736455550303653	-0.7938022384968106	-0.47947255030245817	-0.6496134872986371	-0.2724072678877415	-0.7207469342001	-0.6324555320336759	2	16	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	d_flat_l1	core	72	18	-0.4850059335786796	-0.44436257345606106	-0.8146953682030854	-0.47947255030245817	-0.6496134872986371	-0.2724072678877415	-0.7485259268497086	-0.6324555320336759	2	16	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	soft_rank	core	72	18	0.49729902040729773	0.44790732631982505	0.7729166594007004	0.47947255030245817	0.2724072678877414	0.649613487298637	0.6930317584609998	0.6324555320336759	16	2	18	0.0004997501249375312	0.0006196901549225388	
joint_flat_hns	target_gain	head_tail	core	72	18	-0.48958513046659025	-0.4426597019822921	-0.8004645606248553	-0.47947255030245817	-0.6496134872986371	-0.2724072678877415	-0.7297184710593293	-0.6324555320336759	2	16	18	0.0004997501249375312	0.0006196901549225388	
