cohort	outcome	feature	family	rows	source_clusters	raw_pearson	raw_spearman	within_pearson	within_spearman	cluster_ci_low	cluster_ci_high	partial_pearson_logFro	median_checkpoint_spearman	positive_checkpoints	negative_checkpoints	nonconstant_checkpoints	permutation_p	fdr_q
joint_flat_hns__edited_only	target_gain	shannon_eff_rank	core	54	18	-0.11026896941386394	-0.1539398992787558	-0.1710167728391893	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.14512078799124414	0.0	4	8	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	r2_participation	core	54	18	-0.11005562267268945	-0.1540906289119886	-0.17109399480842588	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.14520728044917533	0.0	4	8	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	stable_rank	core	54	18	-0.0660514453070465	-0.14024798828963808	-0.18693495421207654	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.16332904994733505	0.0	4	8	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	flatness	core	54	18	-0.10253747197486582	-0.1497359061801643	-0.17240020839859307	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.14672742351725332	0.0	4	8	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	gini	core	54	18	0.07833660728747406	0.15456364490377805	0.18273478416331151	0.14852213144650114	-0.1246886670134541	0.423941467845744	0.15853426526638995	0.0	8	4	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	decay_slope	core	54	18	-0.07830266143320232	-0.1539315617534008	-0.18276489126473644	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.15856764093781306	0.0	4	8	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	erank_energy	core	54	18	-0.10981150262185117	-0.15460909143271184	-0.1713455115768989	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.14549491863023292	0.0	4	8	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	entropy_gap	core	54	18	0.10874309479095087	0.154076707431951	0.17278592368985107	0.14852213144650114	-0.1246886670134541	0.423941467845744	0.14713730236985395	0.0	8	4	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	hill_tail_contrast	core	54	18	0.03548852445917577	0.04851548336928118	0.19994117612630205	0.14852213144650114	-0.1246886670134541	0.423941467845744	0.1780603634688289	0.0	8	4	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	d_flat_l1	core	54	18	0.09080496492849659	0.15115515523374473	0.17654885267526166	0.14852213144650114	-0.1246886670134541	0.423941467845744	0.15146755981693885	0.0	8	4	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	soft_rank	core	54	18	-0.06660926613412257	-0.14024798828963808	-0.18683579762751001	-0.14852213144650114	-0.423941467845744	0.1246886670134541	-0.16321575127887294	0.0	4	8	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	head_tail	core	54	18	0.07887757357803997	0.15479087754844695	0.18180396445897037	0.14852213144650114	-0.1246886670134541	0.423941467845744	0.15747675216659474	0.0	8	4	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	erank_iqr	core	54	18	0.03362134478286709	0.04812917741271079	0.19566447455980387	0.14852213144650114	-0.1246886670134541	0.423941467845744	0.17320721818690765	0.0	8	4	18	0.42028985507246375	0.5043478260869565
joint_flat_hns__edited_only	target_gain	erank_depth_slope	core	54	18	-0.25989989993596446	-0.14497974576679348	-0.021558196064236337	-0.07938841860374447	-0.3626213069753277	0.23249021481942	-0.027359361118440596	0.0	2	3	7	0.7481259370314842	0.8161373858525282
joint_flat_hns__edited_only	target_gain	erank_depth_slope_normalized	core	54	18	-0.2510069106570579	-0.07592253839510539	0.0749657105059045	0.049507377148833714	-0.2475368857441686	0.3194575716689438	0.06756718487362255	0.0	6	6	18	0.8305847076461769	0.8666970862394889
joint_flat_hns__edited_only	target_gain	erank_attn_mlp_gap	core	54	18	-0.13895724540429463	-0.3132341374470895	-0.13374794242817095	0.0	-0.2746740691087294	0.2744197738925587	-0.12973606339288335	0.0	6	6	18	1.0	1.0
joint_flat_hns__edited_only	target_gain	gamma_param	core	54	18	-0.4335177750177128	-0.3334985630443198	-0.17945626723237226	-0.22866478019001174	-0.5039232482557935	0.07096431901077602	-0.43545457394357745	-0.4999999999999999	5	13	18	0.18990504747626186	0.5043478260869565
joint_flat_hns__edited_only	target_gain	eta_param	core	54	18	0.47961165728520083	0.3680036733169972	-0.1178075976871533	-0.14291548761875733	-0.49322002520781055	0.21281413268968716	-0.07729770612586441	-0.4999999999999999	8	10	18	0.41529235382308843	0.5043478260869565
