base	train_task	method	quantity	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	magicoder	flat_fro	target_gain	10.975609756097557	2.7942534725340504	11.58536585365853	13.414634146341463	7.926829268292678
Qwen3-8B	magicoder	flat_fro	off_gain	3.028792253338447	0.541725841752323	3.553142311034904	3.0620146692448316	2.4712197797356055
Qwen3-8B	magicoder	flat_fro	forgetting_reduction	1.6655167511624869	0.48253822913963124	1.9004202758208966	1.985624576956435	1.1105054007101292
Qwen3-8B	magicoder	flat_nuclear	shannon_eff_rank	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	magicoder	flat_nuclear	r2_participation	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	magicoder	flat_nuclear	stable_rank	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	magicoder	flat_nuclear	flatness	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_nuclear	gini	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	decay_slope	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	erank_energy	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	magicoder	flat_nuclear	entropy_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	hill_tail_contrast	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	d_flat_l1	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	soft_rank	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_nuclear	head_tail	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	erank_iqr	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	erank_depth_slope	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	erank_depth_slope_normalized	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	erank_attn_mlp_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	gamma_param	0.33186	0.05179092970781659	0.27206	0.36124	0.36228
Qwen3-8B	magicoder	flat_nuclear	eta_param	0.6681400000000001	0.05179092970781663	0.72794	0.63876	0.63772
Qwen3-8B	magicoder	flat_nuclear	fro_ratio	0.57484	0.046117904332265564	0.52159	0.60103	0.6019
Qwen3-8B	magicoder	flat_nuclear	original_head1_retention	0.025483333333333334	0.005354944755395085	0.0193	0.02856	0.02859
Qwen3-8B	magicoder	flat_nuclear	previous_mean_entropy_rank	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	magicoder	flat_nuclear	base_left_overlap_k16	0.006472666666666667	0.0005365121930891539	0.005874	0.00691	0.006634
Qwen3-8B	magicoder	flat_nuclear	base_right_overlap_k16	0.007256666666666667	0.000740959063196701	0.008112	0.006847	0.006811
Qwen3-8B	magicoder	flat_nuclear	base_bilateral_overlap_k16	4.8666666666666666e-05	2.8867513459481285e-06	5.2e-05	4.7e-05	4.7e-05
Qwen3-8B	magicoder	flat_nuclear	target	74.39024390243902	1.2195121951219505	75.60975609756098	73.17073170731707	74.39024390243902
Qwen3-8B	magicoder	flat_nuclear	off_score	80.92515706336184	0.15631712151713947	81.0020964675649	81.02809205899014	80.74528266353049
Qwen3-8B	magicoder	flat_nuclear	forgetting_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_nuclear	target_gain	10.162601626016256	0.35204284706684685	10.36585365853658	10.365853658536587	9.756097560975604
Qwen3-8B	magicoder	flat_nuclear	off_gain	2.8883910297537008	0.6037576920623625	3.20425363745521	3.268694303495721	2.192225148310172
Qwen3-8B	magicoder	flat_nuclear	forgetting_reduction	1.6655167511624869	0.48253822913963124	1.9004202758208966	1.985624576956435	1.1105054007101292
Qwen3-8B	magicoder	hns_f4_s1	shannon_eff_rank	15.998230000000001	2.6457513110315685e-05	15.99825	15.9982	15.99824
Qwen3-8B	magicoder	hns_f4_s1	r2_participation	15.996476666666666	5.131601439425694e-05	15.99652	15.99642	15.99649
Qwen3-8B	magicoder	hns_f4_s1	stable_rank	15.33678	0.004113113176172745	15.34134	15.33335	15.33565
Qwen3-8B	magicoder	hns_f4_s1	flatness	0.9998900000000001	1.3597399555105182e-16	0.99989	0.99989	0.99989
Qwen3-8B	magicoder	hns_f4_s1	gini	0.007906666666666666	6.506407098647709e-05	0.00784	0.00797	0.00791
Qwen3-8B	magicoder	hns_f4_s1	decay_slope	-0.0029866666666666665	2.51661147842359e-05	-0.00296	-0.00301	-0.00299
Qwen3-8B	magicoder	hns_f4_s1	erank_energy	15.992986666666667	0.00010692676621604604	15.99308	15.99287	15.99301
Qwen3-8B	magicoder	hns_f4_s1	entropy_gap	0.0003266666666666667	5.773502691896242e-06	0.00032	0.00033	0.00033
Qwen3-8B	magicoder	hns_f4_s1	hill_tail_contrast	0.013636666666666667	0.0006450064599159711	0.0129	0.01391	0.0141
Qwen3-8B	magicoder	hns_f4_s1	d_flat_l1	0.011793333333333331	0.00012662279942148402	0.01168	0.01177	0.01193
Qwen3-8B	magicoder	hns_f4_s1	soft_rank	0.9789366666666668	0.00014571661996259724	0.9791	0.97882	0.97889
Qwen3-8B	magicoder	hns_f4_s1	head_tail	0.03702333333333333	0.0003707200201409871	0.0369	0.03744	0.03673
Qwen3-8B	magicoder	hns_f4_s1	erank_iqr	0.0006533333333333333	1.527525231651946e-05	0.00064	0.00065	0.00067
Qwen3-8B	magicoder	hns_f4_s1	erank_depth_slope	-6.6666666666666675e-06	5.773502691896259e-06	-1e-05	-0.0	-1e-05
Qwen3-8B	magicoder	hns_f4_s1	erank_depth_slope_normalized	-0.00021666666666666666	8.504900548115381e-05	-0.00028	-0.00012	-0.00025
Qwen3-8B	magicoder	hns_f4_s1	erank_attn_mlp_gap	6.666666666666666e-06	0.00010598742063723098	0.00012	-1e-05	-9e-05
Qwen3-8B	magicoder	hns_f4_s1	gamma_param	0.33271333333333336	0.05110108250647273	0.27371	0.36169	0.36274
Qwen3-8B	magicoder	hns_f4_s1	eta_param	0.6665033333333333	0.05039391861458416	0.72469	0.63794	0.63688
Qwen3-8B	magicoder	hns_f4_s1	fro_ratio	0.5749033333333333	0.04612074406742954	0.52165	0.6011	0.60196
Qwen3-8B	magicoder	hns_f4_s1	original_head1_retention	0.025606666666666666	0.005098042107842316	0.01972	0.02853	0.02857
Qwen3-8B	magicoder	hns_f4_s1	previous_mean_entropy_rank	0.9998900000000001	1.3597399555105182e-16	0.99989	0.99989	0.99989
Qwen3-8B	magicoder	hns_f4_s1	base_left_overlap_k16	0.006475333333333333	0.0005332094647822125	0.00588	0.006909	0.006637
Qwen3-8B	magicoder	hns_f4_s1	base_right_overlap_k16	0.007335	0.0007882886527154888	0.008245	0.006898	0.006862
Qwen3-8B	magicoder	hns_f4_s1	base_bilateral_overlap_k16	4.8666666666666666e-05	2.8867513459481285e-06	5.2e-05	4.7e-05	4.7e-05
Qwen3-8B	magicoder	hns_f4_s1	target	74.59349593495934	0.3520428470668448	75.0	74.39024390243902	74.39024390243902
Qwen3-8B	magicoder	hns_f4_s1	off_score	81.26057961818536	0.07096821118696259	81.33317478110466	81.1913587358642	81.25720533758722
Qwen3-8B	magicoder	hns_f4_s1	forgetting_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	hns_f4_s1	target_gain	10.365853658536581	1.0561285412005386	9.756097560975604	11.585365853658537	9.756097560975604
Qwen3-8B	magicoder	hns_f4_s1	off_gain	3.22381358457722	0.4530019511019994	3.5353319509949728	3.43196098036978	2.704147822366906
Qwen3-8B	magicoder	hns_f4_s1	forgetting_reduction	1.6655167511624869	0.48253822913963124	1.9004202758208966	1.985624576956435	1.1105054007101292
Qwen3-8B	metamath	original_lora	shannon_eff_rank	11.405576666666667	0.4344520599943489	10.91986	11.53977	11.7571
Qwen3-8B	metamath	original_lora	r2_participation	8.018883333333333	0.6910645129315593	7.24022	8.25711	8.55932
Qwen3-8B	metamath	original_lora	stable_rank	1.6535666666666664	0.15937023603337394	1.47014	1.75812	1.73244
Qwen3-8B	metamath	original_lora	flatness	0.75209	0.016779710962945695	0.7328	0.76016	0.76331
Qwen3-8B	metamath	original_lora	gini	0.4180966666666666	0.01468842174412668	0.43485	0.41201	0.40743
Qwen3-8B	metamath	original_lora	decay_slope	-0.13327333333333333	0.0015321335886055577	-0.13485	-0.13318	-0.13179
Qwen3-8B	metamath	original_lora	erank_energy	4.370616666666667	0.6634399810332006	3.62654	4.58481	4.9005
Qwen3-8B	metamath	original_lora	entropy_gap	0.9585400000000001	0.10492032024350675	1.07858	0.9127	0.88434
Qwen3-8B	metamath	original_lora	hill_tail_contrast	1.41317	0.021598418923615675	1.4379	1.4036	1.39801
Qwen3-8B	metamath	original_lora	d_flat_l1	0.6458833333333334	0.020113394376219392	0.66903	0.63596	0.63266
Qwen3-8B	metamath	original_lora	soft_rank	0.22883333333333333	0.021052634831140112	0.20475	0.23801	0.24374
Qwen3-8B	metamath	original_lora	head_tail	1.7655633333333334	0.04426669440260175	1.81646	1.7442	1.73603
Qwen3-8B	metamath	original_lora	erank_iqr	2.8060666666666667	0.13264019840656652	2.93655	2.67137	2.81028
Qwen3-8B	metamath	original_lora	erank_depth_slope	0.036840000000000005	0.006039345991082147	0.04381	0.03355	0.03316
Qwen3-8B	metamath	original_lora	erank_depth_slope_normalized	1.2893966666666667	0.21123123782559558	1.53318	1.17428	1.16073
Qwen3-8B	metamath	original_lora	erank_attn_mlp_gap	1.0727333333333333	0.09340519489478803	1.14759	1.10255	0.96806
Qwen3-8B	metamath	original_lora	gamma_param	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	original_lora	eta_param	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	original_lora	fro_ratio	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	original_lora	original_head1_retention	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	original_lora	previous_mean_entropy_rank	0.6898133333333334	0.023464060461338213	0.66272	0.70352	0.7032
