cohort	outcome	feature	family	rows	source_clusters	raw_pearson	raw_spearman	within_pearson	within_spearman	cluster_ci_low	cluster_ci_high	partial_pearson_logFro	median_checkpoint_spearman	positive_checkpoints	negative_checkpoints	nonconstant_checkpoints	permutation_p	fdr_q
joint_flat_hns	target_gain	functional_participation	core	24	6	-0.09048053498443874	0.2522211595017643	0.491461698102756	0.6218487810012564	0.4824506406770077	0.7637626158259733	0.3791705713404195	0.6324555320336759	6	0	6	0.009995002498750625	0.013326669998334166
joint_flat_hns	target_gain	functional_erank	core	24	6	-0.03873187258024573	0.2522211595017643	0.5844132707623709	0.6218487810012564	0.4824506406770077	0.7637626158259733	0.4571362898324372	0.6324555320336759	6	0	6	0.009995002498750625	0.013326669998334166
joint_flat_hns	target_gain	functional_top1	core	24	6	0.016389956635343785	-0.29102441480972807	-0.6826836180933286	-0.6218487810012564	-0.7637626158259733	-0.4824506406770077	-0.5618414799693385	-0.6324555320336759	0	6	6	0.009995002498750625	0.013326669998334166
joint_flat_hns	target_gain	functional_erank_iqr	core	24	6	0.041103457688036645	0.08113407928028783	0.542695008835563	0.2613567340440063	-0.16366341767699427	0.6182840223353118	0.3850278340068286	0.408113883008419	4	2	6	0.2843578210894553	0.3249803669593775
joint_flat_hns	target_gain	functional_attn_mlp_gap	core	24	6	0.02148010672812416	-0.03968514747405383	0.45624919126855235	-0.09913531291324378	-0.44671355618241454	0.2253075293482813	0.2963042776171649	-0.055555555555555566	2	4	6	0.7006496751624188	0.7006496751624188
joint_flat_hns	target_gain	functional_energy_ratio	core	24	6	-0.5639252200609701	-0.5742253604368646	-0.7542264787409422	-0.7181848464596079	-0.845330310194384	-0.5691786866371777	-0.6402721516755339	-0.7689323936863108	0	6	6	0.0034982508745627187	0.009328668998833917
joint_flat_hns	target_gain	gamma_functional	core	24	6	-0.5469436621451409	-0.5671252014206437	-0.7474328076968147	-0.7181848464596079	-0.845330310194384	-0.5691786866371777	-0.6306211816079328	-0.7689323936863108	0	6	6	0.0034982508745627187	0.009328668998833917
joint_flat_hns	target_gain	eta_functional	core	24	6	0.2647545174194764	0.5271868069544012	0.6307752513748683	0.7181848464596079	0.5691786866371771	0.845330310194384	0.46596457856640494	0.7689323936863108	6	0	6	0.0034982508745627187	0.009328668998833917
joint_flat_hns	off_gain	functional_participation	core	24	6	0.2507061007691154	0.21978948728208947	0.6838853110000019	0.4743416490252569	0.0	0.7905694150420948	0.62092115331446	0.6324555320336759	5	1	6	0.04847576211894053	0.07329668499083791
joint_flat_hns	off_gain	functional_erank	core	24	6	0.3494458596104268	0.21978948728208947	0.7535858993457352	0.4743416490252569	0.0	0.7905694150420948	0.6785203119535562	0.6324555320336759	5	1	6	0.04847576211894053	0.07329668499083791
joint_flat_hns	off_gain	functional_top1	core	24	6	-0.312315705051903	-0.27067886956696446	-0.7802573488524362	-0.4743416490252569	-0.7905694150420948	0.0	-0.6945307300891497	-0.6324555320336759	1	5	6	0.04847576211894053	0.07329668499083791
joint_flat_hns	off_gain	functional_erank_iqr	core	24	6	0.3719155629865786	0.401850639421944	0.5120624575337243	0.05270462766947299	-0.4216370213557839	0.5797509043642028	0.3400556235585513	0.0	3	3	6	0.8750624687656172	0.8750624687656172
joint_flat_hns	off_gain	functional_attn_mlp_gap	core	24	6	0.27914019171441207	0.30665239842351405	0.5245293394405129	0.15811388300841897	-0.26352313834736496	0.5797509043642028	0.3826477789637051	0.4743416490252569	4	2	6	0.5422288855572214	0.6196901549225388
