base_model	task	left	right	head_only_score	head_fro_restore_score	delta_restore_minus_head	bootstrap_ci_low	bootstrap_ci_high	paired_permutation_p	paired_units	paired_permutation_p_holm	paired_permutation_p_bh_fdr
Qwen3-8B	magicoder	head_only	head_fro_restore	0.7784473759134478	0.7612579481825947	-0.01718942773085308	-0.04741624750877859	0.013357691942678182	0.28681713182868174	421	1.0	0.4855631443685563
Qwen3-8B	metamath	head_only	head_fro_restore	0.8711144806671721	0.8718726307808946	0.0007581501137224889	-0.015163002274450341	0.017437452615617893	1.0	1319	1.0	1.0
Qwen3-8B	tulu	head_only	head_fro_restore	0.7782589085847773	0.7483837329397112	-0.029875175645066143	-0.0509090967255943	-0.009120271449392252	0.004739952600473996	541	0.037919620803791965	0.037919620803791965
Qwen3-8B	commonsense	head_only	head_fro_restore	0.9025960068579506	0.9001004256189514	-0.0024955812389991783	-0.007158493599237688	0.0021494431365528047	0.2891071089289107	22419	1.0	0.4855631443685563
Llama-3.1-8B-Instruct	magicoder	head_only	head_fro_restore	0.6402913542754105	0.6311450128119958	-0.009146341463414753	-0.03632438075353516	0.018031697826705894	0.5535744642553575	421	1.0	0.6326565305775514
Llama-3.1-8B-Instruct	metamath	head_only	head_fro_restore	0.7945413191811979	0.7884761182714177	-0.006065200909780133	-0.02350265352539803	0.012130401819560273	0.5526644733552665	1319	1.0	0.6326565305775514
Llama-3.1-8B-Instruct	tulu	head_only	head_fro_restore	0.7365185485622592	0.7161603434442834	-0.020358205117975814	-0.043826038876313436	0.002772643253234758	0.09225907740922591	541	0.6458135418645814	0.36903630963690365
Llama-3.1-8B-Instruct	commonsense	head_only	head_fro_restore	0.8759525382303173	0.8736857143283696	-0.0022668239019476566	-0.006565114480058097	0.002054754165670754	0.3034769652303477	22419	1.0	0.4855631443685563
