base_model	task	variant	primary_metric	categories	paired_units	lora_score	variant_score	delta	bootstrap_ci_low	bootstrap_ci_high	paired_permutation_p	ci_excludes_zero	paired_permutation_p_holm	paired_permutation_p_bh_fdr
Qwen3-8B	magicoder	scalar_shrink	macro_accuracy	2	421	0.7471173009395464	0.7512693366233274	0.004152035683780975	-0.029704849577678657	0.03801544557274357	0.8334916650833492	False	1.0	0.8512255302978885
Qwen3-8B	magicoder	shape_only	macro_accuracy	2	421	0.7471173009395464	0.7792896460093006	0.032172345069754194	-0.0019455252918287938	0.0671324855271899	0.07593924060759392	False	1.0	0.12569253617808648
Qwen3-8B	magicoder	head_only	macro_accuracy	2	421	0.7471173009395464	0.7784473759134478	0.03133007497390139	-0.0038910505836575876	0.06739999525481626	0.08866911330886691	False	1.0	0.13300366996330037
Qwen3-8B	magicoder	tail_only	macro_accuracy	2	421	0.7471173009395464	0.7460140457435702	-0.001103255195976205	-0.013298377147195596	0.010830881655120052	1.0	False	1.0	1.0
Qwen3-8B	magicoder	hns	macro_accuracy	2	421	0.7471173009395464	0.7842839517889342	0.03716665084938775	0.0038317357881750037	0.0714876743854987	0.037259627403725966	True	0.8942310576894232	0.07153848461515386
Qwen3-8B	magicoder	head_fro_restore	macro_accuracy	2	421	0.7471173009395464	0.7612579481825947	0.01414064724304831	-0.017189427730853184	0.0454707222169498	0.4011459885401146	False	1.0	0.4696343280469634
Qwen3-8B	metamath	scalar_shrink	macro_accuracy	1	1319	0.8400303260045489	0.8498862774829417	0.0098559514783928	-0.006065200909780136	0.026535253980288095	0.2744772552274477	False	1.0	0.3378181602799356
Qwen3-8B	metamath	shape_only	macro_accuracy	1	1319	0.8400303260045489	0.8786959818043972	0.038665655799848375	0.022744503411675512	0.05534495830174375	1.999980000199998e-05	True	0.0008599914000859992	0.00015999840001599985
Qwen3-8B	metamath	head_only	macro_accuracy	1	1319	0.8400303260045489	0.8711144806671721	0.031084154662623265	0.012130401819560273	0.050037907505686124	0.0017199828001719982	True	0.060199398006019936	0.005897083886303994
Qwen3-8B	metamath	tail_only	macro_accuracy	1	1319	0.8400303260045489	0.8506444275966641	0.010614101592115288	0.000758150113722517	0.02047005307050796	0.04999950000499995	True	1.0	0.0857134285799999
Qwen3-8B	metamath	hns	macro_accuracy	1	1319	0.8400303260045489	0.8840030326004549	0.04397270659590602	0.026535253980288095	0.0621683093252464	9.99990000099999e-06	True	0.00047999520004799953	9.599904000959991e-05
Qwen3-8B	metamath	head_fro_restore	macro_accuracy	1	1319	0.8400303260045489	0.8718726307808946	0.03184230477634575	0.016679302501895376	0.047763457164518575	0.00010999890001099989	True	0.004509954900450995	0.000586660800058666
Qwen3-8B	tulu	scalar_shrink	mean_ifeval_four_metrics	4	541	0.7980674610034708	0.7444868504457063	-0.05358061055776453	-0.07935832237345647	-0.027670917627974582	5.999940000599994e-05	True	0.0025199748002519974	0.0004114244571839996
Qwen3-8B	tulu	shape_only	mean_ifeval_four_metrics	4	541	0.7980674610034708	0.7679174590087634	-0.03015000199470741	-0.05663614839373432	-0.0041449298942670765	0.023549764502354978	True	0.6263937360626394	0.049147334613610386
Qwen3-8B	tulu	head_only	mean_ifeval_four_metrics	4	541	0.7980674610034708	0.7782589085847773	-0.019808552418693504	-0.04737174515708529	0.007899278839142541	0.16474835251647482	False	1.0	0.21966447002196643
Qwen3-8B	tulu	tail_only	mean_ifeval_four_metrics	4	541	0.7980674610034708	0.7322720381919973	-0.06579542281147355	-0.08957275920949152	-0.04276764307508363	9.99990000099999e-06	True	0.00047999520004799953	9.599904000959991e-05
Qwen3-8B	tulu	hns	mean_ifeval_four_metrics	4	541	0.7980674610034708	0.8161649977614951	0.01809753675802428	-0.003533427066668242	0.040174543821210225	0.1066289337106629	False	1.0	0.14623396623176627
Qwen3-8B	tulu	head_fro_restore	mean_ifeval_four_metrics	4	541	0.7980674610034708	0.7483837329397112	-0.04968372806375965	-0.07535411295076934	-0.02500929409961537	0.00010999890001099989	True	0.004509954900450995	0.000586660800058666
Qwen3-8B	commonsense	scalar_shrink	macro_accuracy	8	22419	0.9078089686538365	0.9089926050961034	0.0011836364422668222	-0.001989995350229027	0.004294345650051213	0.46615533844661555	False	1.0	0.5327489582247035
Qwen3-8B	commonsense	shape_only	macro_accuracy	8	22419	0.9078089686538365	0.8971428817905708	-0.010666086863265756	-0.014302869412671226	-0.007197846443631885	9.99990000099999e-06	True	0.00047999520004799953	9.599904000959991e-05
Qwen3-8B	commonsense	head_only	macro_accuracy	8	22419	0.9078089686538365	0.9025960068579506	-0.005212961795885929	-0.009355580713184916	-0.0012681568547919272	0.010429895701042989	True	0.3233267667323327	0.027813055202781305
Qwen3-8B	commonsense	tail_only	macro_accuracy	8	22419	0.9078089686538365	0.9032514453691781	-0.004557523284658416	-0.0070635402367791224	-0.002125127974897682	0.00034999650003499967	True	0.013649863501364988	0.001614529309252362
Qwen3-8B	commonsense	hns	macro_accuracy	8	22419	0.9078089686538365	0.9033808799295929	-0.004428088724243606	-0.007928270978115798	-0.0008653899682099687	0.013659863401365987	True	0.3961360386396136	0.03278367216327836
Qwen3-8B	commonsense	head_fro_restore	macro_accuracy	8	22419	0.9078089686538365	0.9001004256189514	-0.007708543034885107	-0.010945976351132168	-0.004394201687063858	9.99990000099999e-06	True	0.00047999520004799953	9.599904000959991e-05
Llama-3.1-8B-Instruct	magicoder	scalar_shrink	macro_accuracy	2	421	0.5959238872544368	0.6380848438834583	0.04216095662902153	0.018031697826705894	0.06797475562304262	0.001019989800101999	True	0.036719632803671964	0.003766116184991996
Llama-3.1-8B-Instruct	magicoder	shape_only	macro_accuracy	2	421	0.5959238872544368	0.6258897219322388	0.029965834677802006	0.0019455252918287938	0.05908939925975135	0.04922950770492295	True	1.0	0.0857134285799999
Llama-3.1-8B-Instruct	magicoder	head_only	macro_accuracy	2	421	0.5959238872544368	0.6402913542754105	0.044367467020973717	0.009668311663661385	0.08011056277877954	0.015999840001599985	True	0.4479955200447996	0.03657106286079997
Llama-3.1-8B-Instruct	magicoder	tail_only	macro_accuracy	2	421	0.5959238872544368	0.589826326278827	-0.0060975609756097615	-0.017189427730853184	0.0027877953876815032	0.3753362466375336	False	1.0	0.45040349596504037
Llama-3.1-8B-Instruct	magicoder	hns	macro_accuracy	2	421	0.5959238872544368	0.6361393185916295	0.04021543133719274	0.006416378001328654	0.0748552718990225	0.023199768002319977	True	0.6263937360626394	0.049147334613610386
Llama-3.1-8B-Instruct	magicoder	head_fro_restore	macro_accuracy	2	421	0.5959238872544368	0.6311450128119958	0.03522112555755896	0.011613836955490179	0.05993166935560406	0.004209957900420996	True	0.13892861071389287	0.012629873701262988
Llama-3.1-8B-Instruct	metamath	scalar_shrink	macro_accuracy	1	1319	0.7740712661106899	0.77710386656558	0.0030326004548900665	-0.009097801364670205	0.01592115238817286	0.7248527514724853	False	1.0	0.7731762682373176
Llama-3.1-8B-Instruct	metamath	shape_only	macro_accuracy	1	1319	0.7740712661106899	0.7930250189537529	0.018953752843063	0.001516300227445034	0.0356330553449583	0.03315966840331597	True	0.8289917100828992	0.06631933680663193
Llama-3.1-8B-Instruct	metamath	head_only	macro_accuracy	1	1319	0.7740712661106899	0.7945413191811979	0.020470053070507976	0.001516300227445034	0.039423805913570885	0.04429955700442995	True	1.0	0.08178379754663992
Llama-3.1-8B-Instruct	metamath	tail_only	macro_accuracy	1	1319	0.7740712661106899	0.7763457164518575	0.0022744503411675776	-0.009855951478392721	0.013646702047005308	0.8027219727802722	False	1.0	0.8376229281185449
Llama-3.1-8B-Instruct	metamath	hns	macro_accuracy	1	1319	0.7740712661106899	0.8066717210007581	0.03260045489006824	0.014404852160727824	0.050037907505686124	0.0005499945000549994	True	0.02034979650203498	0.0021999780002199976
Llama-3.1-8B-Instruct	metamath	head_fro_restore	macro_accuracy	1	1319	0.7740712661106899	0.7884761182714177	0.014404852160727843	-0.000758150113722517	0.029567854435178165	0.08132918670813293	False	1.0	0.12972257374200452
Llama-3.1-8B-Instruct	tulu	scalar_shrink	mean_ifeval_four_metrics	4	541	0.700435954378826	0.7184459456464403	0.018009991267614267	-0.001916844912013976	0.038683123625084415	0.08377916220837792	False	1.0	0.12972257374200452
Llama-3.1-8B-Instruct	tulu	shape_only	mean_ifeval_four_metrics	4	541	0.700435954378826	0.7208689610234178	0.0204330066445918	-0.0034412324836352454	0.04453360466031204	0.09272907270927291	False	1.0	0.13487865121348788
Llama-3.1-8B-Instruct	tulu	head_only	mean_ifeval_four_metrics	4	541	0.700435954378826	0.7365185485622592	0.03608259418343318	0.011028282240309287	0.062412193861185544	0.006149938500614994	True	0.1967980320196798	0.01736453223703057
Llama-3.1-8B-Instruct	tulu	tail_only	mean_ifeval_four_metrics	4	541	0.700435954378826	0.694066188823433	-0.006369765555393037	-0.024892870322884012	0.011765014566411918	0.5098149018509814	False	1.0	0.5690957043917932
Llama-3.1-8B-Instruct	tulu	hns	mean_ifeval_four_metrics	4	541	0.700435954378826	0.721143787373059	0.020707832994232955	-0.004477011455864721	0.044657948611883116	0.1021489785102149	False	1.0	0.14421032260265634
