base_model	task	raw_top1_spectral_share	raw_top4_spectral_share	functional_top1_share	functional_top4_share	raw_effective_rank	functional_effective_rank	hidden_alignment_top1_delta	hidden_alignment_top1_ratio	lora_modification_p99	hns_to_lora_p99_ratio	p99_suppression	lora_score	hns_edited_modules	total_modules	hns_scope_fraction	hns_edited_module_types	scalar_shrink_gain	shape_only_gain	head_only_gain	tail_only_gain	hns_gain
Qwen3-8B	magicoder	0.7573876511620925	0.9062372951417528	0.9336935616148376	0.9911203601483242	9.66240316713053	1.374320104787211	0.17630591045274513	1.2327816015777804	0.03662600793456326	0.17539636677090498	0.824603633229095	0.7471173009395464	252	252	1.0	down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj	0.004152035683780975	0.032172345069754194	0.03133007497390139	-0.001103255195976205	0.03716665084938775
Qwen3-8B	metamath	0.663015212140255	0.8698893063088309	0.7954196818167739	0.9582149467129439	10.603495290209793	2.320546036246972	0.13240446967651887	1.1997005004592713	0.11154883664695348	0.22086833809446535	0.7791316619055346	0.8400303260045489	252	252	1.0	down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj	0.0098559514783928	0.038665655799848375	0.031084154662623265	0.010614101592115288	0.04397270659590602
Qwen3-8B	tulu	0.5330937470092117	0.8269715713273049	0.6235842798995781	0.9329135576901336	11.790767980863246	3.3612367954567173	0.09049053289036635	1.1697460032087053	0.0828701861803595	0.3824741281270698	0.6175258718729302	0.7980674610034708	252	252	1.0	down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj	-0.05358061055776453	-0.03015000199470741	-0.019808552418693504	-0.06579542281147355	0.01809753675802428
Qwen3-8B	commonsense	0.6373423532072986	0.9021143350791738	0.6725032084797585	0.9373359634266419	9.685339955971715	3.0861009616630066	0.035160855272459934	1.0551679252061625	0.188007953682905	0.397873360763283	0.602126639236717	0.9078089686538365	252	252	1.0	down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj	0.0011836364422668222	-0.010666086863265756	-0.005212961795885929	-0.004557523284658416	-0.004428088724243606
Llama-3.1-8B-Instruct	magicoder	0.5575568221739886	0.7790971300336161	0.829728935699625	0.9554944226544615	12.346009675180499	2.1865729054748964	0.2721721135256364	1.4881513465558558	0.07457826194871131	0.22934602759451805	0.770653972405482	0.5959238872544368	224	224	1.0	down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj	0.04216095662902153	0.029965834677802006	0.044367467020973717	-0.0060975609756097615	0.04021543133719274
Llama-3.1-8B-Instruct	metamath	0.3426156285114938	0.6679530097224322	0.5062380580811053	0.8249953118499239	13.913986622068043	5.548165235732239	0.16362242956961154	1.4775684935345046	0.07023977697060793	0.5807187699981007	0.4192812300018993	0.7740712661106899	224	224	1.0	down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj	0.0030326004548900665	0.018953752843063	0.020470053070507976	0.0022744503411675776	0.03260045489006824
Llama-3.1-8B-Instruct	tulu	0.31149141338616987	0.6146256395350534	0.5031654371944633	0.7971986872056611	14.359438610591416	6.163652033995809	0.1916740238082934	1.6153428812840709	0.11021189136902862	0.4221369105090784	0.5778630894909216	0.700435954378826	224	224	1.0	down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj	0.018009991267614267	0.0204330066445918	0.03608259418343318	-0.006369765555393037	0.020707832994232955
Llama-3.1-8B-Instruct	commonsense	0.5251042750792243	0.8237473735890996	0.634283977323056	0.9081396188003908	11.500193005068153	3.6766352630086296	0.10917970224383167	1.2079200406954587	0.13576261401514012	0.4719598744624944	0.5280401255375056	0.8786133120633197	224	224	1.0	down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj	0.003941292985012224	-0.006732178811003076	-0.00266077383300245	-0.006540904802398773	-0.0007488557204154977
