case	selection	scope_fraction	runs	mean_gain	sample_sd	min_gain	max_gain
qwen_magicoder	functional_matched_random	0.25	3	-0.010550124956502538	0.006116921024726004	-0.0169284426307299	-0.004733320679510378
qwen_magicoder	functional_matched_random	0.5	3	-0.002400272057195396	0.004896131280979717	-0.0069398310714625655	0.002787795387681369
qwen_magicoder	functional_top1_share	0.25	1	-0.004994305779633779	0.0	-0.004994305779633779	-0.004994305779633779
qwen_magicoder	functional_top1_share	0.5	1	0.0291235645819492	0.0	0.0291235645819492	0.0291235645819492
qwen_magicoder	raw_top1_energy_share	0.25	1	-0.0019455252918287869	0.0	-0.0019455252918287869	-0.0019455252918287869
qwen_magicoder	raw_top1_energy_share	0.5	1	0.022183733510486858	0.0	0.022183733510486858	0.022183733510486858
qwen_magicoder	uniform_random	0.25	3	0.00823684793268161	0.008599101658199533	-0.001103255195976205	0.015825187434753696
qwen_magicoder	uniform_random	0.5	3	0.00869159469804807	0.008192851339693495	0.000842270095852582	0.01718942773085308
