base	task	display_name	variant	method	fast_steps	stable_steps	primary_metric	score	delta_vs_lora_pp	samples
Llama-3.1-8B-Instruct	commonsense	Base	base	base			macro_accuracy	0.713917020346049	-16.56725254075703	22419
Llama-3.1-8B-Instruct	commonsense	HNS 0+0	commonsense__hns_f0_s0	hns	0	0	macro_accuracy	0.8795057301923921	-0.008381556122716294	22419
Llama-3.1-8B-Instruct	commonsense	HNS 2+0	commonsense__hns_f2_s0	hns	2	0	macro_accuracy	0.8740533990701237	-0.5536146683495557	22419
Llama-3.1-8B-Instruct	commonsense	HNS 2+1	commonsense__hns_f2_s1	hns	2	1	macro_accuracy	0.8755883761393761	-0.40011696142431274	22419
Llama-3.1-8B-Instruct	commonsense	HNS 2+2	commonsense__hns_f2_s2	hns	2	2	macro_accuracy	0.8757569509132993	-0.3832594840319947	22419
Llama-3.1-8B-Instruct	commonsense	HNS 4+0	commonsense__hns_f4_s0	hns	4	0	macro_accuracy	0.8751635581098801	-0.44259876437391377	22419
Llama-3.1-8B-Instruct	commonsense	HNS 4+1	commonsense__hns_f4_s1	hns	4	1	macro_accuracy	0.8751690157881425	-0.4420529965476705	22419
Llama-3.1-8B-Instruct	commonsense	HNS 4+2	commonsense__hns_f4_s2	hns	4	2	macro_accuracy	0.8752974159301568	-0.4292129823462498	22419
Llama-3.1-8B-Instruct	commonsense	HNS 8+0	commonsense__hns_f8_s0	hns	8	0	macro_accuracy	0.8745873354480586	-0.5002210305560695	22419
Llama-3.1-8B-Instruct	commonsense	HNS 8+1	commonsense__hns_f8_s1	hns	8	1	macro_accuracy	0.8765734648344385	-0.3016080919180708	22419
Llama-3.1-8B-Instruct	commonsense	HNS 8+2	commonsense__hns_f8_s2	hns	8	2	macro_accuracy	0.875811262191475	-0.3778283562144269	22419
Llama-3.1-8B-Instruct	commonsense	LoRA	commonsense__original_lora	original_lora			macro_accuracy	0.8795895457536193	0.0	22419
Qwen3-8B	magicoder	Base	base	base			pass_at_1	0.6646341463414634	0.0	164
Qwen3-8B	magicoder	HNS 0+0	magicoder__hns_f0_s0	hns	0	0	pass_at_1	0.676829268292683	1.2195121951219523	164
Qwen3-8B	magicoder	HNS 2+0	magicoder__hns_f2_s0	hns	2	0	pass_at_1	0.7560975609756098	9.14634146341463	164
Qwen3-8B	magicoder	HNS 2+1	magicoder__hns_f2_s1	hns	2	1	pass_at_1	0.7439024390243902	7.926829268292678	164
Qwen3-8B	magicoder	HNS 2+2	magicoder__hns_f2_s2	hns	2	2	pass_at_1	0.7621951219512195	9.756097560975608	164
Qwen3-8B	magicoder	HNS 4+0	magicoder__hns_f4_s0	hns	4	0	pass_at_1	0.7439024390243902	7.926829268292678	164
Qwen3-8B	magicoder	HNS 4+1	magicoder__hns_f4_s1	hns	4	1	pass_at_1	0.75	8.536585365853655	164
Qwen3-8B	magicoder	HNS 4+2	magicoder__hns_f4_s2	hns	4	2	pass_at_1	0.7560975609756098	9.14634146341463	164
Qwen3-8B	magicoder	HNS 8+0	magicoder__hns_f8_s0	hns	8	0	pass_at_1	0.75	8.536585365853655	164
Qwen3-8B	magicoder	HNS 8+1	magicoder__hns_f8_s1	hns	8	1	pass_at_1	0.75	8.536585365853655	164
Qwen3-8B	magicoder	HNS 8+2	magicoder__hns_f8_s2	hns	8	2	pass_at_1	0.7560975609756098	9.14634146341463	164
Qwen3-8B	magicoder	LoRA	magicoder__original_lora	original_lora			pass_at_1	0.6646341463414634	0.0	164
Qwen3-8B	metamath	Base	base	base			strict_accuracy	0.8567096285064443	1.5163002274450332	1319
Qwen3-8B	metamath	HNS 0+0	metamath__hns_f0_s0	hns	0	0	strict_accuracy	0.8453373768006065	0.37907505686125553	1319
Qwen3-8B	metamath	HNS 2+0	metamath__hns_f2_s0	hns	2	0	strict_accuracy	0.8824867323730099	4.094010614101595	1319
Qwen3-8B	metamath	HNS 2+1	metamath__hns_f2_s1	hns	2	1	strict_accuracy	0.8824867323730099	4.094010614101595	1319
Qwen3-8B	metamath	HNS 2+2	metamath__hns_f2_s2	hns	2	2	strict_accuracy	0.8824867323730099	4.094010614101595	1319
Qwen3-8B	metamath	HNS 4+0	metamath__hns_f4_s0	hns	4	0	strict_accuracy	0.8824867323730099	4.094010614101595	1319
Qwen3-8B	metamath	HNS 4+1	metamath__hns_f4_s1	hns	4	1	strict_accuracy	0.8802122820318423	3.8665655799848375	1319
Qwen3-8B	metamath	HNS 4+2	metamath__hns_f4_s2	hns	4	2	strict_accuracy	0.8817285822592873	4.018195602729335	1319
Qwen3-8B	metamath	HNS 8+0	metamath__hns_f8_s0	hns	8	0	strict_accuracy	0.8840030326004549	4.245640636846093	1319
Qwen3-8B	metamath	HNS 8+1	metamath__hns_f8_s1	hns	8	1	strict_accuracy	0.8855193328279	4.3972706595906015	1319
Qwen3-8B	metamath	HNS 8+2	metamath__hns_f8_s2	hns	8	2	strict_accuracy	0.8847611827141774	4.3214556482183415	1319
