base	task	configuration	fast_steps	stable_steps	samples	groups	gain_pp	ci95_low_pp	ci95_high_pp	wrong_to_right	right_to_wrong	mcnemar_exact_p	mcnemar_holm_p
Qwen3-8B	magicoder	0+0	0	0	164	1	1.2195121951219512	0.0	3.048780487804878	2	0	0.5	0.5
Qwen3-8B	magicoder	2+0	2	0	164	1	9.146341463414634	1.8292682926829267	16.463414634146343	27	12	0.023702702470473052	0.21332432223425746
Qwen3-8B	magicoder	2+1	2	1	164	1	7.926829268292683	0.6097560975609756	15.24390243902439	25	12	0.0470310274395161	0.21332432223425746
Qwen3-8B	magicoder	2+2	2	2	164	1	9.75609756097561	2.4390243902439024	17.073170731707318	27	11	0.013852965261321432	0.13852965261321432
Qwen3-8B	magicoder	4+0	4	0	164	1	7.926829268292683	0.6097560975609756	15.24390243902439	25	12	0.0470310274395161	0.21332432223425746
Qwen3-8B	magicoder	4+1	4	1	164	1	8.536585365853659	1.2195121951219512	15.853658536585366	26	12	0.03355243967962421	0.21332432223425746
Qwen3-8B	magicoder	4+2	4	2	164	1	9.146341463414634	1.8292682926829267	16.463414634146343	27	12	0.023702702470473052	0.21332432223425746
Qwen3-8B	magicoder	8+0	8	0	164	1	8.536585365853659	1.2195121951219512	15.853658536585366	26	12	0.03355243967962421	0.21332432223425746
Qwen3-8B	magicoder	8+1	8	1	164	1	8.536585365853659	1.2195121951219512	15.853658536585366	26	12	0.03355243967962421	0.21332432223425746
Qwen3-8B	magicoder	8+2	8	2	164	1	9.146341463414634	1.8292682926829267	16.463414634146343	27	12	0.023702702470473052	0.21332432223425746
Qwen3-8B	metamath	0+0	0	0	1319	1	0.37907505686125853	-0.1516300227445034	0.9097801364670205	9	4	0.2668457031250002	0.2668457031250002
Qwen3-8B	metamath	2+0	2	0	1319	1	4.094010614101592	2.2744503411675514	5.913570887035633	102	48	1.2305573559867183e-05	5.5667770746902445e-05
Qwen3-8B	metamath	2+1	2	1	1319	1	4.094010614101592	2.350265352539803	5.837755875663381	99	45	7.95253867812892e-06	5.5667770746902445e-05
Qwen3-8B	metamath	2+2	2	2	1319	1	4.094010614101592	2.350265352539803	5.913570887035633	100	46	9.236846495695692e-06	5.5667770746902445e-05
Qwen3-8B	metamath	4+0	4	0	1319	1	4.094010614101592	2.350265352539803	5.913570887035633	99	45	7.95253867812892e-06	5.5667770746902445e-05
Qwen3-8B	metamath	4+1	4	1	1319	1	3.8665655799848366	2.122820318423048	5.686125852918878	99	48	3.140755821238909e-05	6.281511642477818e-05
Qwen3-8B	metamath	4+2	4	2	1319	1	4.01819560272934	2.1986353297952994	5.761940864291129	100	47	1.4694252456727129e-05	5.5667770746902445e-05
Qwen3-8B	metamath	8+0	8	0	1319	1	4.245640636846096	2.4260803639120545	5.9893858984078845	102	46	4.805270754169583e-06	3.844216603335666e-05
Qwen3-8B	metamath	8+1	8	1	1319	1	4.397270659590599	2.577710386656558	6.21683093252464	104	46	2.4715829058160962e-06	2.4715829058160962e-05
Qwen3-8B	metamath	8+2	8	2	1319	1	4.321455648218348	2.501895375284306	6.1410159211523885	103	46	3.451074425265725e-06	3.1059669827391526e-05
Qwen3-8B	tulu	0+0	0	0	541	1	0.0	-1.6635859519408502	1.6635859519408502	10	10	1.0	1.0
Qwen3-8B	tulu	2+0	2	0	541	1	2.4029574861367835	-0.18484288354898337	4.990757855822551	34	21	0.10478948242660402	0.4481225289605853
Qwen3-8B	tulu	2+1	2	1	541	1	3.1423290203327174	0.7393715341959335	5.730129390018484	33	16	0.02129411414138735	0.19164702727248614
Qwen3-8B	tulu	2+2	2	2	541	1	2.4029574861367835	-0.18484288354898337	4.990757855822551	32	19	0.0919145498158516	0.4481225289605853
Qwen3-8B	tulu	4+0	4	0	541	1	3.6968576709796674	0.9242144177449169	6.469500924214418	41	21	0.015134080997446946	0.15134080997446947
Qwen3-8B	tulu	4+1	4	1	541	1	2.5878003696857674	0.0	5.175600739371535	33	19	0.07039422106706363	0.4481225289605853
Qwen3-8B	tulu	4+2	4	2	541	1	2.7726432532347505	0.0	5.545286506469501	37	22	0.06744461190078899	0.4481225289605853
Qwen3-8B	tulu	8+0	8	0	541	1	2.957486136783734	0.0	5.914972273567468	41	25	0.06401750413722647	0.4481225289605853
Qwen3-8B	tulu	8+1	8	1	541	1	2.7726432532347505	0.18484288354898337	5.360443622920517	34	19	0.05343881053771083	0.42751048430168664
Qwen3-8B	tulu	8+2	8	2	541	1	1.2939001848428837	-1.478743068391867	4.066543438077634	32	25	0.42704285650326645	0.8540857130065329
Qwen3-8B	commonsense	0+0	0	0	22419	8	-0.00043236655821597323	-0.07243155498330801	0.05902284383573743	15	11	0.5571970939636283	0.5571970939636283
Qwen3-8B	commonsense	2+0	2	0	22419	8	-0.5567498296023756	-0.9050873303643878	-0.2147429340470823	317	422	0.00012729869011115447	0.0012729869011115448
Qwen3-8B	commonsense	2+1	2	1	22419	8	-0.4851430049486829	-0.8349833503728221	-0.1464496570477812	331	419	0.0014726712485313882	0.0037965255116603406
Qwen3-8B	commonsense	2+2	2	2	22419	8	-0.4814210907134426	-0.8409253128448526	-0.1250854355202236	344	439	0.0007710535868617068	0.0035590774737052546
Qwen3-8B	commonsense	4+0	4	0	22419	8	-0.4739443773665833	-0.8210028595105447	-0.127716258735227	345	450	0.0002212723088072574	0.001991450779265317
Qwen3-8B	commonsense	4+1	4	1	22419	8	-0.4680755510533325	-0.8246191618476968	-0.1088784464971965	345	436	0.0012655085038867802	0.0037965255116603406
Qwen3-8B	commonsense	4+2	4	2	22419	8	-0.5150619725863448	-0.8695963070847422	-0.1612197618494958	347	444	0.0006326469086273543	0.0035590774737052546
