base	task	metric	Base	LoRA	HNS_0+0	HNS_2+0	HNS_2+1	HNS_2+2	HNS_4+0	HNS_4+1	HNS_4+2	HNS_8+0	HNS_8+1	HNS_8+2	best_HNS	best_HNS_score	best_HNS_gain_pp
Qwen3-8B	magicoder	pass_at_1	0.6646341463414634	0.6646341463414634	0.676829268292683	0.7560975609756098	0.7439024390243902	0.7621951219512195	0.7439024390243902	0.75	0.7560975609756098	0.75	0.75	0.7560975609756098	HNS 2+2	0.7621951219512195	9.756097560975608
Qwen3-8B	metamath	strict_accuracy	0.8567096285064443	0.8415466262319939	0.8453373768006065	0.8824867323730099	0.8824867323730099	0.8824867323730099	0.8824867323730099	0.8802122820318423	0.8817285822592873	0.8840030326004549	0.8855193328279	0.8847611827141774	HNS 8+1	0.8855193328279	4.3972706595906015
Qwen3-8B	tulu	prompt_level_strict_accuracy	0.7060998151571165	0.6765249537892791	0.6765249537892791	0.7005545286506469	0.7079482439926063	0.7005545286506469	0.7134935304990758	0.7024029574861368	0.7042513863216266	0.7060998151571165	0.7042513863216266	0.6894639556377079	HNS 4+0	0.7134935304990758	3.6968576709796697
Qwen3-8B	commonsense	macro_accuracy	0.8269930161201561	0.9078616627399869	0.9078573390744048	0.9022941644439632	0.9030102326905001	0.9030474518328525	0.903122218966321	0.9031809072294537	0.9027110430141235	0.9029883404886484	0.9026106855603447	0.9026860293509307	HNS 0+0	0.9078573390744048	-0.00043236655821177195
Llama-3.1-8B-Instruct	magicoder	pass_at_1	0.524390243902439	0.5365853658536586	0.5426829268292683	0.5365853658536586	0.5426829268292683	0.5365853658536586	0.5365853658536586	0.5487804878048781	0.5365853658536586	0.5426829268292683	0.5487804878048781	0.5365853658536586	HNS 4+1	0.5487804878048781	1.2195121951219523
Llama-3.1-8B-Instruct	metamath	strict_accuracy	0.6239575435936315	0.7710386656557998	0.7733131159969674	0.8089461713419257	0.8081880212282032	0.8028809704321456	0.8089461713419257	0.8066717210007581	0.8104624715693708	0.8066717210007581	0.8013646702047005	0.8081880212282032	HNS 4+2	0.8104624715693708	3.9423805913570975
Llama-3.1-8B-Instruct	tulu	prompt_level_strict_accuracy	0.6210720887245841	0.6321626617375231	0.6358595194085028	0.6506469500924215	0.6506469500924215	0.6451016635859519	0.6543438077634011	0.6487985212569316	0.6506469500924215	0.6469500924214417	0.6432532347504621	0.6524953789279113	HNS 4+0	0.6543438077634011	2.218114602587795
Llama-3.1-8B-Instruct	commonsense	macro_accuracy	0.713917020346049	0.8795895457536193	0.8795057301923921	0.8740533990701237	0.8755883761393761	0.8757569509132993	0.8751635581098801	0.8751690157881425	0.8752974159301568	0.8745873354480586	0.8765734648344385	0.875811262191475	HNS 0+0	0.8795057301923921	-0.008381556122716294
