checkpoint	base	task	seed	comparison	target	off_score	forgetting_gap
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	hns_f4_s1 minus flat_e	0.9242144177449063	0.05498706144311427	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	hns_f4_s1 minus flat_e	-1.293900184842883	0.129940146279921	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	hns_f4_s1 minus flat_e	-0.3696857670979625	0.34464926483870784	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1 minus scalar_f	-1.2195121951219505	1.9352785214396349	-1.5309317941209621
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1 minus scalar_f	-1.8292682926829187	1.3799749373697807	-0.3080714725816378
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1 minus scalar_f	-4.26829268292682	0.9658364204912715	-0.3463015001360905
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1 minus scalar_f	2.9567854435178162	4.149564672013341	-2.3202963793304194
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1 minus scalar_f	1.5921152388172857	1.495599133569172	-2.9684535446979767
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1 minus scalar_f	2.122820318423038	1.0103711921684635	-2.4624759262195113
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1 minus scalar_f	0.36968576709797674	0.5201855700164941	0.1379565307373364
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	hns_f4_s1 minus scalar_f	0.9242144177449063	0.07450481579148516	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	hns_f4_s1 minus scalar_f	1.293900184842883	-0.7694037857753813	0.0
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	hns_f4_s1 minus scalar_f	0.0	1.700720228307901	-0.25271670457416917
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	hns_f4_s1 minus scalar_f	5.487804878048792	1.12857526811068	-0.10108668182966578
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	hns_f4_s1 minus scalar_f	4.878048780487816	1.2066233563001987	0.0
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	hns_f4_s1 minus scalar_f	3.260045489006828	1.1425665313010143	0.0
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	hns_f4_s1 minus scalar_f	1.7437452615617843	3.6313612449908703	-0.4929143561306262
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	hns_f4_s1 minus scalar_f	1.5921152388172715	3.994858116881474	-3.1599867754684965
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	hns_f4_s1 minus scalar_f	2.033271719038808	-0.3108757321319331	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	hns_f4_s1 minus scalar_f	2.7726432532347474	-0.772726706655078	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	hns_f4_s1 minus scalar_f	2.2181146025878036	-0.27883285962447246	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	scalar_e minus flat_e	3.0487804878048763	0.785460538433	-0.15366877699756754
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	scalar_e minus flat_e	0.0	0.031145765727487174	0.24645717806531087
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	scalar_e minus flat_e	4.878048780487795	0.5540535876948951	-0.18484288354898126
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	scalar_e minus flat_e	-2.350265352539793	-1.8255968450309439	0.40283261738866116
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	scalar_e minus flat_e	0.7581501137225217	0.9613011467133674	0.1011864366228939
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	scalar_e minus flat_e	-0.07581501137224222	1.110839685454593	0.123045948715171
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	scalar_e minus flat_e	1.6635859519408456	0.4723432475496452	0.36377921526709167
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	scalar_e minus flat_e	0.0	-0.5320624741868158	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	scalar_e minus flat_e	-1.1090573012939018	1.4261023674625761	0.0
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	scalar_e minus flat_e	0.0	0.24348593521632722	0.0
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	scalar_e minus flat_e	1.8292682926829258	-0.004091962575301977	0.0
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	scalar_e minus flat_e	2.439024390243901	0.3213688306340714	0.0
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	scalar_e minus flat_e	-1.2888551933282884	-0.791594161298562	0.4065040650406502
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	scalar_e minus flat_e	-1.213040181956032	-2.144496438956736	0.0
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	scalar_e minus flat_e	-2.1986353297953087	-1.6089989958490492	1.0162601626016279
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	scalar_e minus flat_e	3.142329020332724	-1.177217756009469	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	scalar_e minus flat_e	-2.0332717190388223	0.6562315033463051	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	scalar_e minus flat_e	0.18484288354898126	-0.2154915369869883	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	scalar_e minus scalar_f	0.0	2.2956820759520227	-1.5375319622295032
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	scalar_e minus scalar_f	0.6097560975609753	1.488790178386651	-0.4313000616142919
