base	task	seed	checkpoint	method	benchmark	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Qwen3-8B	tulu	44	Qwen3-8B/tulu/seed44	flat_e	tulu	target	0.6666666666666666	1	0.7222222222222222	1	0.025878003696857672	1	0.025878003696857672	1	0.109375	1	0.04294478527607362	1	1	541	51	36	128	326	34	26	14	14
Qwen3-8B	magicoder	42	Qwen3-8B/magicoder/seed42	hns_f4_s1	commonsense	off_task	0.775234205524315	8	0.35040094460587234	8	0.0033478812143048105	8	0.0009094722747836962	8	0.02336959935818491	8	0.0012398393032811515	8	8	22419	494	587	2981	18357	411	185	72	27
Qwen3-8B	magicoder	42	Qwen3-8B/magicoder/seed42	scalar_e	commonsense	off_task	0.7456930798635244	8	0.3871233009983011	8	0.004026477375089786	8	0.0018436075638385398	8	0.02500067205952974	8	0.002618769503377337	8	8	22419	494	587	2981	18357	402	210	86	44
Qwen3-8B	magicoder	42	Qwen3-8B/magicoder/seed42	flat_e	commonsense	off_task	0.7822112068511615	8	0.35461324643361064	8	0.002871246745825382	8	0.001208075126375299	8	0.020380793032167374	8	0.001615687970160641	8	8	22419	494	587	2981	18357	412	187	68	31
Qwen3-8B	magicoder	43	Qwen3-8B/magicoder/seed43	hns_f4_s1	commonsense	off_task	0.7575174921165155	8	0.3467440836012762	8	0.002272001023461838	8	0.0010555561461342152	8	0.017847242684150732	8	0.0013326275216466654	8	8	22419	456	606	2962	18395	361	199	53	31
Qwen3-8B	magicoder	43	Qwen3-8B/magicoder/seed43	scalar_e	commonsense	off_task	0.7098129039735671	8	0.42812572080647837	8	0.00345245320670889	8	0.001483876369089448	8	0.02599366006007852	8	0.0018996323166998678	8	8	22419	456	606	2962	18395	342	242	83	50
Qwen3-8B	magicoder	43	Qwen3-8B/magicoder/seed43	flat_e	commonsense	off_task	0.7572084616582413	8	0.35989388629064445	8	0.002034448743039611	8	0.0010005819934917	8	0.016179685256249993	8	0.0012684498846644275	8	8	22419	456	606	2962	18395	362	204	53	32
Qwen3-8B	magicoder	44	Qwen3-8B/magicoder/seed44	hns_f4_s1	commonsense	off_task	0.7868638553906411	8	0.37678316586857746	8	0.002591044415354268	8	0.0013743297681720753	8	0.020740087386535398	8	0.0017606083214840753	8	8	22419	476	599	2969	18375	385	203	58	33
Qwen3-8B	magicoder	44	Qwen3-8B/magicoder/seed44	scalar_e	commonsense	off_task	0.7560504453158674	8	0.4647932173823177	8	0.003279336824361287	8	0.002131956282243011	8	0.021552451835861623	8	0.002765353851291791	8	8	22419	476	599	2969	18375	360	248	76	52
Qwen3-8B	magicoder	44	Qwen3-8B/magicoder/seed44	flat_e	commonsense	off_task	0.7991834216468957	8	0.39132140472303006	8	0.0027507813779932212	8	0.0014547861928641032	8	0.020678907690994418	8	0.001856706040223229	8	8	22419	476	599	2969	18375	382	206	65	35
