method	n	raw_fpr	full_moment_pr	energy_ratio	target	off_score	forgetting_gap
hns_f4_s1	18	7.3451420813058705	5.392337873249273	0.09723731884124506	72.08343957191462	72.79151252738858	0.3440958896830035
functional_hns_a05	18	12.728100029505088	8.831196766662776	0.06359054005990206	72.10799564275887	72.58626018238894	0.2535717205821584
functional_hns_a10	18	15.981973598098275	12.112846430503621	0.0536342800130549	71.59573640832326	72.28403113381923	0.2890077969717766
functional_flat	18	15.999999999999963	12.130342385412792	0.05348305241425715	71.32166199384011	72.34049821640636	0.3125615772103349
