cohort	pr_definition	model	checkpoint	method	outcome	log_energy_ratio	raw_fpr	full_moment_pr
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	hns_f4_s1	target_gain	0.01480243542666003		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	functional_hns_a05	target_gain	-0.833481463862353		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	functional_hns_a10	target_gain	-1.0943481807473268		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	functional_flat	target_gain	-1.1114366126066715		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	original_lora	target_gain	2.844187299244994		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	hns_f4_s1	target_gain	0.07175312687996666		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	functional_hns_a05	target_gain	-0.8304706509913871		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	functional_hns_a10	target_gain	-1.1119311036987145		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	functional_flat	target_gain	-1.1170449251947903		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	original_lora	target_gain	2.8838671447338755		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	hns_f4_s1	target_gain	0.06639512435587855		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	functional_hns_a05	target_gain	-0.8383820321439499		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	functional_hns_a10	target_gain	-1.1194099901815056		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	functional_flat	target_gain	-1.1252604954760526		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	original_lora	target_gain	0.9396603029102223		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	hns_f4_s1	target_gain	-0.0501202035734346		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	functional_hns_a05	target_gain	-0.20908234051981903		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	functional_hns_a10	target_gain	-0.28997784477642324		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	functional_flat	target_gain	-0.29023950689367617		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	original_lora	target_gain	2.15815629623268		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	hns_f4_s1	target_gain	0.11757844331864177		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	functional_hns_a05	target_gain	-0.6452705348817865		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	functional_hns_a10	target_gain	-0.9334764463485106		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	functional_flat	target_gain	-0.932144644958309		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	original_lora	target_gain	2.1281432950540977		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	hns_f4_s1	target_gain	0.119295762076226		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	functional_hns_a05	target_gain	-0.6353557948889782		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	functional_hns_a10	target_gain	-0.9257645355282149		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	functional_flat	target_gain	-0.9249102508655792		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	original_lora	target_gain	1.6844709710365018		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	hns_f4_s1	target_gain	-0.03622972928553988		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	functional_hns_a05	target_gain	-0.4183853341269242		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	functional_hns_a10	target_gain	-0.5789421134652528		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	functional_flat	target_gain	-0.5784543355877066		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	original_lora	target_gain	1.6905793171512855		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	hns_f4_s1	target_gain	-0.032459492338120136		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	functional_hns_a05	target_gain	-0.420588038194985		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	functional_hns_a10	target_gain	-0.5867943389349509		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	functional_flat	target_gain	-0.5858184630069887		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed44	original_lora	target_gain	1.6985463714149995		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed44	hns_f4_s1	target_gain	-0.03896285783160902		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed44	functional_hns_a05	target_gain	-0.41977237633296854		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed44	functional_hns_a10	target_gain	-0.5814290113227135		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed44	functional_flat	target_gain	-0.5804564102644927		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed42	scalar_e	target_gain	0.06487879923274588		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed42	scalar_e	target_gain	-0.13094917720267568		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed42	scalar_e	target_gain	-0.06131173274268428		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed43	scalar_e	target_gain	0.0652684811595651		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed43	scalar_e	target_gain	-0.11708388295923847		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed43	scalar_e	target_gain	-0.05226618138301679		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed44	scalar_e	target_gain	0.07474734036048036		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed44	scalar_e	target_gain	-0.11284119477608244		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed44	scalar_e	target_gain	-0.05247445707132838		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed42	flat_e	target_gain	0.06487879923274588		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed42	flat_e	target_gain	-0.13094917720267568		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed42	flat_e	target_gain	-0.06131173274268428		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed43	flat_e	target_gain	0.0652684811595651		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed43	flat_e	target_gain	-0.11708388295923847		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed43	flat_e	target_gain	-0.05226618138301679		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed44	flat_e	target_gain	0.07474734036048036		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed44	flat_e	target_gain	-0.11284119477608244		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed44	flat_e	target_gain	-0.05247445707132838		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	scalar_e	target_gain	0.01480243542666003		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	scalar_e	target_gain	-0.0501202035734346		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	scalar_e	target_gain	-0.03622972928553988		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	scalar_e	target_gain	0.07175312687996666		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	scalar_e	target_gain	0.11757844331864177		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	scalar_e	target_gain	-0.032459492338120136		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	scalar_e	target_gain	0.06639512435587855		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	scalar_e	target_gain	0.119295762076226		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed44	scalar_e	target_gain	-0.03896285783160902		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	flat_e	target_gain	0.01480243542666003		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	flat_e	target_gain	-0.0501202035734346		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	flat_e	target_gain	-0.03622972928553988		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	flat_e	target_gain	0.07175312687996666		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	flat_e	target_gain	0.11757844331864177		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	flat_e	target_gain	-0.032459492338120136		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	flat_e	target_gain	0.06639512435587855		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	flat_e	target_gain	0.119295762076226		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed44	flat_e	target_gain	-0.03896285783160902		
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed42	original_lora	target_gain		-1.0131594973414682	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed42	hns_f4_s1	target_gain		-0.7696525855930961	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed42	functional_hns_a05	target_gain		0.36443490618890984	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed42	functional_hns_a10	target_gain		1.599135526590829	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed42	functional_flat	target_gain		1.6044000979296884	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed43	original_lora	target_gain		-1.0340946545868768	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed43	hns_f4_s1	target_gain		-0.7542769536741128	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed43	functional_hns_a05	target_gain		0.42719778770716854	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed43	functional_hns_a10	target_gain		1.572712198247219	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed43	functional_flat	target_gain		1.5778443966504871	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed44	original_lora	target_gain		-1.0306802667839479	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed44	hns_f4_s1	target_gain		-0.7538575100900056	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed44	functional_hns_a05	target_gain		0.416092459707945	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed44	functional_hns_a10	target_gain		1.5783410381711818	
A_all_versions	raw_fpr	FPR	Qwen3-8B/magicoder/seed44	functional_flat	target_gain		1.5838534249275684	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed42	original_lora	target_gain		-1.289050329946985	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed42	hns_f4_s1	target_gain		-0.33156184634178937	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed42	functional_hns_a05	target_gain		0.7130041559992584	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed42	functional_hns_a10	target_gain		1.2775984932858322	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed42	functional_flat	target_gain		1.2812628884730222	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed43	original_lora	target_gain		-1.316481656278546	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed43	hns_f4_s1	target_gain		-0.21860653238830907	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed43	functional_hns_a05	target_gain		0.7171133997955971	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed43	functional_hns_a10	target_gain		1.1881518766366703	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed43	functional_flat	target_gain		1.1912684887756655	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed44	original_lora	target_gain		-1.3048428126906766	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed44	hns_f4_s1	target_gain		-0.24979599510239672	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed44	functional_hns_a05	target_gain		0.7286012723111969	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed44	functional_hns_a10	target_gain		1.2060356080142018	
A_all_versions	raw_fpr	FPR	Qwen3-8B/metamath/seed44	functional_flat	target_gain		1.2091938146971908	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed42	original_lora	target_gain		-1.3769183771838687	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed42	hns_f4_s1	target_gain		-0.007573690941357668	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed42	functional_hns_a05	target_gain		0.7164045046123848	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed42	functional_hns_a10	target_gain		1.035546713158691	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed42	functional_flat	target_gain		1.038216735343269	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed43	original_lora	target_gain		-1.3801474471064719	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed43	hns_f4_s1	target_gain		0.07373478566189953	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed43	functional_hns_a05	target_gain		0.7086715546696571	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed43	functional_hns_a10	target_gain		0.9607843658887393	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed43	functional_flat	target_gain		0.9632891319624726	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed44	original_lora	target_gain		-1.392249607855673	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed44	hns_f4_s1	target_gain		0.05937103692793188	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed44	functional_hns_a05	target_gain		0.7306751265366017	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed44	functional_hns_a10	target_gain		0.9862668949104944	
A_all_versions	raw_fpr	FPR	Qwen3-8B/tulu/seed44	functional_flat	target_gain		0.9887872920489257	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed42	original_lora	target_gain		-1.186712229007253	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed42	hns_f4_s1	target_gain		-0.5711910968416322	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed42	functional_hns_a05	target_gain		0.7664544830141262	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed42	functional_hns_a10	target_gain		1.391304234159485	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed42	functional_flat	target_gain		1.39414282728379	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed43	original_lora	target_gain		-1.1357718234312673	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed43	hns_f4_s1	target_gain		-0.627850193339378	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed43	functional_hns_a05	target_gain		0.6572716200187999	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed43	functional_hns_a10	target_gain		1.4447139308798491	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed43	functional_flat	target_gain		1.4476304560724802	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed44	original_lora	target_gain		-1.1514816463132174	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed44	hns_f4_s1	target_gain		-0.5999816270732581	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed44	functional_hns_a05	target_gain		0.6514273129801516	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed44	functional_hns_a10	target_gain		1.4322221429174602	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/magicoder/seed44	functional_flat	target_gain		1.43509571186133	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed42	original_lora	target_gain		-1.3447256257259599	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed42	hns_f4_s1	target_gain		0.15997689514559957	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed42	functional_hns_a05	target_gain		0.68366766770111	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed42	functional_hns_a10	target_gain		0.8517889725067795	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed42	functional_flat	target_gain		0.854125847839497	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed43	original_lora	target_gain		-1.134673924155199	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed43	hns_f4_s1	target_gain		-0.5418353551875817	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed43	functional_hns_a05	target_gain		0.623138533959019	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed43	functional_hns_a10	target_gain		1.368672708446562	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed43	functional_flat	target_gain		1.3715356492032877	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed44	original_lora	target_gain		-1.1262976590172844	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed44	hns_f4_s1	target_gain		-0.5622956457645589	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed44	functional_hns_a05	target_gain		0.6509144006705881	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed44	functional_hns_a10	target_gain		1.3784130698123889	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/metamath/seed44	functional_flat	target_gain		1.3812599240030954	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed42	original_lora	target_gain		-1.2953138192088267	
A_all_versions	raw_fpr	FPR	Llama-3.1-8B-Instruct/tulu/seed42	hns_f4_s1	target_gain		0.15066600776506775	
