base	task	seed	method	module	analytic_energy_relative_error	saved_energy_relative_error	shape_spread	source_basis_sha256	nuclear_ratio
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.11.self_attn.k_proj	2.220446049250313e-16	4.823786095231597e-06	5.551115123125783e-17	3b974989e5aad37f79446e1c38522598520e95caaf8b20fbc3c1c70fac116444	0.297765942316717
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.11.self_attn.o_proj	0.0	1.7886882688333827e-06	5.551115123125783e-17	f43bb6cc4f046a134d8c3b7f7a5ebafff5f0cfbbed9709fdfb5ed2dae310647c	0.23505985829403758
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.11.self_attn.q_proj	2.220446049250313e-16	1.924074224834982e-06	0.0	b9eeb3320ce71b9af385d893b85addce455bd1bf896468a05438d581fdf5f919	0.20434177834464012
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.11.self_attn.v_proj	2.220446049250313e-16	5.283533661692985e-07	0.0	256fdc9db41edf122154613c7520d3af2b1893907e3bba7e87d560db202d060f	0.15765103257437943
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.12.mlp.down_proj	2.220446049250313e-16	7.26543289086834e-07	5.551115123125783e-17	915c415ef9138f82825ec3eceadd1e2896fde2972d01799a089774d9654a3977	0.23103798954096091
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.12.mlp.gate_proj	2.220446049250313e-16	6.206148775778075e-06	0.0	3a55919fc627eb4a69de253de8c7d21a4be34c77b749f162fb19f93d758f9a4a	0.2861777195836954
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.12.mlp.up_proj	3.3306690738754696e-16	5.21535645003901e-07	5.551115123125783e-17	70946a6cf6ec8d32ed5d648d84862871d69b00254170b859e2d6748810717e1d	0.2892012123203846
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.12.self_attn.k_proj	3.3306690738754696e-16	4.648550400165874e-07	5.551115123125783e-17	37c9ba55db3fb0a13e65a2c00041faccfdef6b4db9a525898b997ed908d6d84f	0.3035540521801785
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.12.self_attn.o_proj	2.220446049250313e-16	5.22311986961288e-06	5.551115123125783e-17	7e8f7e9747c288b1dc916e15d844806c4bf8cf9c9d56ba2fc70489fc7ec8e266	0.20068744846709022
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.12.self_attn.q_proj	2.220446049250313e-16	2.462488136734109e-07	5.551115123125783e-17	d6f9a459c6c881b9c9db467c4d2cf3a0270785ca24895d5ed37449f78f22ce08	0.24774642113832604
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.12.self_attn.v_proj	1.1102230246251565e-16	2.143713896174404e-06	2.7755575615628914e-17	5f1e48b1d1e357cb56d901f0c5f12ce6f9a61b59c639d81bf6300e407536e599	0.12409925210689578
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.13.mlp.down_proj	2.220446049250313e-16	9.237625959723772e-07	2.7755575615628914e-17	3709318fa699d139b99cdf64fd9e2fa707d309b57b36596be08ab92abe068ab2	0.23747803322886094
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.13.mlp.gate_proj	2.220446049250313e-16	2.9615993012432895e-06	5.551115123125783e-17	84f3a9c39cf542829f7a60160c0a63385330d537d928d5fd4c7cac5cbf359aeb	0.3161083704466485
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.13.mlp.up_proj	0.0	2.3237314109580964e-06	0.0	82d3b68c1c6ada61c42fdf885ff14ded19394de72ea3a6dfaca4037112802ec1	0.26624384858091704
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.13.self_attn.k_proj	2.220446049250313e-16	2.029625056243489e-06	5.551115123125783e-17	ec301fee9fca0fe70837d1c8dd1f3915468df2c54c4d2dc298a8926437aee8d3	0.3883503025663142
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.13.self_attn.o_proj	0.0	2.1491797183026407e-06	0.0	334cb3c0532e7d9e5ee6c629de27968da5287ea9f0ca0c48fdf8d78d02309d80	0.3100444822645014
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.13.self_attn.q_proj	0.0	3.196574151376197e-06	0.0	eb8d35503ac196509240d0a727b076abb26e883f5d66626261b96fc85696a852	0.28528871197967465
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.13.self_attn.v_proj	1.1102230246251565e-16	9.172806054724703e-07	2.7755575615628914e-17	80c332bdbf03a7db7d7fbddcc368c87670670c2a0f170603733c759a4a7cb905	0.16686918554496522
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.14.mlp.down_proj	0.0	6.729356430978939e-07	2.7755575615628914e-17	6415bd07bb06406d66fefb428886d014a056f1542b302d25e56494d1e4067c12	0.23890869249733038
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.14.mlp.gate_proj	0.0	1.0833791747044685e-06	5.551115123125783e-17	f3925f9a2e8dbced2810cc9f7c9f276ce79baf5422d9231a70d6c08d0821cd05	0.33809878650558445
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.14.mlp.up_proj	2.220446049250313e-16	4.328885536919458e-06	0.0	1c70e97577e291b844e44bbf791f96a3934c87758cea16c6ce5f55ac2626a2c0	0.30563709207164963
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.14.self_attn.k_proj	1.1102230246251565e-16	1.30209635307299e-06	1.1102230246251565e-16	16386a060834e89b4eac8af9632ff319c61165b5cbdfe043f141028a093f6d49	0.4616696745688886
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.14.self_attn.o_proj	2.220446049250313e-16	7.966041213336439e-07	5.551115123125783e-17	8451d01e6056954c48edb0353f611fa97ebcb814f3f6402282c70a6dca3d7c81	0.33757553522008177
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.14.self_attn.q_proj	7.771561172376096e-16	3.458471044215372e-06	0.0	ce94b3571ac2faf01dd3df2440439ce1bc59735b6d6c9d74810449675d71fa8d	0.26914809051237276
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.14.self_attn.v_proj	1.1102230246251565e-16	7.935151420390696e-07	5.551115123125783e-17	48bce0f452d2582d3a8546977d158c914f356a7e5d44fda17cef1d9a7adad739	0.20187241454424965
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.15.mlp.down_proj	0.0	1.2221961909197887e-07	0.0	0e4561fb07e4b9242882b3b55836abce5669c49b2082e36d8ce8919aea41d3b6	0.25633510196890646
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.15.mlp.gate_proj	2.220446049250313e-16	4.272806394589601e-06	0.0	493ab2bf1548f2a0a16f4ca3fdff387990627a6f1bb56daf1f3be67fcae8e47e	0.28048210152076836
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.15.mlp.up_proj	4.440892098500626e-16	5.165416384733668e-06	0.0	8d6e2cc2694892b8389ca4353836d2866dee45a8cd3c424f2e161844ba535042	0.2802681659987012
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.15.self_attn.k_proj	2.220446049250313e-16	5.452632491187437e-06	0.0	3d0f9b0fc65825c11f64f3936f834cc6be8d9220a2e507dc52d7e67556581459	0.33564058963491716
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.15.self_attn.o_proj	3.3306690738754696e-16	4.556232887198419e-06	5.551115123125783e-17	f856614f3c7a74f44bdfc71224befd4117933c65deee79c7f0605cd89e1dd814	0.24293429846454345
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.15.self_attn.q_proj	1.1102230246251565e-16	7.282553349252652e-07	5.551115123125783e-17	fac04075668899b34b19244e31fdb72ace4256347d4737d6e6cf3df919342764	0.24570217411570552
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.15.self_attn.v_proj	2.220446049250313e-16	1.63765614558109e-06	2.7755575615628914e-17	408b02a7333128fdadcb8a3fc5478a9f530dec633d809d93c938e3477efd9882	0.21102993307150503
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.16.mlp.down_proj	2.220446049250313e-16	2.616727450277523e-06	1.1102230246251565e-16	ecdc9827ee22e2deafc138243363c5a76363e0e92ad2e15643aaca23e98861d5	0.34764468262530435
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.16.mlp.gate_proj	2.220446049250313e-16	1.3171839188252932e-06	2.7755575615628914e-17	a28726fdb80a0938838b558d1f0ed2a7b95ee42485201ff3e1f808023be45650	0.22176137724042877
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.16.mlp.up_proj	2.220446049250313e-16	2.2877039839164226e-06	2.7755575615628914e-17	4488790fcf72c951d908aacdccfa72a5bb25f6ac56dffd47388904ff1bd205eb	0.19300073791665426
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.16.self_attn.k_proj	2.220446049250313e-16	2.228022238703886e-06	1.1102230246251565e-16	b5af388853eef821d76d041e93cc73e1e475e89633d4cc6dc286fb25b20a6030	0.481330327193476
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.16.self_attn.o_proj	2.220446049250313e-16	1.5406439359821889e-06	5.551115123125783e-17	f265cd5932422836a8a23a996ef7da0e72bae9d2146c2148d11b2066e892dd1c	0.24437342241090143
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.16.self_attn.q_proj	3.3306690738754696e-16	2.8680941762670997e-06	2.7755575615628914e-17	6f46cc8e7f40423ef29d11e85f566dd793a23aa16770a5cd53239a44bb3e9c60	0.22361452339690283
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.16.self_attn.v_proj	0.0	2.0202387452927795e-06	2.7755575615628914e-17	47aeb9d02ecad5279a5b2e28091dd98700ac91c99e067ac5a555e1b7c970e22b	0.21088098622936077
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.17.mlp.down_proj	2.220446049250313e-16	4.02473347094201e-07	0.0	7037c63e308dce7eea7b94cf5fc4603d26654ee7dfe6bd044201769bf6fb4ae7	0.1656231629279677
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.17.mlp.gate_proj	0.0	1.076492096574455e-06	0.0	0c1edc25e8dacc0ddf06bf965992cd6a50621d5dd6df6987514383f839777474	0.14089583141027043
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.17.mlp.up_proj	4.440892098500626e-16	4.296882042176264e-06	2.7755575615628914e-17	32e1434a5f56416b8238c7cea5eb930696d1c8cd54f73bd1ff39cb8b625acf74	0.1662369481565131
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.17.self_attn.k_proj	2.220446049250313e-16	2.421809278008169e-06	1.1102230246251565e-16	0e824370935c3a87d5d06483997919ff793654ec14368923869626c680dd87d3	0.4554006757851742
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.17.self_attn.o_proj	3.3306690738754696e-16	2.106829500858609e-06	5.551115123125783e-17	ff570c060544b53cb1a380feb72d94600f75302e8692614b81940a114d77252d	0.21432271054744226
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.17.self_attn.q_proj	2.220446049250313e-16	9.319420734010819e-07	0.0	2a9107bd51e19869d9fa0876394e6e6d836665ce3848c6bc59948fea6ab8c122	0.26055930140083716
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.17.self_attn.v_proj	2.220446049250313e-16	1.4440993796327461e-06	2.7755575615628914e-17	feff45448908f20d8f2b21dffc577d2aa9fa23f1b76755cd8b132123910eab75	0.21183096335311408
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.18.mlp.down_proj	3.3306690738754696e-16	2.939994370398935e-06	2.7755575615628914e-17	9399e1855007a628073f325de92d8eb27fd0347cf6b816be65076d898ff12220	0.182479613210101
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.18.mlp.gate_proj	2.220446049250313e-16	4.30963107722615e-06	2.7755575615628914e-17	2ca0ca7b7b5c618e6b05db970713d0329f3eb8ee2a58909ddfb19ea94989ff56	0.15567696334417877
