base	task	seed	method	module	analytic_energy_relative_error	saved_energy_relative_error	shape_spread	source_basis_sha256	nuclear_ratio
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.16.mlp.gate_proj	0.0	1.6439200001272525e-09	0.0	88cb41ffe9f1109cc7b809fce63bd6a017f84d6e1a8e8e8b5d5edc556c70d28e	0.27202829047196475
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.16.mlp.up_proj	2.220446049250313e-16	1.0943534967111646e-09	0.0	b0e8c1d6049ed3cefc3983646e308141ddfa724abd590f4a959e0a2d25839883	0.26146198035901214
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.16.self_attn.k_proj	0.0	3.2978020314544665e-09	0.0	95cf8f978e6d5bff9d0d761d5e7812e4d7e3f0a29326d084dcffd06bf33a7e8f	0.5313572154476068
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.16.self_attn.o_proj	2.220446049250313e-16	1.3828547196226282e-09	0.0	b47fda2c56d37d2bcad28ed7e82a2b9bf0fcd0f7e37a5fc6e3e08d012235abea	0.2863384763267503
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.16.self_attn.q_proj	0.0	1.5838655942346236e-09	0.0	704b2f0ace0fc869c87f9b4b25e08c5d77d9752dceb4a0370ff0784daa22fba6	0.3235780815879048
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.16.self_attn.v_proj	2.220446049250313e-16	1.2581647945708596e-09	0.0	bbfd5bb42425d6c28ddecabaf4d85f59b5bf30199b2c66cae2a6ba6d8c204294	0.2568770931766731
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.17.mlp.down_proj	2.220446049250313e-16	7.701011783822764e-08	2.7755575615628914e-17	c86e22fce47be01f0096f5b8f9b93e1fbad1391cbb98d26c95d6f90344d46fd8	0.15625429613508507
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.17.mlp.gate_proj	2.220446049250313e-16	1.2335411692099285e-08	2.7755575615628914e-17	48597700ebe8d49f988c85c3962c9433c08ea4a971c6051bd8fea39e35fe9dc2	0.17959925942399865
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.17.mlp.up_proj	0.0	1.5187064938970707e-09	5.551115123125783e-17	628c9951685e5cbf34b929865a6ece64b6bc029fc8e4ce0ff546a349767ab9a3	0.18336393951773103
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.17.self_attn.k_proj	2.220446049250313e-16	1.6603707297946357e-09	1.1102230246251565e-16	2c7a302d72781fd0936002ead8cde624d3f820ec1a02143c6e1eb081cbabd2f5	0.6107794902084179
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.17.self_attn.o_proj	2.220446049250313e-16	3.5941220000168528e-09	0.0	8a57bbb931816c7c54b9710cb87c40b1774989fff98c054f5a9fc3f09270f8ee	0.19109113806633668
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.17.self_attn.q_proj	0.0	3.7101345329304536e-09	0.0	5240ea3ab5c1f6416c1cfc55b108290149f414fe95d692d3356db3bd419ba3b0	0.28221039177659807
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.17.self_attn.v_proj	2.220446049250313e-16	6.544754072024261e-09	5.551115123125783e-17	cf9f870105523d37dba5e6f01ae6818c25970253dba97cc57487e536c63b559d	0.23057955631536872
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.18.mlp.down_proj	2.220446049250313e-16	1.749900224723433e-09	0.0	16cb4a3e61aa03f432fd4420a55462ddbcbe0ad1dfbf8b6d8ffb6c97fe1e1146	0.18083945171483987
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.18.mlp.gate_proj	0.0	3.787776314823077e-09	0.0	010b7afb78f5490547bac661aab051744a8155996a389b2d58df6f10cd96a9eb	0.18321128948801085
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.18.mlp.up_proj	0.0	5.432193583843059e-10	2.7755575615628914e-17	5c3c5056d28209d0cd411554ef5f2c33b4efe61291389c4142fb8e2f013f3a1e	0.22036931070584176
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.18.self_attn.k_proj	0.0	2.4302166945489034e-09	5.551115123125783e-17	348401855b33a68ab91e45c71844da40b804c7e5390621cd3d76037e6f67585d	0.4144651588290238
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.18.self_attn.o_proj	0.0	1.0220853052800294e-09	0.0	27706602842d3c008a4cfca17f04160aed59068faa9c834de4f9b2daf71da55c	0.25126869756066644
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.18.self_attn.q_proj	4.440892098500626e-16	1.995246856623112e-09	0.0	3c9dca7f3ff30beb621a3d2741e68846d27b260637b46f00c90eee93998a6642	0.25839167307501976
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.18.self_attn.v_proj	2.220446049250313e-16	1.7564468768327401e-09	2.7755575615628914e-17	6b809ff882f94a73671d09d7c15416432b4e3df9ba2fab3675d8602dd4fc8387	0.21983151706713072
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.19.mlp.down_proj	2.220446049250313e-16	3.815630256198688e-09	0.0	8d435a78873d196d0f0f92c0f3866c961409aa5751406d815f91e7f6fbe3b7a6	0.209004686653942
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.19.mlp.gate_proj	2.220446049250313e-16	7.436355975443121e-10	2.7755575615628914e-17	b80cd0fcc010282ca5e16b91e09bbd8941c601cc74ebbcb797d04ebf916431b7	0.1552859638859983
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.19.mlp.up_proj	0.0	8.29845747674085e-10	5.551115123125783e-17	6f3ab01857ce9112b6286470391769dc65525308c449f097d1a8432e7acc5499	0.186953665843579
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.19.self_attn.k_proj	0.0	3.012194049745176e-09	1.1102230246251565e-16	c717f83415e525118a80b7e453f16080ddc97a8b7ee6f5efa110e2cd7b19ac08	0.4799890760049727
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.19.self_attn.o_proj	0.0	1.947970007520894e-09	5.551115123125783e-17	35046b3f504912441b4e2c90bb33b0624077fcfacb9d98ac7c29681201b59e4d	0.23512650634778565
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.19.self_attn.q_proj	2.220446049250313e-16	1.8783390398624533e-09	0.0	a0c98f2692e8efad07481c685b8b58e2f03941c562df48a3af68372d06d1ae78	0.25529891313125275
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.19.self_attn.v_proj	2.220446049250313e-16	1.100197377645884e-08	5.551115123125783e-17	24377156e8c64a73768a2ed96ec9f52fc131ae3c5c67c003ac6740b70cf2871a	0.24499255093583333
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.2.mlp.down_proj	0.0	1.1755686424308465e-09	2.7755575615628914e-17	411af4d5148b29abbf8e42af2e4b112d408a031a6fb32e556ee1468e509eea65	0.22799698357354173
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.2.mlp.gate_proj	3.3306690738754696e-16	1.7835693366663463e-08	0.0	2f7affb6ecdcfef9eb6e31021e8394617024943d1a125e8db3bb8c546fa41778	0.13620732083622722
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.2.mlp.up_proj	2.220446049250313e-16	9.780106724477378e-10	0.0	9ac25f1d6bce2bc481a2daf57898046f6e36651b867e6e708f7a3e7dd936841b	0.1496623309447933
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.2.self_attn.k_proj	2.220446049250313e-16	1.3533424381151349e-09	1.1102230246251565e-16	92e13b987daa07e6d0bdc8eca64eceb60f9a2f13d392b010929f224c9039a0c0	0.6412233803158863
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.2.self_attn.o_proj	3.3306690738754696e-16	1.2535025240012487e-09	5.551115123125783e-17	a6d3a441e5a255b31a2dcf98ae78a950964f77c6296b24ad81de11fb74e59c81	0.182929045637334
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.2.self_attn.q_proj	3.3306690738754696e-16	2.5195795450017044e-09	0.0	16d20da1b73241e0c99ef8560e3830c52d9315b006294b534299048dd5e9c175	0.31776558920675246
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.2.self_attn.v_proj	2.220446049250313e-16	3.1968276914540183e-09	0.0	c640f2c81b5258f93585d8a5d99d9ec64eed67507567c1bacaabbf69dbeca633	0.13605606148550983
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.20.mlp.down_proj	1.1102230246251565e-16	3.0268142436895573e-09	5.551115123125783e-17	1ffe3bd45383a22f042cffac3c2a5cb329b24203036408e564816defce106145	0.30628941760410877
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.20.mlp.gate_proj	2.220446049250313e-16	3.036196405403757e-09	5.551115123125783e-17	af4ea23d1b4a5e3260cf04be6918951892b7b5fd31e309c36e0bd4f8a11ff70e	0.20018518661779755
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.20.mlp.up_proj	2.220446049250313e-16	2.824449563121334e-09	2.7755575615628914e-17	9d74acf40298b7d44505fdaff88c4b95c41a93857bbe6bf4bd03b1785771bdd6	0.24067198046684823
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.20.self_attn.k_proj	0.0	7.471883112231126e-10	1.1102230246251565e-16	5df4b701e89c6eaa81c477bcf7d760678d64ddcb91fc99413434cc2ac0108da9	0.4247004204248929
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.20.self_attn.o_proj	2.220446049250313e-16	1.6530024016248035e-09	1.1102230246251565e-16	d011d8d0e6e81d2defb626e24e976b78a7b63285a0887631b7cf0479db835868	0.36029073748285234
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.20.self_attn.q_proj	4.440892098500626e-16	2.3448953889726454e-10	5.551115123125783e-17	11fc9b6d4233fb3f3e39401fd0dbea0ea689807b65d703c8b806f2c13a0cfb75	0.2285122565785385
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.20.self_attn.v_proj	2.220446049250313e-16	5.371497691086802e-10	0.0	944d3d49dc7fa1083d722fcbc5c83dabbd96733eed4a72e286ba461197c3f2de	0.26167159088072567
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.21.mlp.down_proj	0.0	2.5183682916818384e-09	0.0	7825e98defee898d9425b7552a7449de0a533025d265f365cc45549f27f37f19	0.29645581534277643
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.21.mlp.gate_proj	2.220446049250313e-16	2.4636463979987866e-09	0.0	4a5167a005b73d0a43193d144caf8a2602ce2a3a083de47db5ee70534794ba09	0.19349506320968332
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.21.mlp.up_proj	2.220446049250313e-16	3.705567630518658e-09	2.7755575615628914e-17	12dde2981141e36671c90dd0e5a85f9303b9490e32ff3415646112faf2953ca6	0.19893764980300846
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.21.self_attn.k_proj	5.551115123125783e-16	9.462605887744502e-08	1.1102230246251565e-16	e410726e8097be8d989f1bc0dcc6a6cfa726956e2fb6e7dc4e07dc0ca91d9026	0.5858743498024869
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.21.self_attn.o_proj	1.1102230246251565e-16	9.48342870898955e-09	5.551115123125783e-17	79eabe3bca81d2ce29c5cd460053541b414ecc442ccf4c15ed7600d372a64846	0.383250107703818
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.21.self_attn.q_proj	1.1102230246251565e-16	1.5295639199663924e-09	0.0	e4dffec768afe246045ac93edab6fceaa261575a70be399a1068ab25092d4773	0.3044634241619076
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.21.self_attn.v_proj	4.440892098500626e-16	2.147993782841695e-09	0.0	405751d5a3547bff89a2f5a6012a80b3afe5fcc39efafa81cc896891fea20f09	0.2781022007852411
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.22.mlp.down_proj	2.220446049250313e-16	1.1245939735005095e-09	5.551115123125783e-17	8ce11890331857f2b00bb731e5ce05c4e23fe9e62f07c461c0c624ef6d4bca16	0.19117532068725607
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.22.mlp.gate_proj	2.220446049250313e-16	1.173652286468041e-09	0.0	00e70485aeff2c26f64f635ab804feb966bdd5090d7fb32473437368d084081e	0.1416396599656355
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.22.mlp.up_proj	4.440892098500626e-16	6.062814028595653e-09	0.0	8d4bb2fb4ef25629bcd1cfba22ed22e13e91fb9952c6fd1078cab2c0a48e8030	0.1651383717315257
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.22.self_attn.k_proj	2.220446049250313e-16	3.99733068867647e-09	5.551115123125783e-17	a21039ce9c3207e601637fd35fb0a2fa3055e55aace40aba4059a5c4c490e78b	0.39623404300195475
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.22.self_attn.o_proj	2.220446049250313e-16	1.6538188596371128e-09	1.1102230246251565e-16	fa09b14e195d45795beb0394786e3f48e2868335a9219fedbe0e74ba039e3c34	0.3389080773147939
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.22.self_attn.q_proj	2.220446049250313e-16	3.8921643685796425e-10	0.0	02c9e572087ac1c3b0c8a616919faa11ceb91f1c2eca5b028538538445e22fef	0.2992996542017029
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.22.self_attn.v_proj	2.220446049250313e-16	9.707379344803257e-10	0.0	ec137c67c81011f641b72efa7411bb8f1f9522004d5a8ee5a2ba97c640d6c3ff	0.2740644910121487
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.23.mlp.down_proj	1.1102230246251565e-16	2.2086754647432372e-10	0.0	1492ffbcdd0d34ec9261a0ee39c40955abb5d20e5835945b08a79a7293cf6220	0.29880605178699327
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.23.mlp.gate_proj	2.220446049250313e-16	1.3299918943943112e-09	2.7755575615628914e-17	620aa6473cfc5269a6f6918bfc98bf34558598ceb6e36743ea51b14775d1c39c	0.1724462477922523
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.23.mlp.up_proj	1.1102230246251565e-16	3.01639524469266e-09	2.7755575615628914e-17	036dd777fc861dfd4588ac258c1fbc505a9055facca3fc8a38c526ee79be2a0b	0.18030917826006662
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.23.self_attn.k_proj	0.0	9.848788451449764e-12	1.1102230246251565e-16	8eee67aeb950d93b5d8c8d0d69905c45d6af217c9bca30d10ce16e4b0f120136	0.6087693615993722
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.23.self_attn.o_proj	4.440892098500626e-16	9.78805259066462e-10	0.0	9891db574ac08e89a95c8de305993ff56d3bc61d45d47981184662fd3f32a131	0.26650568064028324
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.23.self_attn.q_proj	2.220446049250313e-16	2.3646211655403704e-09	0.0	a9e3f556daa412b9830c0e1303a12a8442c738aa207d29479972c9357a4a06ad	0.25816720522488473
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.23.self_attn.v_proj	0.0	2.218275341192566e-09	5.551115123125783e-17	75407c2125ecbf31518a6ce0b8d22d7049272df451b592e03857a91d9ac4c69a	0.22099431864196759
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.24.mlp.down_proj	4.440892098500626e-16	3.898342204600169e-09	5.551115123125783e-17	05d957f5946692e6714b5ac679cb90f49b0e4116b76a5e9680aacd280bd26348	0.19929146037599524
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.24.mlp.gate_proj	2.220446049250313e-16	1.901016011274237e-10	0.0	a62742d8e49789262130d4e6713d042d17c1be0e98c7a29f17115c865f913fdf	0.15348177792992973
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.24.mlp.up_proj	2.220446049250313e-16	1.6993852991475933e-09	2.7755575615628914e-17	643aa532b9b6a50c84608dcae3368b9f5b2c8aa86b58b02d29bd9ab9b25cbbdf	0.160788447523526
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.24.self_attn.k_proj	1.1102230246251565e-16	1.5766831173991136e-09	1.1102230246251565e-16	85d84a46cf6bb478bd23c5f9b8feba7aac85b5e7da7098c278e8ce7be4fe4e8f	0.48863439973978207
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.24.self_attn.o_proj	0.0	7.586672401416195e-10	2.7755575615628914e-17	e3f0babe9f6f374c481e3b593e6abd2267dabe2854adb31a54878fe9932059bd	0.16915558029810038
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.24.self_attn.q_proj	0.0	3.795266323436408e-10	0.0	cc5899a5a9475d1fa0515d83cd72f4aa78bef41c8405da4f80a74327b02518fe	0.29889276245228846
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.24.self_attn.v_proj	2.220446049250313e-16	2.9695101932958323e-09	5.551115123125783e-17	ddebe94e03610958c519390b2fed548205a5ffeda64cead308af48e2b677c4a5	0.2303005926585089
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.25.mlp.down_proj	2.220446049250313e-16	2.427940071214607e-10	2.7755575615628914e-17	d5d55834fcdbe99d7425cee263ce28620eec678be26609886f8641cdc7a6db66	0.2406723910681067
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.25.mlp.gate_proj	4.440892098500626e-16	9.686779156581338e-10	2.7755575615628914e-17	928c805357f2ea33c443f474a93b0a4d18ce8687146d3f10bada870f8353d047	0.21511156495973427
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.25.mlp.up_proj	2.220446049250313e-16	2.1260906368780752e-08	0.0	caa07e1a901e327f9f00c11881c0c3e0076f0b2355245df3038e386bdf6fd4a5	0.1852536208035998
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.25.self_attn.k_proj	2.220446049250313e-16	4.983584656059747e-10	5.551115123125783e-17	cec3dab6405e77e2ee9d575fd753c14f45c6490041257b503c5a9002afea3444	0.36407817883406735
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.25.self_attn.o_proj	4.440892098500626e-16	1.8213972552416635e-09	0.0	dc190d5c7ac5c630a50fc03f32433748ec5e1a7ef8f4485f55e621de90202e70	0.2792089955283948
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.25.self_attn.q_proj	2.220446049250313e-16	2.380329044981977e-09	0.0	fea1726f6b4f2fe04bc8fc91287e4d59d71f66d5f8aa9a15ec2ab6bd219b59a4	0.2645256589036093
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.25.self_attn.v_proj	2.220446049250313e-16	3.128480807745859e-10	2.7755575615628914e-17	36a33bd1b7a5e31d8119cd3ec5f936150de14a73ef9818f0024d92a6cc097dc9	0.24839019546370825
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.26.mlp.down_proj	0.0	1.2430356743919901e-09	5.551115123125783e-17	e556aadbca04f0ba80e9b1a5c449632583e5de47d91e53a1c200c4517509e018	0.23006171859968863
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.26.mlp.gate_proj	0.0	4.0735127493363166e-08	5.551115123125783e-17	3966df7e78a166aaf21efe4c3c4a1813fe98ee248581fca10ab9cfb405a2775e	0.18711557928739042
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.26.mlp.up_proj	2.220446049250313e-16	3.5260399045000668e-09	5.551115123125783e-17	20df1807bbbd797f4b86ea3024983f4f3c68ee417d911284eb01367af6ba12ba	0.24473758532746556
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.26.self_attn.k_proj	2.220446049250313e-16	2.4628001860094173e-09	1.1102230246251565e-16	082bb3f0e0edc5e366a0562c9b5928dc876f92d778b12f31fbdb9fb5282bf960	0.3949027656165763
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.26.self_attn.o_proj	0.0	1.2091829759697248e-09	0.0	58d97ac533d361c3bb2d57bc49f84f642bd0714a6ddedcf417f70f0bd2a43557	0.3283115887780655
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.26.self_attn.q_proj	2.220446049250313e-16	1.2532375137652707e-09	0.0	a2f923e86ad0a00d69241c48cbbc3c644964cc60a0c637acf2ede4a2f8525e9b	0.3135971043948216
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.26.self_attn.v_proj	2.220446049250313e-16	4.973451750434066e-08	2.7755575615628914e-17	b801e8907ff0f30d6b6a8686d90c0942f108b8f5469b15577672b5e740ad9d89	0.21273598075437106
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.27.mlp.down_proj	2.220446049250313e-16	9.638396747391198e-10	2.7755575615628914e-17	3a8c784af5431b21181f83e25732729ee1a149fcd4edc30032fbbe2f3d335472	0.1953678054243695
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.27.mlp.gate_proj	1.1102230246251565e-16	2.115541741787297e-09	0.0	0f874fbede8892ab93b3b907a99e62b12ba56e0ef160b60baf8bbd6a82fa8c32	0.27074386940970935
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.27.mlp.up_proj	4.440892098500626e-16	2.1887147649835015e-10	5.551115123125783e-17	c46b77bb5ea256d30ce84b8c025210d504c8eeb95e65baef71115887a9235ffb	0.2283212218481207
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.27.self_attn.k_proj	1.1102230246251565e-16	1.38122047133038e-09	0.0	284edd1b7aba4c9504a33a4d80ee541c5cfa094ada63ef7c4448b467096af36d	0.5498128207377223
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.27.self_attn.o_proj	0.0	5.446518125395983e-09	2.7755575615628914e-17	c1a80c93d9475ea5a6483063a56a40df198feab16ab599bf07b8622cf7bba8aa	0.23676468281938826
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.27.self_attn.q_proj	2.220446049250313e-16	1.3389604980318381e-09	0.0	21f55887f04123a03ff129a9048c6b364b63cdf7f688c67ac0fc965992761db0	0.25687896493627427
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.27.self_attn.v_proj	2.220446049250313e-16	8.414418051216899e-10	5.551115123125783e-17	8a271deecd67696354afc60a6baf5c01df8e5b053ec54c4b07dcb1b921451037	0.19118315972446634
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.28.mlp.down_proj	0.0	4.069756753821707e-10	5.551115123125783e-17	c224e217a7672899fd8598ab226e03c59fd5c2293b96c51d87b65262f65b6bbd	0.18662053145659496
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.28.mlp.gate_proj	1.1102230246251565e-16	3.1570910330458446e-09	0.0	baedfec1d123bdf277e8524229c0285d450291774d650144d6f71a8513c8d6ef	0.26381036120488666
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.28.mlp.up_proj	0.0	5.600959029905539e-09	2.7755575615628914e-17	d04fa51aa707947a6bb1823ba58732245285188a0304179de275d38b836fc37d	0.19599104187796057
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.28.self_attn.k_proj	6.661338147750939e-16	2.0331706540588357e-08	5.551115123125783e-17	aa285605c4f82ff5ad2c06b5e473ea0352fb911f6a2798b9f64ba3baffe9d32a	0.425036330414708
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.28.self_attn.o_proj	3.3306690738754696e-16	2.459650261243951e-10	0.0	a264a507a92743b94b28f7a247c7ea65f5ee544075ca89cacf9d92e4f01de68e	0.2978564544658097
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.28.self_attn.q_proj	3.3306690738754696e-16	4.800453368147828e-10	5.551115123125783e-17	2bee35f6a0ddb99ed3fc92aaf2e9120e2e0ea80217fc7286be62821a494dbda0	0.2390687414751725
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.28.self_attn.v_proj	3.3306690738754696e-16	2.6612712034079777e-10	0.0	a64de00d200ba2829c06e65f8d63da8a5a407d3dea49b6d9a166e2c932d36e95	0.17515644117255041
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.29.mlp.down_proj	0.0	3.1580269510556036e-09	2.7755575615628914e-17	3fa3ffbb8b06620453b703cc9b49f8e07de1b6202f49398b60645956f71d0045	0.225534188861599
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.29.mlp.gate_proj	2.220446049250313e-16	2.1619733781008676e-09	5.551115123125783e-17	29b1909e6e1cc77b1848593f74c33f739c3daf26a247f80421f25270ce5dea01	0.24854279524811243
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.29.mlp.up_proj	0.0	3.5280904864265494e-09	2.7755575615628914e-17	85e0ac4e8da1f8a07daec500b7173bbf3f61cc8b19d80778dc1ce550fd3d6820	0.23194216185447453
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.29.self_attn.k_proj	0.0	1.4199380560242503e-09	0.0	f7a0a01223bdef9b5e8775e7cbc1effeac93fdb4728bd704548b63c153385b29	0.5077948005497526
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.29.self_attn.o_proj	0.0	6.244317696246782e-08	5.551115123125783e-17	6d6c33104ab81a865566ef8de971ab7bb3f208426b1ddf05c65a3e5bb3bdd815	0.24661617558423674
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.29.self_attn.q_proj	0.0	2.368379381501029e-09	1.1102230246251565e-16	2f6eb27c8d741486eb9112c9a4d0f54682515736c4ad44715c504c2a8f10ce01	0.46181520326747566
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.29.self_attn.v_proj	1.1102230246251565e-16	4.1171241971227346e-09	2.7755575615628914e-17	d87c8a9a4b881244d8a3f6e91a9e36db5b3bda09a1aee9b99a97babf918ce8e2	0.2480523443849426
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.3.mlp.down_proj	2.220446049250313e-16	9.947861201453634e-09	0.0	8b5cf6ae48cd5f6e51364343b11b43bacf2265c96a995a09f5d54281807d920b	0.2642847523743271
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.3.mlp.gate_proj	2.220446049250313e-16	4.6635864281441286e-08	0.0	672b147cf2c91c3d1b5b8dbcdbab1ec31b225ba9f7cfbdd5fe426f11c2d986b3	0.15070513816606737
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.3.mlp.up_proj	2.220446049250313e-16	3.196247833070487e-08	2.7755575615628914e-17	8e55ebabd9dbfd352a13c68b08bc3f72ed194265d49cb40d59d3479bb410a75e	0.1751581298879708
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.3.self_attn.k_proj	2.220446049250313e-16	3.667576686794405e-09	0.0	e6b7ecda9784738f9cad5bb830d15193d151fb108f87938fcadcb54e6cd0dfdd	0.5644365722722876
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.3.self_attn.o_proj	2.220446049250313e-16	2.1870273370083737e-09	5.551115123125783e-17	e0d5f2e62ce0736aae2bed6d3ab9d55038126e0f0dedf4a038dc0b3c02fbdbc8	0.21263144189700972
Qwen3-8B	magicoder	43	scalar_e	base_model.model.model.layers.3.self_attn.q_proj	0.0	3.002417647834932e-09	5.551115123125783e-17	7278411722c5c08265b01223e358815e4200c90eeced5de9648ce4c3f34b9ee5	0.22878569559996845
