checkpoint	base	task	seed	comparison	target	off_score	forgetting_gap
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	hns_f4_s1 minus flat_e	-0.5307050796057666	0.11724155195091157	0.0
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	hns_f4_s1 minus flat_e	-0.2274450341167693	-0.21741898433184303	0.0
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	hns_f4_s1 minus flat_e	0.9242144177449063	0.05498706144311427	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	hns_f4_s1 minus flat_e	-1.293900184842883	0.129940146279921	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	hns_f4_s1 minus flat_e	-0.3696857670979625	0.34464926483870784	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	scalar_e minus flat_e	3.0487804878048763	0.785460538433	-0.15366877699756754
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	scalar_e minus flat_e	0.0	0.031145765727487174	0.24645717806531087
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	scalar_e minus flat_e	4.878048780487795	0.5540535876948951	-0.18484288354898126
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	scalar_e minus flat_e	-2.350265352539793	-1.8255968450309439	0.40283261738866116
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	scalar_e minus flat_e	0.7581501137225217	0.9613011467133674	0.1011864366228939
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	scalar_e minus flat_e	-0.07581501137224222	1.110839685454593	0.123045948715171
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	scalar_e minus flat_e	1.6635859519408456	0.4723432475496452	0.36377921526709167
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	scalar_e minus flat_e	0.0	-0.5320624741868158	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	scalar_e minus flat_e	-1.1090573012939018	1.4261023674625761	0.0
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	scalar_e minus flat_e	0.0	0.24348593521632722	0.0
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	scalar_e minus flat_e	1.8292682926829258	-0.004091962575301977	0.0
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	scalar_e minus flat_e	2.439024390243901	0.3213688306340714	0.0
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	scalar_e minus flat_e	-1.2888551933282884	-0.791594161298562	0.4065040650406502
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	scalar_e minus flat_e	-1.213040181956032	-2.144496438956736	0.0
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	scalar_e minus flat_e	-2.1986353297953087	-1.6089989958490492	1.0162601626016279
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	scalar_e minus flat_e	3.142329020332724	-1.177217756009469	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	scalar_e minus flat_e	-2.0332717190388223	0.6562315033463051	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	scalar_e minus flat_e	0.18484288354898126	-0.2154915369869883	0.0
