comparison	outcome	n_checkpoints	mean_difference	ci_low	ci_high	positive	tie	negative
HNS minus scalar_e	target	18	-0.6162081723006325	-1.5733719918435813	0.2554722093258575	8	0	10
HNS minus scalar_e	off_score	18	0.3218929716539623	-0.12010185026263914	0.8361159987321645	8	0	10
HNS minus scalar_e	forgetting_gap	18	-0.1805893525281851	-0.3477693023982796	-0.03809368314946356	3	9	6
HNS minus scalar_e	target_gain	18	-0.6162081723006325	-1.5790299321199854	0.2952786020702989	8	0	10
HNS minus scalar_e	off_gain	18	0.3218929716539623	-0.13420357887567388	0.8373864332182531	8	0	10
HNS minus scalar_e	fg_reduction	18	0.180589352528185	0.040549755887472776	0.347081184154536	6	9	3
HNS minus scalar_e	gain_magicoder	18	-0.06775067750677108	-1.491361788617882	1.422764227642278	8	0	10
HNS minus scalar_e	gain_metamath	18	-0.03369556060988978	-0.602308145901778	0.5139625979277237	9	1	8
HNS minus scalar_e	gain_tulu	18	0.2567262271513664	-0.27726432532347356	0.7701786814540973	10	2	6
HNS minus scalar_e	gain_commonsense	18	0.1941907536265385	-0.021600427370655356	0.4586292010687216	9	0	9
HNS minus scalar_e	gain_arc_challenge	18	0.6067500948047021	0.03318164580963182	1.464732650739476	11	1	6
HNS minus scalar_e	gain_arc_easy	18	0.3554059109614662	0.009352787130565221	0.9776000748222947	12	1	5
HNS minus scalar_e	gain_boolq	18	0.006795786612300169	-0.07819401970778128	0.1053771661569835	9	0	9
HNS minus scalar_e	gain_hellaswag	18	0.7402243908915891	0.16484929960831143	1.4505880855960516	12	0	6
HNS minus scalar_e	gain_openbookqa	18	-0.14444444444444463	-0.47777777777777813	0.20000000000000018	5	3	10
HNS minus scalar_e	gain_piqa	18	0.04836174585902499	-0.09370088260186289	0.1753113287389677	10	3	5
HNS minus scalar_e	gain_siqa	18	-0.11656999886273173	-0.307133515296261	0.10235414534288426	6	1	11
HNS minus scalar_e	gain_winogrande	18	0.05700254319038758	-0.2411646058054915	0.3814785582741368	8	0	10
HNS minus flat_e	target	18	-0.18981429277617798	-0.6375056693490904	0.2503652116791865	6	0	12
HNS minus flat_e	off_score	18	0.22538088483942906	0.09746771095957156	0.3566250155721702	13	0	5
HNS minus flat_e	forgetting_gap	18	-0.05161413235291519	-0.14246507135033373	0.02517292342487724	2	12	4
HNS minus flat_e	target_gain	18	-0.18981429277617798	-0.6403633573485775	0.2509918443728255	6	0	12
HNS minus flat_e	off_gain	18	0.22538088483942906	0.09609627348230687	0.3575507894583188	13	0	5
HNS minus flat_e	fg_reduction	18	0.051614132352915135	-0.02782181452002978	0.13657388379095703	4	12	2
HNS minus flat_e	gain_magicoder	18	0.10162601626016333	-0.3726287262872623	0.5758807588075889	8	4	6
HNS minus flat_e	gain_metamath	18	0.14320613259203008	-0.054860584617979935	0.34959144132760606	11	0	7
HNS minus flat_e	gain_tulu	18	0.2669952762374209	-0.1645615116040255	0.6674881905935517	11	1	6
HNS minus flat_e	gain_commonsense	18	-0.02549906334750634	-0.048614861873393284	-0.0046247952510989855	5	0	13
HNS minus flat_e	gain_arc_challenge	18	-0.04266211604095522	-0.11850587789154154	0.028441410693970232	4	7	7
HNS minus flat_e	gain_arc_easy	18	0.044425738870182654	0.0023381967826412936	0.08657173587729099	9	3	6
HNS minus flat_e	gain_boolq	18	0.008494733265375186	-0.035677879714577185	0.0611620795107021	7	2	9
HNS minus flat_e	gain_hellaswag	18	0.03319391887406119	-0.007745247737282387	0.07967923609728012	12	0	6
HNS minus flat_e	gain_openbookqa	18	-7.401486830834377e-16	-0.12222222222222238	0.0999999999999987	7	6	5
HNS minus flat_e	gain_piqa	18	-0.03022609116189148	-0.14206262846088777	0.07254261878853784	6	3	9
HNS minus flat_e	gain_siqa	18	-0.01990219492778442	-0.08252302968270508	0.04833390196747272	7	3	8
HNS minus flat_e	gain_winogrande	18	-0.19731649565903772	-0.3728185565202174	-0.048232921161099236	4	4	10
