checkpoint	base	task	seed	method	benchmark	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage	n_000	n_001	n_010	n_011	n_100	n_101	n_110	n_111
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	scalar_e	metamath	0.7635135135135135	1	0.5120481927710844	1	0.060652009097801364	1	0.03335860500379075	1	0.24242424242424243	1	0.06518518518518518	1	1	1319	148	166	330	675	113	85	80	44	250	80	81	85	35	113	44	631
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	flat_e	metamath	0.7162162162162162	1	0.4819277108433735	1	0.05079605761940864	1	0.026535253980288095	1	0.20303030303030303	1	0.05185185185185185	1	1	1319	148	166	330	675	106	80	67	35	263	67	86	80	42	106	35	640
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1	tulu	0.7657657657657657	1	0.2571428571428571	1	0.022181146025878003	1	0.038817005545286505	1	0.07058823529411765	1	0.09333333333333334	1	1	541	111	35	170	225	85	9	12	21	158	12	26	9	26	85	21	204
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	scalar_e	tulu	0.7387387387387387	1	0.37142857142857144	1	0.022181146025878003	1	0.036968576709796676	1	0.07058823529411765	1	0.08888888888888889	1	1	541	111	35	170	225	82	13	12	20	158	12	22	13	29	82	20	205
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	flat_e	tulu	0.7927927927927928	1	0.3142857142857143	1	0.027726432532347505	1	0.04251386321626617	1	0.08823529411764706	1	0.10222222222222223	1	1	541	111	35	170	225	88	11	15	23	155	15	24	11	23	88	23	202
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1	commonsense	0.8101822211225032	8	0.2747532554715095	8	0.011084093074055865	8	0.010075732755901547	8	0.049438746455674684	8	0.02148918414864736	8	8	22419	1730	1791	5547	13351	1437	461	444	218	5103	444	1330	461	293	1437	218	13133
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	scalar_e	commonsense	0.7860842239086183	8	0.27625572521771213	8	0.01070052026568565	8	0.012085349314743997	8	0.053934969963301244	8	0.02892900957463431	8	8	22419	1730	1791	5547	13351	1442	443	316	222	5231	316	1348	443	288	1442	222	13129
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	flat_e	commonsense	0.8015375651258823	8	0.28649472386008723	8	0.01120391167521392	8	0.010051099083958646	8	0.04962648725795479	8	0.021684072071396845	8	8	22419	1730	1791	5547	13351	1440	475	441	212	5106	441	1316	475	290	1440	212	13139
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1	magicoder	0.4	1	0.6818181818181818	1	0.012195121951219513	1	0.018292682926829267	1	0.03571428571428571	1	0.045454545454545456	1	1	164	20	22	56	66	8	15	2	3	54	2	7	15	12	8	3	63
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	scalar_e	magicoder	0.75	1	0.7272727272727273	1	0.012195121951219513	1	0.006097560975609756	1	0.03571428571428571	1	0.015151515151515152	1	1	164	20	22	56	66	15	16	2	1	54	2	6	16	5	15	1	65
