base	task	seed	method	name	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path	modules	functional_pr	functional_erank	protected_functional_pr	cov_functional_pr	cov_functional_erank	functional_energy_ratio	fro_ratio	max_target_to_source_gain	floored_direction_fraction	max_nuclear_relative_error	max_saved_update_error	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora	off_score_gain_lora	fg_reduction_lora	target_gain_hns	off_score_gain_hns	fg_reduction_hns	raw_fpr	full_moment_pr	functional_energy	source_functional_energy	checkpoint	target_gain	off_gain	fg_reduction	energy_ratio	log_energy_ratio	gain_magicoder	gain_metamath	gain_tulu	gain_commonsense	score_arc_challenge	gain_arc_challenge	score_arc_easy	gain_arc_easy	score_boolq	gain_boolq	score_hellaswag	gain_hellaswag	score_openbookqa	gain_openbookqa	score_piqa	gain_piqa	score_siqa	gain_siqa	score_winogrande	gain_winogrande	max_saved_energy_relative_error	max_analytic_energy_relative_error	max_storage_roundoff_common_gain_error
Qwen3-8B	magicoder	42	original_lora	LoRA	65.2439024390244	83.92721758908263	65.80406654343808	83.66224435780832	65.2439024390244	77.79784283010967	1.9004202758208966	/dataset1/zailong/models/spectral-surgery/Qwen3-8B-Magicoder-50K-LoRA-E1	252	1.044977615886804	1.1428624497651114	1.044977615886804	1.0358672138800051	1.1213383301695758	1.0	1.0	1.0	0.001488095238095238	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-9.756097560975604	-3.535331950994987	-1.9004202758208966	1.044977615886804	1.0358672138800051	2844.937423077745	2844.937423077745	Qwen3-8B/magicoder/seed42	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	90.44368600682594	0.0	96.88552188552188	0.0	87.55351681957187	0.0	83.92750448117906	0.0	85.0	0.0	86.45266594124048	0.0	75.02558853633572	0.0	64.00947119179163	0.0			
Qwen3-8B	magicoder	42	hns_f4_s1	HNS α=0 (4+1)	75.0	88.62774829416225	71.71903881700554	83.65273723214618	75.0	81.33317478110466	0	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Qwen3-8B/magicoder/hns_f4_s1	252	2.4362167389471248	4.878432019843614	2.4362167389471248	2.01854996292123	3.9358078073190055	0.14106579076313366	0.5216496724401795	16.8695276348469	0.001488095238095238	2.1210398326587665e-08	0.0	0.14106579076313366	0.019899557323628206	9.756097560975604	3.535331950994987	1.9004202758208966	0.0	0.0	0	2.4362167389471248	2.01854996292123	56.61299533267069	2844.937423077745	Qwen3-8B/magicoder/seed42	9.756097560975604	3.535331950994987	1.9004202758208966	0.019899557323628206	-3.917057792542924	9.756097560975604	4.700530705079615	5.914972273567457	-0.009507125662139515	88.48122866894198	-1.9624573378839605	95.83333333333334	-1.0521885521885488	87.49235474006116	-0.06116207951070152	84.51503684524995	0.5875323640708974	84.39999999999999	-0.6000000000000005	87.86724700761698	1.4145810663764968	75.28147389969294	0.25588536335722223	65.35122336227307	1.3417521704814472			
Qwen3-8B	magicoder	42	functional_hns_a05	Functional-HNS α=0.5	70.73170731707317	87.79378316906747	70.24029574861368	83.18817650148263	70.73170731707317	80.40741847305459	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/magicoder/functional_hns_a05	252	8.915650428167755	12.492183895464192	8.915650428167755	5.7814105896674475	10.001840061748023	0.07558371674393538	0.5312766575979823	10.085340646385019	0.001488095238095238	1.1091542633234752e-06	0.0	0.07558371674393538	0.005712898236827458	5.487804878048777	2.609575642944918	1.9004202758208966	-4.268292682926827	-0.9257563080500688	0	8.915650428167755	5.7814105896674475	16.2528379881853	2844.937423077745	Qwen3-8B/magicoder/seed42	5.487804878048777	2.609575642944918	1.9004202758208966	0.005712898236827457	-5.165028811961479	5.487804878048777	3.8665655799848366	4.436229205175593	-0.47406785632568926	87.03071672354949	-3.412969283276457	95.53872053872054	-1.3468013468013518	87.18654434250764	-0.3669724770642202	84.29595698068114	0.36845249950209213	84.0	-1.0000000000000009	87.37758433079435	0.9249183895538637	75.43500511770726	0.4094165813715467	64.64088397790056	0.6314127861089203			
Qwen3-8B	magicoder	42	functional_hns_a10	Functional-HNS α=1	68.29268292682927	86.65655799848369	70.42513863216267	82.97252290409003	68.29268292682927	80.01807317824546	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/magicoder/functional_hns_a10	252	15.969921684932128	15.9850411654398	15.969921684932128	11.95450224506385	13.907711102392952	0.06435754037155303	0.5428548549993502	7.404300390341986	0.001488095238095238	1.126242074045436e-06	0.0	0.06435754037155303	0.004141893002676078	3.0487804878048763	2.220230348135786	1.9004202758208966	-6.707317073170728	-1.315101602859201	0	15.969921684932128	11.95450224506385	11.783426405697025	2844.937423077745	Qwen3-8B/magicoder/seed42	3.0487804878048763	2.220230348135786	1.9004202758208966	0.004141893002676078	-5.4866023486272715	3.0487804878048763	2.729340409401061	4.621072088724588	-0.6897214537182919	86.77474402730375	-3.668941979522189	95.37037037037037	-1.5151515151515138	87.0336391437309	-0.519877675840974	84.28599880501892	0.35849432383987523	83.6	-1.4000000000000012	87.15995647442872	0.7072905331882429	75.23029682702149	0.20470829068577334	64.32517758484609	0.31570639305446013			
Qwen3-8B	magicoder	42	functional_flat	Protected Exact Functional Flat	67.6829268292683	86.27748294162244	70.60998151571165	83.01393138188325	67.6829268292683	79.96713194640579	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/magicoder/functional_flat	252	15.999999999999964	15.999999999999977	15.999999999999964	12.095825237041435	13.979238675392285	0.061555894536405614	0.5442771746834804	35.87007385033572	0.001488095238095238	1.1208050434419192e-06	0.0	0.061555894536405614	0.0037891281521770905	2.439024390243901	2.169289116296113	1.9004202758208966	-7.317073170731703	-1.3660428346988738	0	15.999999999999964	12.095825237041435	10.77983248096603	2844.937423077745	Qwen3-8B/magicoder/seed42	2.439024390243901	2.169289116296113	1.9004202758208966	0.003789128152177091	-5.575619325354238	2.439024390243901	2.3502653525398074	4.80591497227357	-0.6483129759250659	86.77474402730375	-3.668941979522189	95.32828282828282	-1.557239057239057	87.0336391437309	-0.519877675840974	84.25612427803226	0.3286197968532134	84.0	-1.0000000000000009	87.21436343852012	0.7616974972796453	75.17911975435005	0.15353121801433556	64.32517758484609	0.31570639305446013			
Qwen3-8B	magicoder	43	original_lora	LoRA	62.80487804878049	82.56254738438211	66.91312384473198	83.80252203736919	62.80487804878049	77.75939775549443	1.985624576956435	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/lora/magicoder	252	1.0770897259560885	1.2225821045901215	1.0770897259560885	1.0516780137295336	1.1637229867825631	1.0	1.0	1.0	0.000992063492063492	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-11.585365853658537	-3.43196098036978	-1.985624576956435	1.0770897259560885	1.0516780137295336	1326.1914753381288	1326.1914753381288	Qwen3-8B/magicoder/seed43	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	90.52901023890784	0.0	96.88552188552188	0.0	87.33944954128441	0.0	84.26608245369448	0.0	84.0	0.0	87.48639825897715	0.0	75.5885363357216	0.0	64.32517758484609	0.0			
Qwen3-8B	magicoder	43	hns_f4_s1	HNS α=0 (4+1)	74.39024390243902	88.77937831690674	71.34935304990758	83.4453448407783	74.39024390243902	81.19135873586421	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/hns_step_grid/adapters/Qwen3-8B/magicoder/hns_f4_s1	252	2.675784933576747	5.348084503075329	2.675784933576747	2.137713183565589	4.244195861168233	0.15980831614383254	0.6010973959847162	17.63591979296207	0.000992063492063492	1.9231273906683555e-08	0.0	0.15980831614383254	0.025538697908727127	11.585365853658537	3.43196098036978	1.985624576956435	0.0	0.0	0	2.675784933576747	2.137713183565589	33.86920345778962	1326.1914753381288	Qwen3-8B/magicoder/seed43	11.585365853658537	3.43196098036978	1.985624576956435	0.025538697908727127	-3.66756041210781	11.585365853658537	6.21683093252463	4.436229205175593	-0.3571771965908823	88.05460750853243	-2.4744027303754246	95.70707070707071	-1.1784511784511786	87.24770642201834	-0.09174311926606338	84.5947022505477	0.3286197968532245	84.2	0.20000000000000018	87.59521218715996	0.10881392818280489	75.1279426816786	-0.46059365404299557	65.03551696921863	0.7103393843725381			
Qwen3-8B	magicoder	43	functional_hns_a05	Functional-HNS α=0.5	73.78048780487805	88.02122820318424	71.1645101663586	83.28823702337482	73.78048780487805	80.82465846430588	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/magicoder/seed43/functional_hns_a05	252	9.425958352948701	12.837739264494605	9.425958352948701	5.937571320779604	10.178388582203105	0.08881516603793402	0.6112284583303468	10.293912137661808	0.000992063492063492	1.6142211296532594e-06	0.0	0.08881516603793402	0.007888133718345788	10.975609756097562	3.0652607088114507	1.985624576956435	-0.6097560975609753	-0.3667002715583294	0	9.425958352948701	5.937571320779604	10.461175693597443	1326.1914753381288	Qwen3-8B/magicoder/seed43	10.975609756097562	3.0652607088114507	1.985624576956435	0.00788813371834579	-4.842395709702544	10.975609756097562	5.458680818802122	4.251386321626612	-0.5142850139943675	87.28668941979522	-3.2423208191126207	95.66498316498317	-1.220538720538722	87.18654434250764	-0.1529051987767649	84.3855805616411	0.11949810794662508	84.39999999999999	0.40000000000000036	87.43199129488575	-0.05440696409140244	75.23029682702149	-0.3582395087001089	64.71981057616418	0.39463299131807794			
Qwen3-8B	magicoder	43	functional_hns_a10	Functional-HNS α=1	68.90243902439023	86.73237300985596	70.79482439926062	83.02554741320589	68.90243902439023	80.18424827410749	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/magicoder/seed43/functional_hns_a10	252	15.970677977250514	15.985353806286746	15.970677977250514	12.102408801328021	13.960998810879396	0.07565460556174557	0.625374100487809	7.417183190580972	0.000992063492063492	1.5587223678448225e-06	0.0	0.07565460556174557	0.005723619342703303	6.0975609756097455	2.424850518613056	1.985624576956435	-5.487804878048792	-1.0071104617567244	0	15.970677977250514	12.102408801328021	7.590615180373544	1326.1914753381288	Qwen3-8B/magicoder/seed43	6.0975609756097455	2.424850518613056	1.985624576956435	0.0057236193427033025	-5.163153921472854	6.0975609756097455	4.169825625473848	3.881700554528635	-0.7769746241633015	86.68941979522185	-3.839590443686003	95.41245791245791	-1.4730639730639705	87.09480122324159	-0.24464831804281717	84.35570603465446	0.08962358095997436	83.8	-0.20000000000000018	87.26877040261154	-0.21762785636560977	75.17911975435005	-0.4094165813715467	64.40410418310971	0.07892659826361781			
Qwen3-8B	magicoder	43	functional_flat	Protected Exact Functional Flat	68.90243902439023	86.8081880212282	70.79482439926062	83.02345703782325	68.90243902439023	80.20882315277069	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/magicoder/seed43/functional_flat	252	15.999999999999964	15.999999999999977	15.999999999999964	12.12586137089106	14.011307308942186	0.07327509564678311	0.625805351563883	35.98431147882817	0.000992063492063492	1.5698221200732831e-06	0.0	0.07327509564678311	0.0053692396420452135	6.0975609756097455	2.449425397276258	1.985624576956435	-5.487804878048792	-0.9825355830935223	0	15.999999999999964	12.12586137089106	7.1206398423279085	1326.1914753381288	Qwen3-8B/magicoder/seed43	6.0975609756097455	2.449425397276258	1.985624576956435	0.0053692396420452135	-5.2270689741468015	6.0975609756097455	4.24564063684609	3.881700554528635	-0.7790649995459376	86.77474402730375	-3.754266211604096	95.41245791245791	-1.4730639730639705	87.09480122324159	-0.24464831804281717	84.2760406293567	0.009958175662216906	83.8	-0.20000000000000018	87.43199129488575	-0.05440696409140244	75.23029682702149	-0.3582395087001089	64.16732438831886	-0.15785319652723562			
