cohort	group	feature	outcome	n_checkpoints	n_defined	mean_rho	ci_low	ci_high	positive	zero	negative
A_all_versions	task/metamath	log_energy_ratio	gain_arc_challenge	6	6	-0.4178992152803393	-0.7548640686808257	-0.0887174982985104	1	2	3
A_all_versions	task/tulu	log_energy_ratio	gain_arc_challenge	6	6	0.15592551672946894	-0.4055670511165992	0.7059581873171181	3	0	3
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_arc_easy	9	9	0.4889357021274653	0.2459564380754413	0.72462754150162	9	0	0
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_arc_easy	9	9	-0.11555180499096131	-0.5756097120505645	0.3109950063122566	4	0	5
A_all_versions	task/magicoder	log_energy_ratio	gain_arc_easy	6	6	0.45431725802304096	-0.003588568954807461	0.8227528020136345	5	0	1
A_all_versions	task/metamath	log_energy_ratio	gain_arc_easy	6	6	-0.3823638883682165	-0.747202785121755	-0.023646166958973137	3	0	3
A_all_versions	task/tulu	log_energy_ratio	gain_arc_easy	6	6	0.48812247604993136	0.1636529665599328	0.8125919855399298	5	0	1
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_boolq	9	9	0.7802583940829705	0.5074466859386427	0.9443569981327963	8	0	1
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_boolq	9	9	-0.5423948445930384	-0.8517439469664598	-0.08867541900910368	1	0	8
A_all_versions	task/magicoder	log_energy_ratio	gain_boolq	6	6	0.005752271542166731	-0.6362675920186126	0.6162352401548029	3	0	3
A_all_versions	task/metamath	log_energy_ratio	gain_boolq	6	6	0.020250165519542285	-0.6108320334721921	0.6438485707373931	3	0	3
A_all_versions	task/tulu	log_energy_ratio	gain_boolq	6	6	0.33079288717318917	-0.137860329066857	0.7680897699790815	3	0	3
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_hellaswag	9	9	-0.37893529824173694	-0.7041868508280462	-0.07022676226543415	3	0	6
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_hellaswag	9	9	-0.3953329688859207	-0.798902041290298	0.11942350101762182	2	0	7
A_all_versions	task/magicoder	log_energy_ratio	gain_hellaswag	6	6	-0.2717914161090704	-0.7288951613834161	0.09883324222148017	3	0	3
A_all_versions	task/metamath	log_energy_ratio	gain_hellaswag	6	6	-0.8400825588825813	-0.9636241116594316	-0.630061919161936	0	0	6
A_all_versions	task/tulu	log_energy_ratio	gain_hellaswag	6	6	-0.04952842569983453	-0.6239966461121879	0.524939794712519	2	0	4
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_openbookqa	9	9	0.3399098479189691	0.09696719187430107	0.5935271819810649	7	0	2
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_openbookqa	9	9	0.25429782055095806	-0.18245351699380724	0.6288601832217088	7	0	2
A_all_versions	task/magicoder	log_energy_ratio	gain_openbookqa	6	6	0.09526722780012764	-0.45286658290169307	0.6490943297450487	4	0	2
A_all_versions	task/metamath	log_energy_ratio	gain_openbookqa	6	6	0.12898546265673896	-0.032330209531159095	0.2507027161713201	5	0	1
A_all_versions	task/tulu	log_energy_ratio	gain_openbookqa	6	6	0.6670588122480243	0.35330663167639126	0.8736140585839703	5	0	1
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_piqa	9	9	-0.13398255673739395	-0.4973977942870967	0.1950740537881219	6	0	3
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_piqa	9	9	0.1775898034078357	-0.32948429948966806	0.6550175357766377	5	0	4
