cohort	checkpoint	feature	outcome	spearman	n_arms
A_all_versions	Qwen3-8B/tulu/seed44	full_moment_pr	target_gain	0.6909090909090909	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	log_energy_ratio	off_gain	-0.555936987495826	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	log_energy_ratio	off_gain	-0.07412493166611013	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	log_energy_ratio	off_gain	0.14824986333222026	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	log_energy_ratio	off_gain	-0.22237479499833038	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	log_energy_ratio	off_gain	-0.4076871241636057	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	log_energy_ratio	off_gain	-0.4076871241636057	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	log_energy_ratio	off_gain	0.18531232916527532	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	log_energy_ratio	off_gain	0.7041868508280462	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	log_energy_ratio	off_gain	0.592999453328881	7
A_all_versions	Qwen3-8B/magicoder/seed42	log_energy_ratio	off_gain	0.18531232916527532	7
A_all_versions	Qwen3-8B/magicoder/seed43	log_energy_ratio	off_gain	0.14824986333222026	7
A_all_versions	Qwen3-8B/magicoder/seed44	log_energy_ratio	off_gain	0.07412493166611013	7
A_all_versions	Qwen3-8B/metamath/seed42	log_energy_ratio	off_gain	-0.9265616458263766	7
A_all_versions	Qwen3-8B/metamath/seed43	log_energy_ratio	off_gain	-0.9265616458263766	7
A_all_versions	Qwen3-8B/metamath/seed44	log_energy_ratio	off_gain	-0.7041868508280462	7
A_all_versions	Qwen3-8B/tulu/seed42	log_energy_ratio	off_gain	0.4818120558297158	7
A_all_versions	Qwen3-8B/tulu/seed43	log_energy_ratio	off_gain	0.8524367141602663	7
A_all_versions	Qwen3-8B/tulu/seed44	log_energy_ratio	off_gain	0.7041868508280462	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	raw_fpr	off_gain	0.3783937343321348	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	raw_fpr	off_gain	-0.09009374626955591	7
