checkpoint	method	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Qwen3-8B/magicoder/seed44	scalar_e	off_task	0.8484310817465252	3	0.5191467587352824	3	0.014994866670586299	3	0.01428027788183541	3	0.10197483857520682	3	0.021294625064251737	3	3	24279	632	724	3196	19727	497	324	108	87
Qwen3-8B/magicoder/seed44	flat_e	all	0.8188832099797193	4	0.51099211588664	4	0.01824585946525011	4	0.008502949525111367	4	0.12387470656571758	4	0.012450885732616782	4	4	24443	660	749	3226	19808	534	296	101	65
Qwen3-8B/magicoder/seed44	flat_e	target	0.7857142857142857	1	0.56	1	0.036585365853658534	1	0.0	1	0.2	1	0.0	1	1	164	28	25	30	81	22	14	6	0
Qwen3-8B/magicoder/seed44	flat_e	off_task	0.8299395180681972	3	0.49465615451551986	3	0.012132690669113967	3	0.011337266033481822	3	0.09849960875429013	3	0.016601180976822377	3	3	24279	632	724	3196	19727	512	282	95	65
Qwen3-8B/metamath/seed42	hns_f4_s1	all	0.6830016242749594	4	0.6275854873265436	4	0.013917826235602705	4	0.011511647485477953	4	0.10535836519473865	4	0.019395603175754658	4	4	24443	1127	1058	2917	19341	764	604	172	96
Qwen3-8B/metamath/seed42	hns_f4_s1	target	0.6538461538461539	1	0.7431192660550459	1	0.01061410159211524	1	0.013646702047005308	1	0.17721518987341772	1	0.017982017982017984	1	1	1319	130	109	79	1001	85	81	14	18
Qwen3-8B/metamath/seed42	hns_f4_s1	off_task	0.6927201144178946	3	0.5890742277503763	3	0.015019067783431858	3	0.010799962631635499	3	0.08140609030184563	3	0.019866798240333546	3	3	23124	997	949	2838	18340	679	523	158	78
Qwen3-8B/metamath/seed42	scalar_e	all	0.6839756914378147	4	0.5435747929244212	4	0.013571128926511985	4	0.015115674487702117	4	0.10170020418043083	4	0.024455090185425844	4	4	24443	1127	1058	2917	19341	778	594	144	102
Qwen3-8B/metamath/seed42	scalar_e	target	0.676923076923077	1	0.6422018348623854	1	0.009855951478392721	1	0.018953752843062926	1	0.16455696202531644	1	0.024975024975024976	1	1	1319	130	109	79	1001	88	70	13	25
Qwen3-8B/metamath/seed42	scalar_e	off_task	0.6863265629427272	3	0.5106991122784332	3	0.014809521409218408	3	0.013836315035915182	3	0.08074795156546895	3	0.0242817785888928	3	3	23124	997	949	2838	18340	690	524	131	77
Qwen3-8B/metamath/seed42	flat_e	all	0.6752613541005646	4	0.6086163049949638	4	0.013797309489148299	4	0.014131352388492098	4	0.1084963502831047	4	0.023803370500879127	4	4	24443	1127	1058	2917	19341	764	602	173	103
Qwen3-8B/metamath/seed42	flat_e	target	0.6538461538461539	1	0.7339449541284404	1	0.011372251705837756	1	0.01288855193328279	1	0.189873417721519	1	0.016983016983016984	1	1	1319	130	109	79	1001	85	80	15	17
Qwen3-8B/metamath/seed42	flat_e	off_task	0.6823997541853682	3	0.5668400886171382	3	0.014605662083585146	3	0.0145456192068952	3	0.0813706611369666	3	0.02607682167349984	3	3	23124	997	949	2838	18340	679	522	158	86
Qwen3-8B/metamath/seed43	hns_f4_s1	all	0.6754011760053376	4	0.697952255317636	4	0.02135615116789057	4	0.013450405574232199	4	0.1426966508651688	4	0.0221389353852625	4	4	24443	1141	1035	2940	19327	757	612	185	120
Qwen3-8B/metamath/seed43	hns_f4_s1	target	0.6076923076923076	1	0.719626168224299	1	0.01061410159211524	1	0.019711902956785442	1	0.1728395061728395	1	0.025974025974025976	1	1	1319	130	107	81	1001	79	77	14	26
Qwen3-8B/metamath/seed43	hns_f4_s1	off_task	0.6979707987763474	3	0.6907276176820818	3	0.024936834359815682	3	0.011363239780047786	3	0.13264903242927858	3	0.020860571855674675	3	3	23124	1011	928	2859	18326	678	535	171	94
Qwen3-8B/metamath/seed43	scalar_e	all	0.6360883336533825	4	0.6238094110040113	4	0.019435706677724457	4	0.014280420458000575	4	0.12986958884673416	4	0.02222564149042532	4	4	24443	1141	1035	2940	19327	730	622	164	117
Qwen3-8B/metamath/seed43	scalar_e	target	0.6153846153846154	1	0.6915887850467289	1	0.009855951478392721	1	0.024260803639120546	1	0.16049382716049382	1	0.03196803196803197	1	1	1319	130	107	81	1001	80	74	13	32
Qwen3-8B/metamath/seed43	scalar_e	off_task	0.6429895730763048	3	0.6012162863231055	3	0.022628958410835034	3	0.010953626064293918	3	0.11966150940881427	3	0.018978177997889766	3	3	23124	1011	928	2859	18326	650	548	151	85
Qwen3-8B/metamath/seed43	flat_e	all	0.6822016362388752	4	0.7227547285130208	4	0.018942427322233512	4	0.013872041383334283	4	0.13156595022651402	4	0.023128234756719792	4	4	24443	1141	1035	2940	19327	753	614	185	115
Qwen3-8B/metamath/seed43	flat_e	target	0.5846153846153846	1	0.7663551401869159	1	0.01061410159211524	1	0.01592115238817286	1	0.1728395061728395	1	0.02097902097902098	1	1	1319	130	107	81	1001	76	82	14	21
Qwen3-8B/metamath/seed43	flat_e	off_task	0.7147303867800389	3	0.7082212579550559	3	0.0217185358989396	3	0.013189004381721423	3	0.11780809824440552	3	0.02384463934928607	3	3	23124	1011	928	2859	18326	677	532	171	94
Qwen3-8B/metamath/seed44	hns_f4_s1	all	0.7011396053664026	4	0.6459787901812513	4	0.028751586044698383	4	0.01857661691083066	4	0.16266704094766968	4	0.03537897581459262	4	4	24443	1194	991	2984	19274	790	579	171	115
Qwen3-8B/metamath/seed44	hns_f4_s1	target	0.5859375	1	0.7904761904761904	1	0.012130401819560273	1	0.01819560272934041	1	0.1927710843373494	1	0.023928215353938187	1	1	1319	128	105	83	1003	75	83	16	24
Qwen3-8B/metamath/seed44	hns_f4_s1	off_task	0.7395403071552035	3	0.5978129900829382	3	0.03429198078641109	3	0.018703621637994074	3	0.15263235981777643	3	0.0391958959681441	3	3	23124	1066	886	2901	18271	715	496	155	91
Qwen3-8B/metamath/seed44	scalar_e	all	0.6895325033344406	4	0.6445395788517562	4	0.024043270269273984	4	0.020859495840025607	4	0.13761839472477347	4	0.0380719733682824	4	4	24443	1194	991	2984	19274	795	591	156	115
Qwen3-8B/metamath/seed44	scalar_e	target	0.625	1	0.6952380952380952	1	0.009855951478392721	1	0.03184230477634572	1	0.1566265060240964	1	0.04187437686939183	1	1	1319	128	105	83	1003	80	73	13	42
Qwen3-8B/metamath/seed44	scalar_e	off_task	0.7110433377792543	3	0.6276400733896431	3	0.02877237653290107	3	0.0171985595279189	3	0.13128235762499915	3	0.03680450553457926	3	3	23124	1066	886	2901	18271	715	518	143	73
Qwen3-8B/metamath/seed44	flat_e	all	0.7012702828880313	4	0.6247833093790988	4	0.030456246627065996	4	0.016673675146340147	4	0.16785118672090907	4	0.032431700112494875	4	4	24443	1194	991	2984	19274	784	582	175	114
Qwen3-8B/metamath/seed44	flat_e	target	0.578125	1	0.8095238095238095	1	0.011372251705837756	1	0.01592115238817286	1	0.18072289156626506	1	0.020937188434695914	1	1	1319	128	105	83	1003	74	85	15	21
Qwen3-8B/metamath/seed44	flat_e	off_task	0.7423187105173753	3	0.5632031426641952	3	0.03681757826747541	3	0.016924516065729246	3	0.16356061843912373	3	0.03626320400509453	3	3	23124	1066	886	2901	18271	710	497	160	93
Qwen3-8B/tulu/seed42	hns_f4_s1	all	0.5549002492425928	4	0.745166263787856	4	0.012758772077795542	4	0.014437258629112729	4	0.11543006029825059	4	0.021873727626285998	4	4	24443	771	973	3002	19697	374	658	116	86
Qwen3-8B/tulu/seed42	hns_f4_s1	target	0.5333333333333333	1	0.7142857142857143	1	0.018484288354898338	1	0.014787430683918669	1	0.07751937984496124	1	0.024096385542168676	1	1	541	45	35	129	332	24	25	10	8
Qwen3-8B/tulu/seed42	hns_f4_s1	off_task	0.5620892212123461	3	0.7554597802885699	3	0.010850266652094612	3	0.014320534610844081	3	0.12806695378268038	3	0.021132841654325107	3	3	23902	726	938	2873	19365	350	633	106	78
Qwen3-8B/tulu/seed42	scalar_e	all	0.5623960459212652	4	0.7683393428734141	4	0.011514481931165376	4	0.015282617385754423	4	0.10068507375585967	4	0.023418183989339997	4	4	24443	771	973	3002	19697	370	675	88	65
Qwen3-8B/tulu/seed42	scalar_e	target	0.6888888888888889	1	0.8285714285714286	1	0.018484288354898338	1	0.012939001848428836	1	0.07751937984496124	1	0.02108433734939759	1	1	541	45	35	129	332	31	29	10	7
Qwen3-8B/tulu/seed42	scalar_e	off_task	0.5202317649320573	3	0.7482619809740759	3	0.00919121312325439	3	0.016063822564862953	3	0.10840697172615914	3	0.0241961328693208	3	3	23902	726	938	2873	19365	339	646	78	58
Qwen3-8B/tulu/seed42	flat_e	all	0.5350829961754352	4	0.7549045163043097	4	0.011855705639395387	4	0.013428708785351864	4	0.10854793890547863	4	0.019870445043799177	4	4	24443	771	973	3002	19697	372	663	108	89
Qwen3-8B/tulu/seed42	flat_e	target	0.5555555555555556	1	0.7714285714285715	1	0.0166358595194085	1	0.027726432532347505	1	0.06976744186046512	1	0.045180722891566265	1	1	541	45	35	129	332	25	27	9	15
Qwen3-8B/tulu/seed42	flat_e	off_task	0.5282588097153951	3	0.7493964979295558	3	0.010262321012724347	3	0.008662800869686653	3	0.12147477125381646	3	0.011433685761210148	3	3	23902	726	938	2873	19365	347	636	99	74
Qwen3-8B/tulu/seed43	hns_f4_s1	all	0.5372744393327082	4	0.8185600959484367	4	0.010180275869978269	4	0.008583365462510798	4	0.07469138401756328	4	0.013179703771577001	4	4	24443	688	923	3052	19780	295	703	93	73
Qwen3-8B/tulu/seed43	hns_f4_s1	target	0.64	1	0.8709677419354839	1	0.022181146025878003	1	0.011090573012939002	1	0.09022556390977443	1	0.01834862385321101	1	1	541	50	31	133	327	32	27	12	6
Qwen3-8B/tulu/seed43	hns_f4_s1	off_task	0.5030325857769443	3	0.8010908806194209	3	0.0061799858180116895	3	0.007747629612368062	3	0.06951332405349289	3	0.011456730411032333	3	3	23902	638	892	2919	19453	263	676	81	67
Qwen3-8B/tulu/seed43	scalar_e	all	0.5162369378287867	4	0.8071660741658103	4	0.008595354976386839	4	0.007866254830196102	4	0.05778655976946283	4	0.01198584886976521	4	4	24443	688	923	3052	19780	276	711	75	59
Qwen3-8B/tulu/seed43	scalar_e	target	0.7	1	0.7419354838709677	1	0.02033271719038817	1	0.014787430683918669	1	0.08270676691729323	1	0.024464831804281346	1	1	541	50	31	133	327	35	23	11	8
Qwen3-8B/tulu/seed43	scalar_e	off_task	0.45498258377171563	3	0.8289096042640912	3	0.0046829009050530605	3	0.005559196212288581	3	0.04947982405351936	3	0.007826187891593164	3	3	23902	638	892	2919	19453	241	688	64	51
Qwen3-8B/tulu/seed43	flat_e	all	0.5494082879780291	4	0.811950858310954	4	0.011259687930443454	4	0.008618463062824893	4	0.07305858972595039	4	0.013227964534783403	4	4	24443	688	923	3052	19780	291	702	98	76
Qwen3-8B/tulu/seed43	flat_e	target	0.72	1	0.8387096774193549	1	0.029574861367837338	1	0.011090573012939002	1	0.12030075187969924	1	0.01834862385321101	1	1	541	50	31	133	327	36	26	16	6
Qwen3-8B/tulu/seed43	flat_e	off_task	0.4925443839707055	3	0.8030312519414871	3	0.005154630117978826	3	0.007794426412786856	3	0.05731120234136745	3	0.011521078095307537	3	3	23902	638	892	2919	19453	255	676	82	70
Qwen3-8B/tulu/seed44	hns_f4_s1	all	0.49416956664677203	4	0.7603282861099362	4	0.013373184414284768	4	0.015727147008634302	4	0.11385023088412925	4	0.024400633599853505	4	4	24443	796	978	2997	19672	364	707	91	78
Qwen3-8B/tulu/seed44	hns_f4_s1	target	0.6078431372549019	1	0.75	1	0.022181146025878003	1	0.022181146025878003	1	0.09375	1	0.03680981595092025	1	1	541	51	36	128	326	31	27	12	12
Qwen3-8B/tulu/seed44	hns_f4_s1	off_task	0.45627837644406205	3	0.7637710481465817	3	0.010437197210420355	3	0.013575814002886403	3	0.12055030784550567	3	0.02026423948283126	3	3	23902	745	942	2869	19346	333	680	79	66
Qwen3-8B/tulu/seed44	scalar_e	all	0.5183125303980117	4	0.7767138749320672	4	0.008989187510582742	4	0.016899621695555665	4	0.06771989966050172	4	0.026813701265222936	4	4	24443	796	978	2997	19672	357	733	68	58
Qwen3-8B/tulu/seed44	scalar_e	target	0.6666666666666666	1	0.7222222222222222	1	0.02033271719038817	1	0.018484288354898338	1	0.0859375	1	0.03067484662576687	1	1	541	51	36	128	326	34	26	11	10
Qwen3-8B/tulu/seed44	scalar_e	off_task	0.4688611516417933	3	0.7948777591686822	3	0.005208010950647599	3	0.01637139947577478	3	0.0616473662140023	3	0.02552665281170829	3	3	23902	745	942	2869	19346	323	707	57	48
Qwen3-8B/tulu/seed44	flat_e	all	0.5077350774794469	4	0.7618034982997255	4	0.012756975054310464	4	0.017301339472352278	4	0.09973767876827219	4	0.02675265174843881	4	4	24443	796	978	2997	19672	367	708	97	90
Qwen3-8B/tulu/seed44	flat_e	target	0.6666666666666666	1	0.7222222222222222	1	0.025878003696857672	1	0.025878003696857672	1	0.109375	1	0.04294478527607362	1	1	541	51	36	128	326	34	26	14	14
Qwen3-8B/tulu/seed44	flat_e	off_task	0.454757881083707	3	0.7749972569922265	3	0.008383298840128063	3	0.014442451397517144	3	0.09652523835769626	3	0.02135527390589387	3	3	23902	745	942	2869	19346	333	682	83	76
