checkpoint	method	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Llama-3.1-8B-Instruct/magicoder/seed44	flat_e	all	0.6781721237424243	4	0.47685709242236907	4	0.023825193181871457	4	0.022815073906495578	4	0.09196735786505536	4	0.05019095278175556	4	4	24443	1832	1663	6454	14494	1427	530	541	277
Llama-3.1-8B-Instruct/magicoder/seed44	flat_e	target	0.45	1	0.7272727272727273	1	0.012195121951219513	1	0.018292682926829267	1	0.03571428571428571	1	0.045454545454545456	1	1	164	20	22	56	66	9	16	2	3
Llama-3.1-8B-Instruct/magicoder/seed44	flat_e	off_task	0.7542294983232324	3	0.3933852141389163	3	0.027701883592088767	3	0.02432253756638435	3	0.11071838191531191	3	0.05176975522415892	3	3	24279	1812	1641	6398	14428	1418	514	539	274
Llama-3.1-8B-Instruct/metamath/seed42	hns_f4_s1	all	0.508056065256335	4	0.7537900520778721	4	0.02650199541159739	4	0.01411059204181651	4	0.12200408432876317	4	0.02729845908076487	4	4	24443	2889	1351	6766	13437	1437	968	338	274
Llama-3.1-8B-Instruct/metamath/seed42	hns_f4_s1	target	0.4368932038834951	1	0.9057239057239057	1	0.03866565579984837	1	0.01592115238817286	1	0.2562814070351759	1	0.029166666666666667	1	1	1319	103	297	199	720	45	269	51	21
Llama-3.1-8B-Instruct/metamath/seed42	hns_f4_s1	off_task	0.5317770190472816	3	0.7031454341958608	3	0.022447441948847065	3	0.013507071926364392	3	0.07724497675995892	3	0.026675723218797614	3	3	23124	2786	1054	6567	12717	1392	699	287	253
Llama-3.1-8B-Instruct/metamath/seed42	scalar_e	all	0.3765380938150806	4	0.8194390400948457	4	0.017179117693711735	4	0.017929526375550765	4	0.08372713125182414	4	0.034911549866346744	4	4	24443	2889	1351	6766	13437	1004	1038	251	287
Llama-3.1-8B-Instruct/metamath/seed42	scalar_e	target	0.42718446601941745	1	0.898989898989899	1	0.02880970432145565	1	0.024260803639120546	1	0.19095477386934673	1	0.044444444444444446	1	1	1319	103	297	199	720	44	267	38	32
Llama-3.1-8B-Instruct/metamath/seed42	scalar_e	off_task	0.3596559697469683	3	0.7929220871298278	3	0.013302255484463767	3	0.015819100621027506	3	0.04798458371264996	3	0.031733918340314186	3	3	23124	2786	1054	6567	12717	960	771	213	255
Llama-3.1-8B-Instruct/metamath/seed42	flat_e	all	0.48622829510603743	4	0.7641317295379231	4	0.025986315471745458	4	0.016537855503176567	4	0.1184158756780488	4	0.03241540217077479	4	4	24443	2889	1351	6766	13437	1437	979	328	275
Llama-3.1-8B-Instruct/metamath/seed42	flat_e	target	0.4174757281553398	1	0.9292929292929293	1	0.03639120545868082	1	0.014404852160727824	1	0.24120603015075376	1	0.02638888888888889	1	1	1319	103	297	199	720	43	276	48	19
Llama-3.1-8B-Instruct/metamath/seed42	flat_e	off_task	0.5091458174229367	3	0.7090779962862541	3	0.022518018809433677	3	0.017248856617326145	3	0.07748582418714715	3	0.03442423993140342	3	3	23124	2786	1054	6567	12717	1394	703	280	256
Llama-3.1-8B-Instruct/metamath/seed43	hns_f4_s1	all	0.6146611258532091	4	0.5807031873582283	4	0.03149831113443154	4	0.022276094888725863	4	0.13490080066042398	4	0.047723862777629335	4	4	24443	3151	1176	6941	13175	2290	789	736	206
Llama-3.1-8B-Instruct/metamath/seed43	hns_f4_s1	target	0.5691056910569106	1	0.8517241379310345	1	0.0401819560272934	1	0.027293404094010616	1	0.25728155339805825	1	0.05142857142857143	1	1	1319	123	290	206	700	70	247	53	36
Llama-3.1-8B-Instruct/metamath/seed43	hns_f4_s1	off_task	0.6298462707853086	3	0.49036287050062627	3	0.02860376283681092	3	0.020603658486964282	3	0.09410721641454585	3	0.04648895989398197	3	3	23124	3028	886	6735	12475	2220	542	683	170
Llama-3.1-8B-Instruct/metamath/seed43	scalar_e	all	0.617270395722733	4	0.6193563160150776	4	0.03024814234161948	4	0.020374015522994855	4	0.13126066312339973	4	0.041702006709036434	4	4	24443	3151	1176	6941	13175	2146	780	598	232
