group	comparison	outcome	n_checkpoints	mean_difference	ci_low	ci_high	uncertainty
source/magicoder	hns_f4_s1 minus flat_e	off_score	6	0.11357419275271734	-0.04252330798837297	0.2801233973692234	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/magicoder	hns_f4_s1 minus flat_e	forgetting_gap	6	0.03710285970148974	-0.07353430444451325	0.18484288354898248	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/magicoder	scalar_e minus flat_e	target	6	2.0325203252032495	0.7113821138211378	3.455284552845523	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/magicoder	scalar_e minus flat_e	off_score	6	0.3219037825217465	0.12186700877795545	0.5438249665592423	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/magicoder	scalar_e minus flat_e	forgetting_gap	6	-0.015342413746872988	-0.11803290460741855	0.09761712619972751	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/metamath	hns_f4_s1 minus scalar_e	target	6	0.9476876421531463	0.24008086934546682	1.6679302501895374	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/metamath	hns_f4_s1 minus scalar_e	off_score	6	1.1162837716873522	0.1325642014933758	2.075811562243386	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/metamath	hns_f4_s1 minus scalar_e	forgetting_gap	6	-0.5348965126933883	-0.801405551842931	-0.2755639100971064	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/metamath	hns_f4_s1 minus flat_e	target	6	-0.11372251705837755	-0.34116755117513264	0.12635835228708933	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/metamath	hns_f4_s1 minus flat_e	off_score	6	0.3998595035261303	0.10994823118123165	0.6650846496438857	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/metamath	hns_f4_s1 minus flat_e	forgetting_gap	6	-0.19325830763188753	-0.3659785170916653	-0.041076196344218455	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/metamath	scalar_e minus flat_e	target	6	-1.0614101592115237	-1.9332827899924208	-0.18953752843062688	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/metamath	scalar_e minus flat_e	off_score	6	-0.7164242681612217	-1.7234632875204952	0.2794381994579401	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/metamath	scalar_e minus flat_e	forgetting_gap	6	0.3416382050615006	0.10876599374516537	0.6126409150886016	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/tulu	hns_f4_s1 minus scalar_e	target	6	-0.1540357362908201	-1.3247073321010514	0.8934072704867546	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
