base	task	seed	module	gain	storage_roundoff_common_gain	effective_common_gain	saved_hns_fro_relative_error	functional_energy_over_hns	source_basis_sha256	nuclear_ratio
Qwen3-8B	magicoder	42	base_model.model.model.layers.10.self_attn.v_proj	0.5303828804214908	1.000000158685547	0.5303829645855883	5.438165182614085e-07	9.09811575913161	7564f195f3f525105322f7ece9639dc7f7fc0ac0e04236868bf789433e6885e2	0.5303828804214908
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.mlp.down_proj	0.4935280905074359	0.9999994256758392	0.4935278070623295	2.972848569537945e-07	7.553857923788203	4cc8cc6ffab6f7a266e6337a969bf1f350e00e8c2f0f37e1933b49eb790d497a	0.49352809050743585
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.mlp.gate_proj	0.6871543876217608	1.0000014153377248	0.6871553601772884	5.994254970165258e-07	4.590173589555529	a0e6bd65ff9c30f1fb64be9a6d1da40c62cea757e4d89a7a7701a8ef45563b38	0.6871543876217608
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.mlp.up_proj	0.623303481111843	1.000000748516458	0.6233039476647568	8.490803795613289e-07	6.992185426922942	09255b05dab5b85de2d75d44d37d5b6388b2c075e64973d92aaf7a9b46a28a1b	0.623303481111843
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.self_attn.k_proj	0.6707869011183164	1.0000023520588583	0.6707884788485893	1.2750927369520326e-06	5.074801983589694	3b974989e5aad37f79446e1c38522598520e95caaf8b20fbc3c1c70fac116444	0.6707869011183163
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.self_attn.o_proj	0.6242001351290898	0.9999991282956422	0.6241995910111119	8.557707966705408e-07	7.051650457921569	f43bb6cc4f046a134d8c3b7f7a5ebafff5f0cfbbed9709fdfb5ed2dae310647c	0.6242001351290897
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.self_attn.q_proj	0.6217371955830387	1.0000010610519325	0.6217378552784917	8.765985310965618e-07	9.257620263400495	b9eeb3320ce71b9af385d893b85addce455bd1bf896468a05438d581fdf5f919	0.6217371955830386
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.self_attn.v_proj	0.5037524027527005	1.0000001993070764	0.5037525031541191	6.326055430605493e-07	10.210349823751322	256fdc9db41edf122154613c7520d3af2b1893907e3bba7e87d560db202d060f	0.5037524027527005
Qwen3-8B	magicoder	42	base_model.model.model.layers.12.mlp.down_proj	0.5810026781540244	0.9999995783249516	0.5810024331596919	7.727845583449522e-07	6.323965254010436	915c415ef9138f82825ec3eceadd1e2896fde2972d01799a089774d9654a3977	0.5810026781540244
Qwen3-8B	magicoder	42	base_model.model.model.layers.12.mlp.gate_proj	0.6905916884476262	1.0000030429130466	0.6905937898580848	1.737087679254401e-06	5.823325377541876	3a55919fc627eb4a69de253de8c7d21a4be34c77b749f162fb19f93d758f9a4a	0.6905916884476261
Qwen3-8B	magicoder	42	base_model.model.model.layers.12.mlp.up_proj	0.6929618326905921	1.0000002039510723	0.6929619740209009	8.563372480008269e-07	5.741408019823367	70946a6cf6ec8d32ed5d648d84862871d69b00254170b859e2d6748810717e1d	0.6929618326905921
Qwen3-8B	magicoder	42	base_model.model.model.layers.12.self_attn.k_proj	0.7218458978817481	0.9999997671402333	0.7218457297928808	6.409209751812028e-07	5.6547956625615665	37c9ba55db3fb0a13e65a2c00041faccfdef6b4db9a525898b997ed908d6d84f	0.7218458978817481
