group	comparison	metric	n_checkpoints	n_defined	mean_difference	ci_low	ci_high	uncertainty
benchmark/tulu	hns_f4_s1 minus flat_e	recovery_rate	18	18	-0.00584035792476243	-0.024533790857481794	0.013001312375872503	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/tulu	hns_f4_s1 minus flat_e	retention_rate	18	18	-0.003661927386608554	-0.019307324350929002	0.009847928251904234	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/tulu	hns_f4_s1 minus flat_e	new_success_rate	18	18	0.00020538098172109235	-0.001745738344629287	0.002056377079482426	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/tulu	hns_f4_s1 minus flat_e	new_damage_rate	18	18	-0.002875333744095297	-0.005956048469911686	-0.0001026904908605455	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/tulu	scalar_e minus flat_e	recovery_rate	18	18	0.013357430258684336	-0.011331694109339404	0.039921507291679245	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/tulu	scalar_e minus flat_e	retention_rate	18	18	-0.004745046085403687	-0.027224258141994768	0.017462118196789785	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/tulu	scalar_e minus flat_e	new_success_rate	18	18	-0.0008215239268843707	-0.0030807147258163897	0.0016430478537687405	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/tulu	scalar_e minus flat_e	new_damage_rate	18	18	-0.00020538098172109148	-0.0031834052166769345	0.002567262271513658	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	hns_f4_s1 minus scalar_e	recovery_rate	18	18	0.025468714291441194	-0.007886116963865724	0.05962101074761858	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/arc_challenge	hns_f4_s1 minus scalar_e	retention_rate	18	18	0.001668419258554793	-0.029300892670463746	0.03546431002255371	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
