group	comparison	outcome	n_checkpoints	mean_difference	ci_low	ci_high	uncertainty
base/Qwen3-8B	scalar_e minus scalar_f	forgetting_gap	9	-0.2871044767067421	-0.7977042295945713	0.06787052960244097	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	flat_e minus scalar_f	target	9	3.0431549083063896	1.9793223893362388	4.240170266127979	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	flat_e minus scalar_f	off_score	9	1.1126842990544692	0.04803961896869425	2.2671522390432757	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	flat_e minus scalar_f	forgetting_gap	9	-0.44518939088921755	-1.1474086743266612	-0.02807963384157435	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus scalar_e	target	9	-0.7586088874164053	-2.4621081981981754	0.673750513229333	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus scalar_e	off_score	9	-0.03942687207761253	-0.599313018601176	0.7065853008812099	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus scalar_e	forgetting_gap	9	-0.2030937908738948	-0.4439847161265296	0.010647289436383019	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus flat_e	target	9	-0.001561368666394003	-0.8048038260898125	0.7721489468916337	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus flat_e	off_score	9	0.2920827967910324	0.10995365608408496	0.47746801578802806	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus flat_e	forgetting_gap	9	-0.10322826470583037	-0.26802294170528945	0.0646007790139633	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus scalar_f	target	9	0.2158275777458019	-1.3001836825620798	1.511212026512361	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
