base	task	seed	module	fro_matching_gain	energy_matching_gain	old_fro_scalar_energy_over_hns
Qwen3-8B	magicoder	42	base_model.model.model.layers.14.self_attn.v_proj	0.6015034947626295	0.2018724145442497	8.878147475233977
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.mlp.down_proj	0.5805716027684207	0.25633510196890646	5.1297407373084605
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.mlp.gate_proj	0.6770302921913193	0.2804821015207684	5.826475113992432
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.mlp.up_proj	0.682806166811955	0.2802681659987012	5.93536356499622
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.self_attn.k_proj	0.7547173573137702	0.33564058963491716	5.0561473927786595
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.self_attn.o_proj	0.6370368775375869	0.2429342984645435	6.8762471631804685
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.self_attn.q_proj	0.6688528620267112	0.24570217411570552	7.410426101432618
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.self_attn.v_proj	0.6052211304879771	0.21102993307150503	8.225078327881405
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.mlp.down_proj	0.4933052214085831	0.3476446826253043	2.013539911782653
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.mlp.gate_proj	0.6035299762310349	0.2217613772404288	7.406719042206256
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.mlp.up_proj	0.5645756777894354	0.19300073791665426	8.557095722819158
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.self_attn.k_proj	0.791758962550631	0.48133032719347596	2.7058238726421457
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.self_attn.o_proj	0.6283725564841065	0.24437342241090143	6.611903046147607
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.self_attn.q_proj	0.6388408249732613	0.22361452339690285	8.16178800141608
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.self_attn.v_proj	0.5819092027974426	0.21088098622936077	7.6143985211856124
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.mlp.down_proj	0.4959036755087732	0.16562316292796775	8.965045664420064
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.mlp.gate_proj	0.4566107413289795	0.14089583141027046	10.502579049730393
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.mlp.up_proj	0.5041168228422768	0.16623694815651305	9.19617582902256
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.self_attn.k_proj	0.7479660259435418	0.4554006757851743	2.697592851922858
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.self_attn.o_proj	0.6093542274289426	0.21432271054744229	8.08357124772313
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.self_attn.q_proj	0.6826607311934267	0.2605593014008373	6.864306717835237
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.self_attn.v_proj	0.5697635370804018	0.21183096335311408	7.23453167241422
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.mlp.down_proj	0.5268250451013297	0.182479613210101	8.334971565141023
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.mlp.gate_proj	0.49003184645729697	0.15567696334417874	9.908317327724852
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.mlp.up_proj	0.5431767607426021	0.18125027895581441	8.98100616180639
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.self_attn.k_proj	0.7724402209042694	0.43121593555432214	3.208781574425914
