base	task	method	primary_score	gain_vs_lora	difference_vs_hns
Qwen3-8B	magicoder	original_lora	0.6646341463414634	0.0	-0.08536585365853655
Qwen3-8B	magicoder	hns	0.75	0.08536585365853655	0.0
Qwen3-8B	magicoder	zscore_variance	0.0	-0.6646341463414634	-0.75
Qwen3-8B	magicoder	zscore_std	0.0	-0.6646341463414634	-0.75
Qwen3-8B	metamath	original_lora	0.8415466262319939	0.0	-0.04018195602729335
Qwen3-8B	metamath	hns	0.8817285822592873	0.04018195602729335	0.0
Qwen3-8B	metamath	zscore_variance	0.0	-0.8415466262319939	-0.8817285822592873
Qwen3-8B	metamath	zscore_std	0.006823351023502654	-0.8347232752084913	-0.8749052312357847
Qwen3-8B	tulu	original_lora	0.6765249537892791	0.0	-0.03512014787430684
Qwen3-8B	tulu	hns	0.711645101663586	0.03512014787430684	0.0
Qwen3-8B	tulu	zscore_variance	0.1977818853974122	-0.4787430683918669	-0.5138632162661738
Qwen3-8B	tulu	zscore_std	0.4676524953789279	-0.20887245841035124	-0.24399260628465808
Qwen3-8B	commonsense	original_lora	0.9078616627399869	0.0	0.004056204958095555
Qwen3-8B	commonsense	hns	0.9038054577818914	-0.004056204958095555	0.0
Qwen3-8B	commonsense	zscore_variance	0.0	-0.9078616627399869	-0.9038054577818914
Qwen3-8B	commonsense	zscore_std	0.8907631522722368	-0.017098510467750128	-0.013042305509654573
Llama-3.1-8B-Instruct	magicoder	original_lora	0.5365853658536586	0.0	-0.0060975609756097615
Llama-3.1-8B-Instruct	magicoder	hns	0.5426829268292683	0.0060975609756097615	0.0
Llama-3.1-8B-Instruct	magicoder	zscore_variance	0.0	-0.5365853658536586	-0.5426829268292683
Llama-3.1-8B-Instruct	magicoder	zscore_std	0.0	-0.5365853658536586	-0.5426829268292683
Llama-3.1-8B-Instruct	metamath	original_lora	0.7710386656557998	0.0	-0.03335860500379073
Llama-3.1-8B-Instruct	metamath	hns	0.8043972706595905	0.03335860500379073	0.0
Llama-3.1-8B-Instruct	metamath	zscore_variance	0.0	-0.7710386656557998	-0.8043972706595905
Llama-3.1-8B-Instruct	metamath	zscore_std	0.024260803639120546	-0.7467778620166793	-0.78013646702047
Llama-3.1-8B-Instruct	tulu	original_lora	0.6321626617375231	0.0	-0.011090573012939031
Llama-3.1-8B-Instruct	tulu	hns	0.6432532347504621	0.011090573012939031	0.0
Llama-3.1-8B-Instruct	tulu	zscore_variance	0.1423290203327172	-0.4898336414048059	-0.5009242144177449
Llama-3.1-8B-Instruct	tulu	zscore_std	0.09242144177449169	-0.5397412199630314	-0.5508317929759705
Llama-3.1-8B-Instruct	commonsense	original_lora	0.8795895457536193	0.0	0.003733586491741825
Llama-3.1-8B-Instruct	commonsense	hns	0.8758559592618774	-0.003733586491741825	0.0
Llama-3.1-8B-Instruct	commonsense	zscore_variance	0.0	-0.8795895457536193	-0.8758559592618774
Llama-3.1-8B-Instruct	commonsense	zscore_std	0.00034004352557127313	-0.879249502228048	-0.8755159157363062
