base	task	seed	method	epsilon	path	threshold	requested_energy_ratio	actual_energy_ratio	retained_components	total_components	zero_rank_modules	module_count	parameters_before	parameters_after	parameter_retention_ratio	max_unpruned_reconstruction_relative_error	max_saved_factor_relative_error
Llama-3.1-8B-Instruct	tulu	42	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/tulu/seed42/para_e99	0.11830577999353409	0.99	0.9900099549414054	2896	3584	0	224	41943040	38286336	0.9128173828125	5.306238108460093e-06	1.1781405350990545e-08
Llama-3.1-8B-Instruct	magicoder	43	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/magicoder/seed43/para_e90	0.055081333965063095	0.9	0.9001083689141873	992	3584	9	224	41943040	15613952	0.372265625	6.574410690518562e-06	2.0497636805642377e-08
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/magicoder/seed43/para_e95	0.04049413651227951	0.95	0.9500308114129318	1530	3584	0	224	41943040	23232512	0.55390625	6.574410690518562e-06	2.7040511742984317e-08
Llama-3.1-8B-Instruct	magicoder	43	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/magicoder/seed43/para_e99	0.022162992507219315	0.99	0.9900175589276669	2583	3584	0	224	41943040	34191360	0.815185546875	6.574410690518562e-06	1.84584684945143e-08
Llama-3.1-8B-Instruct	metamath	43	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/metamath/seed43/para_e90	0.1075965091586113	0.9	0.9001138383076299	1303	3584	0	224	41943040	19998720	0.476806640625	5.964606316410936e-06	1.8213733755467893e-08
Llama-3.1-8B-Instruct	metamath	43	para_e95	0.95	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/metamath/seed43/para_e95	0.08042724430561066	0.95	0.950011134157562	1795	3584	0	224	41943040	26427392	0.630078125	5.964606316410936e-06	1.7416197153036197e-08
Llama-3.1-8B-Instruct	metamath	43	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/metamath/seed43/para_e99	0.04497474059462547	0.99	0.9900076179516262	2716	3584	0	224	41943040	35646464	0.8498779296875	5.964606316410936e-06	2.3355422339299245e-08
Llama-3.1-8B-Instruct	tulu	43	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/tulu/seed43/para_e90	0.24995003640651703	0.9	0.9001212055826837	1623	3584	15	224	41943040	25213952	0.6011474609375	4.539327164820861e-06	1.5069995495625507e-08
Llama-3.1-8B-Instruct	tulu	43	para_e95	0.95	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/tulu/seed43/para_e95	0.1993676871061325	0.95	0.9500292987223051	2131	3584	0	224	41943040	31156224	0.742822265625	4.539327164820861e-06	1.9284023428532444e-08
Llama-3.1-8B-Instruct	tulu	43	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/tulu/seed43/para_e99	0.11856676638126373	0.99	0.9900158958204797	2893	3584	0	224	41943040	38220800	0.9112548828125	4.539327164820861e-06	1.688596013711218e-08
Llama-3.1-8B-Instruct	magicoder	44	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/magicoder/seed44/para_e90	0.05500239133834839	0.9	0.9000783427525029	979	3584	10	224	41943040	15477760	0.3690185546875	6.750892680429388e-06	1.883483659367005e-08
Llama-3.1-8B-Instruct	magicoder	44	para_e95	0.95	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/magicoder/seed44/para_e95	0.04052617400884628	0.95	0.9500442844961033	1521	3584	1	224	41943040	23113728	0.55107421875	6.750892680429388e-06	1.9254885929784816e-08
Llama-3.1-8B-Instruct	magicoder	44	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/magicoder/seed44/para_e99	0.02231704629957676	0.99	0.9900123010609075	2582	3584	0	224	41943040	34172928	0.81474609375	6.750892680429388e-06	1.7131885750342727e-08
Llama-3.1-8B-Instruct	metamath	44	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/metamath/seed44/para_e90	0.10767583549022675	0.9	0.9001272510189713	1310	3584	1	224	41943040	20143104	0.4802490234375	6.593481430172687e-06	1.9808202143760165e-08
Llama-3.1-8B-Instruct	metamath	44	para_e95	0.95	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/metamath/seed44/para_e95	0.08019743114709854	0.95	0.9500724989754012	1800	3584	0	224	41943040	26430464	0.6301513671875	6.593481430172687e-06	1.9070688397480543e-08
Llama-3.1-8B-Instruct	metamath	44	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/metamath/seed44/para_e99	0.04503561556339264	0.99	0.9900069363460333	2729	3584	0	224	41943040	35708928	0.8513671875	6.593481430172687e-06	1.8396151860982243e-08
Llama-3.1-8B-Instruct	tulu	44	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/tulu/seed44/para_e90	0.2511151134967804	0.9	0.9000352730210179	1616	3584	18	224	41943040	25176064	0.600244140625	5.329355190042406e-06	1.5251160953682035e-08
Llama-3.1-8B-Instruct	tulu	44	para_e95	0.95	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/tulu/seed44/para_e95	0.19967696070671082	0.95	0.9500142975547762	2126	3584	0	224	41943040	31250432	0.745068359375	5.329355190042406e-06	1.5866382456305265e-08
Llama-3.1-8B-Instruct	tulu	44	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Llama-3.1-8B-Instruct/tulu/seed44/para_e99	0.11915172636508942	0.99	0.9900147607180205	2892	3584	0	224	41943040	38266880	0.912353515625	5.329355190042406e-06	1.4357081893092399e-08
