base	task	method	name	target_n	target_mean	target_sample_sd	off_score_n	off_score_mean	off_score_sample_sd	forgetting_gap_n	forgetting_gap_mean	forgetting_gap_sample_sd	functional_pr_n	functional_pr_mean	functional_pr_sample_sd	cov_functional_pr_n	cov_functional_pr_mean	cov_functional_pr_sample_sd	functional_rms_ratio_n	functional_rms_ratio_mean	functional_rms_ratio_sample_sd
Qwen3-8B	magicoder	original_lora	LoRA	3	64.22764227642277	1.2693085362598402	3	78.03676603360815	0.4475345533358455	3	1.6655167511624869	0.48253822913963124	3	1.0614443300909369	0.016071802205599735	3	1.0422584318979304	0.008329080892358837	3	1.0	0.0
Qwen3-8B	magicoder	hns_f4_s1	HNS α=0 (4+1)	3	74.59349593495935	0.3520428470668448	3	81.26057961818536	0.07096821118695566	3	0	0.0	3	2.5852837924808223	0.13007960848755593	3	2.1043048179193153	0.07486711226685949	3	0.15297333241467265	0.010349816293947125
Qwen3-8B	magicoder	functional_hns_a05	Functional-HNS α=0.5	3	72.35772357723577	1.5345191941607206	3	80.4877946359628	0.30473225045115054	3	0.0	0.0	3	9.22326230110832	0.2708487431416352	3	5.955369414816565	0.18350635010040703	3	0.08364362380738684	0.007072821301353716
Qwen3-8B	magicoder	functional_hns_a10	Functional-HNS α=1	3	68.29268292682927	0.6097560975609682	3	80.19174214283413	0.17753455931822132	3	0	0.0	3	15.969701830669841	0.001102636853175282	3	12.088753205742721	0.12797077364781548	3	0.07115277600238624	0.005987545743822756
Qwen3-8B	magicoder	functional_flat	Protected Exact Functional Flat	3	68.29268292682927	0.6097560975609682	3	80.16319288658283	0.17769552770444302	3	0	0.0	3	15.999999999999964	0.0	3	12.153191712952067	0.07487125994030522	3	0.06865805185928328	0.006242336151566729
Qwen3-8B	metamath	original_lora	LoRA	3	84.05357594136973	0.08754363444877358	3	68.15773232448684	4.102651148306118	3	4.948178871807206	4.054152408740407	3	1.5412365127059813	0.19682333939721747	3	1.437640099730634	0.1672094594052475	3	1.0	0.0
Qwen3-8B	metamath	hns_f4_s1	HNS α=0 (4+1)	3	87.46525145312106	0.683737642581182	3	75.2767121929747	1.2347391862575827	3	0	0.0	3	7.46485300074334	0.6049406541285202	3	4.767703404770262	0.4388059843314856	3	0.23425248869576182	0.017303100262977752
Qwen3-8B	metamath	functional_hns_a05	Functional-HNS α=0.5	3	87.61688147586555	0.7891076571137686	3	75.46360698282173	1.6344450333453662	3	0.0	0.0	3	13.099512805296513	0.30035662384883954	3	7.742203670022206	0.3801659751451216	3	0.1842643338937379	0.015452994857107247
Qwen3-8B	metamath	functional_hns_a10	Functional-HNS α=1	3	87.43997978266364	0.6312861256910144	3	76.01024062763821	1.6378405344856797	3	0	0.0	3	15.981071278726374	0.001742372396425202	3	10.575080032779226	0.11266036899998653	3	0.16629798791743552	0.014114914832625022
Qwen3-8B	metamath	functional_flat	Protected Exact Functional Flat	3	87.3894364417488	0.4442354266173051	3	76.00230745477614	1.3892277765970908	3	0	0.0	3	15.999999999999963	2.0511601988091347e-15	3	10.57822314835462	0.0867507506746706	3	0.1650033939173774	0.014375288007942095
Qwen3-8B	tulu	original_lora	LoRA	3	66.97473813924832	0.8335027269543289	3	85.62688735258526	0.4568732668820503	3	0	0.0	3	2.402983082334386	0.2049006750487557	3	2.121420527350456	0.19922886857721286	3	1.0	0.0
Qwen3-8B	tulu	hns_f4_s1	HNS α=0 (4+1)	3	71.41096734442391	0.9118082924799005	3	84.93077147314409	0.44383666906855157	3	0	0.0	3	10.544210139872247	0.4638121913316111	3	7.390727278174184	0.1959616570236419	3	0.44897311563358744	0.022856033522328387
Qwen3-8B	tulu	functional_hns_a05	Functional-HNS α=0.5	3	72.39679605668515	0.3847811459271921	3	84.85519469758496	0.5139238969076028	3	0	0.0	3	14.41065778505282	0.21611545259410983	3	9.967935576256679	0.15884476335777406	3	0.3910173957277052	0.02236784907403449
Qwen3-8B	tulu	functional_hns_a10	Functional-HNS α=1	3	72.82809611829946	0.640314531448754	3	84.16789867150383	1.0748836683736651	3	0	0.0	3	15.985344915665417	0.0005212498530038846	3	11.864491574629868	0.040687002729098615	3	0.36330092650424306	0.022618958502662035
Qwen3-8B	tulu	functional_flat	Protected Exact Functional Flat	3	72.52002464571781	1.083080457871039	3	84.0929307586397	0.8415777749775534	3	0	0.0	3	15.999999999999961	1.0255800994045674e-15	3	11.87461840079116	0.024791285300197516	3	0.36314489522868626	0.022545109961731778
