base	task	seed	method	old_target	new_target	target_change	old_off	new_off	off_change	old_fg	new_fg	fg_change
Llama-3.1-8B-Instruct	magicoder	42	original_lora	53.65853658536586	53.65853658536586	0.0	60.201910294666895	60.31983900812208	0.11792871345518563	5.038787302458779	4.97838274735341	-0.06040455510536891
Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	54.87804878048781	54.87804878048781	0.0	64.80729199670706	64.79289466794802	-0.014397328759045536	0.8377523277372845	0.9096738148461441	0.0719214871088596
Llama-3.1-8B-Instruct	magicoder	42	functional_hns_a05	54.268292682926834	54.268292682926834	0.0	64.43045583856416	64.27844245680659	-0.15201338175756973	0.8102417585615171	1.0197792986689034	0.20953754010738623
Llama-3.1-8B-Instruct	magicoder	42	functional_hns_a10	54.87804878048781	54.87804878048781	0.0	64.7941040031462	65.23050564727832	0.43640164413211835	1.2047437077019911	0.8764095628345151	-0.32833414486747603
Llama-3.1-8B-Instruct	magicoder	42	functional_flat	54.87804878048781	54.87804878048781	0.0	64.83957199204201	64.92958308189107	0.0900110898490567	1.1087323778913476	1.1015171168495215	-0.0072152610418261265
Llama-3.1-8B-Instruct	metamath	42	original_lora	77.25549658832449	77.10386656557998	-0.15163002274451287	57.818716309118	57.883755169015444	0.06503885989744163	4.71282739586223	4.705312694314604	-0.007514701547625791
Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	80.81880212282032	80.66717210007582	-0.15163002274449866	63.15315891253488	63.33797235805183	0.18481344551695145	1.817409182689256	1.6901198955221186	-0.1272892871671374
Llama-3.1-8B-Instruct	metamath	42	functional_hns_a05	81.12206216830933	81.34950720242608	0.2274450341167551	63.3116743978034	63.30989019421868	-0.0017842035847195348	1.2523896323800823	1.3116979943146205	0.059308361934538256
Llama-3.1-8B-Instruct	metamath	42	functional_hns_a10	81.34950720242608	81.42532221379834	0.07581501137225644	62.65933553259599	62.54452094425866	-0.11481458833733171	1.2949724000265188	1.4673111467136621	0.17233874668714333
Llama-3.1-8B-Instruct	metamath	42	functional_flat	81.04624715693708	81.12206216830933	0.07581501137224222	62.61166566707653	62.30472322256162	-0.3069424445149096	1.545894298066301	1.9103609009310272	0.3644666028647261
Llama-3.1-8B-Instruct	tulu	42	original_lora	63.21626617375231	63.21626617375231	0.0	63.726333596042494	63.82610416659975	0.09977057055725425	1.8085346877068673	1.907926013503425	0.09939132579655774
Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1	65.4343807763401	64.87985212569316	-0.5545286506469438	66.4038662892294	66.41544363497844	0.01157734574904623	0.3187705060185806	0.3283746945604283	0.009604188541847691
Llama-3.1-8B-Instruct	tulu	42	functional_hns_a05	65.98890942698706	65.98890942698706	0.0	65.67933014485443	65.70277810252696	0.023447957672530606	0.38408588077871286	0.3818194573970999	-0.002266423381612981
Llama-3.1-8B-Instruct	tulu	42	functional_hns_a10	65.24953789279112	64.87985212569316	-0.3696857670979625	64.33031432731711	64.30113818811398	-0.029176139203130447	0.33776647885315	0.3375808114323462	-0.00018566742080378118
Llama-3.1-8B-Instruct	tulu	42	functional_flat	64.87985212569316	65.24953789279112	0.3696857670979625	64.68708257646502	64.7498948948727	0.06281231840767987	0.3611519554274878	0.3447928417681396	-0.016359113659348168
