method	name	n	target	off_score	forgetting_gap	target_gain_lora	target_gain_hns	off_score_gain_lora	off_score_gain_hns	fg_reduction_lora	fg_reduction_hns	functional_pr	cov_functional_pr	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora_wtl	target_gain_hns_wtl	off_score_gain_lora_wtl	off_score_gain_hns_wtl	fg_reduction_lora_wtl	fg_reduction_hns_wtl	pareto_vs_hns
original_lora	LoRA	18	67.99797931455495	69.55120898067871	2.708166011271413	0.0	-4.085460257359661	0.0	-3.24030354670987	0.0	-2.3640701215884095	2.0225654372813877	1.8443686849060759	1.0	1.0	[0, 18, 0]	[1, 1, 16]	[0, 18, 0]	[3, 0, 15]	[0, 18, 0]	[0, 4, 14]	0
hns_f4_s1	HNS α=0 (4+1)	18	72.08343957191462	72.79151252738859	0.3440958896830035	4.085460257359661	0.0	3.24030354670987	0.0	2.3640701215884095	0.0	7.3451420813058705	5.392337873249273	0.2878810541771646	0.09723731884124508	[16, 1, 1]	[0, 18, 0]	[15, 0, 3]	[0, 18, 0]	[14, 4, 0]	[0, 18, 0]	0
functional_hns_a05	Functional-HNS α=0.5	18	72.10799564275887	72.58626018238893	0.2535717205821584	4.110016328203907	0.024556070844245898	3.0350512017102127	-0.20525234499965744	2.4545942906892546	0.09052416910084507	12.728100029505086	8.831196766662776	0.21939060652916956	0.06359054005990206	[17, 0, 1]	[10, 0, 8]	[14, 0, 4]	[7, 0, 11]	[14, 4, 0]	[4, 11, 3]	5
functional_hns_a10	Functional-HNS α=1	18	71.59573640832326	72.28403113381923	0.2890077969717766	3.5977570937683057	-0.48770316359135535	2.73282215314052	-0.5074813935693503	2.4191582142996366	0.05508809271122686	15.981973598098275	12.112846430503623	0.19816741608305458	0.05363428001305489	[17, 0, 1]	[9, 3, 6]	[13, 0, 5]	[5, 0, 13]	[14, 3, 1]	[4, 9, 5]	3
functional_flat	Protected Exact Functional Flat	18	71.32166199384012	72.34049821640637	0.3125615772103349	3.3236826792851613	-0.7617775780744999	2.789289235727659	-0.45101431098221156	2.3956044340610783	0.031534312472668545	15.999999999999963	12.130342385412792	0.19745824359119996	0.053483052414257146	[17, 0, 1]	[9, 1, 8]	[13, 0, 5]	[5, 0, 13]	[14, 3, 1]	[3, 9, 6]	4
