base	train_task	hns_target	hns_off_task_macro	best_feasible_scalar	best_gamma	scalar_target	scalar_off_task_macro	hns_minus_scalar_target	hns_minus_scalar_off_task	target_tolerance
Qwen3-8B	magicoder	0.7621951219512195	0.8148485172872996	global_0p40	0.4	0.7621951219512195	0.8112662342718636	0.0	0.0035822830154359497	0.01
Qwen3-8B	metamath	0.8809704321455648	0.752542730595458	global_0p40	0.4	0.8741470811220622	0.7388657297940133	0.006823351023502622	0.013677000801444628	0.01
Qwen3-8B	tulu	0.7005545286506469	0.8546677464826135	global_0p85	0.85	0.6913123844731978	0.8671697971963762	0.009242144177449174	-0.012502050713762758	0.01
Qwen3-8B	commonsense	0.9030199916293553	0.3242167214876545	global_0p40	0.4	0.9014179709902901	0.5752264973891998	0.001602020639065227	-0.25100977590154533	0.01
Llama-3.1-8B-Instruct	magicoder	0.5304878048780488	0.6456217881603993	global_0p25	0.25	0.5487804878048781	0.6494807234120759	-0.018292682926829285	-0.0038589352516765763	0.01
Llama-3.1-8B-Instruct	metamath	0.8081880212282032	0.6358400576501918	global_0p40	0.4	0.8097043214556482	0.631454062002421	-0.0015163002274449777	0.004385995647770757	0.01
Llama-3.1-8B-Instruct	tulu	0.6506469500924215	0.6637116892363657	global_0p70	0.7	0.6524953789279113	0.6661756347490472	-0.001848428835489857	-0.0024639455126814758	0.01
Llama-3.1-8B-Instruct	commonsense	0.8766370288914633	0.334012430435258	global_0p55	0.55	0.8778576702024903	0.43256697770269836	-0.0012206413110269487	-0.09855454726744034	0.01
