case	base_model	task	module	layer	module_type	utility	utility_ci_low	utility_ci_high	functional_concentration	raw_concentration	gradient_compatibility	gradient_importance	p99_contribution	utility_z_within_case
qwen_magicoder	Qwen3-8B	magicoder	layers.11.mlp.gate_proj	11	gate_proj	9.422358430799891e-05	-0.00039032367592463726	0.000531641894676646	0.8756233462957155	0.7151949575396396	-1.8093705335235542e-05	1.5433685501287542e-05	0.006497027299519261	1.6429448285146424
qwen_magicoder	Qwen3-8B	magicoder	layers.11.mlp.up_proj	11	up_proj	-0.0001647289170593512	-0.0007413182407617569	0.0004191382070545285	0.9538919161131373	0.7777139010590846	-2.44368562081498e-05	2.262459688185327e-05	0.015643340121332835	0.3810017681706597
qwen_magicoder	Qwen3-8B	magicoder	layers.11.self_attn.k_proj	11	k_proj	-0.0002867239909093888	-0.000831775739789009	0.0002473720456244515	0.801428447486474	0.5566130382003636	-2.789391173278717e-06	6.994664772751194e-06	0.005507013265311739	-0.2135120365939133
qwen_magicoder	Qwen3-8B	magicoder	layers.11.self_attn.o_proj	11	o_proj	-0.00019631595885167356	-0.0006760798944313018	0.00028463992305466373	0.9761214806374747	0.7816973929760638	-5.209706873936201e-05	1.2541113647624796e-05	0.018713242385553892	0.22706987727894104
qwen_magicoder	Qwen3-8B	magicoder	layers.11.self_attn.q_proj	11	q_proj	-0.0001424928424788303	-0.0006635825867291357	0.0003818746808855257	0.9842526310719549	0.7546130997211762	1.0242454482508706e-05	1.7204502819995737e-05	0.009000521844077193	0.48936395759926354
qwen_magicoder	Qwen3-8B	magicoder	layers.11.self_attn.v_proj	11	v_proj	8.431394569209365e-05	-0.0003716291584929482	0.0005616623419718659	0.9960335002328328	0.8594368892721727	7.076965346100545e-05	1.368650971458131e-05	0.023775853134270636	1.5946525756272365
qwen_magicoder	Qwen3-8B	magicoder	layers.12.mlp.down_proj	12	down_proj	-0.0002950272354923311	-0.0007323472928561148	0.00014376723070125104	0.8716408460382792	0.7460811822176443	-3.7090002805944156e-05	1.4447961155200303e-05	0.010059213347149161	-0.25397591249568885
qwen_magicoder	Qwen3-8B	magicoder	layers.12.mlp.gate_proj	12	gate_proj	-0.0003832316056626742	-0.0008519267693894809	6.759479397633e-05	0.947570667893118	0.7241725335454354	-7.957724240306073e-05	1.4200986262373267e-05	0.006746036390294522	-0.6838188073923611
qwen_magicoder	Qwen3-8B	magicoder	layers.12.mlp.up_proj	12	up_proj	-0.00012839585542678833	-0.0006138344341125645	0.00037248928832714665	0.8975694516802996	0.6749723665486208	-6.191212733242977e-05	1.611005534921985e-05	0.010369521438193127	0.5580622512560103
qwen_magicoder	Qwen3-8B	magicoder	layers.12.self_attn.k_proj	12	k_proj	-6.110611997666906e-05	-0.0005955722518875951	0.00046725559857536405	0.9324389446669277	0.5779743442689238	-4.889095485864128e-07	3.879322060405297e-06	0.004336316043252484	0.8859826777252604
qwen_magicoder	Qwen3-8B	magicoder	layers.12.self_attn.o_proj	12	o_proj	-0.0004697158688404521	-0.0009498283633443175	9.336701182068125e-06	0.9779847362822616	0.8205195823039513	-4.243928000550884e-05	1.9795265899364748e-05	0.033167118722057166	-1.1052791724009075
qwen_magicoder	Qwen3-8B	magicoder	layers.12.self_attn.q_proj	12	q_proj	-0.00040084123611450195	-0.0009407519805626791	0.00015226517055855362	0.9717189260200945	0.638009002698631	-1.0272130613297058e-05	7.719775361902548e-06	0.0053196263674893576	-0.7696351282487544
qwen_magicoder	Qwen3-8B	magicoder	layers.12.self_attn.v_proj	12	v_proj	-3.505681381850946e-05	-0.0005554178699118192	0.0004721106075849685	0.9986306462339217	0.9477980354557136	0.00018851529494740943	3.345683764270843e-05	0.039647406734048915	1.0129277389217612
qwen_magicoder	Qwen3-8B	magicoder	layers.13.mlp.down_proj	13	down_proj	-0.00016241752710498747	-0.0006540409793130687	0.0003387119926390092	0.9233992246474367	0.8307931584978718	-3.621319010138782e-05	1.4222189249770391e-05	0.00802722537856881	0.39226577410710084
qwen_magicoder	Qwen3-8B	magicoder	layers.13.mlp.gate_proj	13	gate_proj	-0.0003771311679824454	-0.0009095466802599	0.00014137690123475942	0.9230229164682676	0.6872778388951042	3.1461197026595244e-06	1.3259292651111989e-05	0.006533646103140752	-0.6540897839035912
qwen_magicoder	Qwen3-8B	magicoder	layers.13.mlp.up_proj	13	up_proj	-4.5880797456522455e-05	-0.0005325269503671614	0.0004262451723706513	0.9556950740904259	0.7350472058061773	-2.267744940090954e-05	1.978916756017431e-05	0.01090730550021903	0.9601796443285745
qwen_magicoder	Qwen3-8B	magicoder	layers.13.self_attn.k_proj	13	k_proj	-3.409727675015809e-05	-0.00048114868705389927	0.00042474559951023895	0.8751156676134451	0.457150502414324	-1.5165038091759111e-06	3.6176166847020656e-06	0.0035321351419999323	1.0176038132525942
qwen_magicoder	Qwen3-8B	magicoder	layers.13.self_attn.o_proj	13	o_proj	2.109271581055688e-05	-0.00043603947660962085	0.0004739081212243091	0.8670753577759971	0.6549275080070668	-3.9130328139170864e-05	1.0271586890980576e-05	0.015291370830355824	1.2865590376457716
qwen_magicoder	Qwen3-8B	magicoder	layers.13.self_attn.q_proj	13	q_proj	-0.0001965940731470702	-0.0006620553795431481	0.00029523525325978356	0.9548118470633741	0.5901147059228913	-6.755004532498419e-07	6.239544787703116e-06	0.0038462371080770393	0.2257145537999051
qwen_magicoder	Qwen3-8B	magicoder	layers.13.self_attn.v_proj	13	v_proj	-0.0003304454635401241	-0.0008173151644038372	0.00014223077135985007	0.9941202730434686	0.8576536387711181	-2.827060086199888e-05	1.1596916255052904e-05	0.019459658151572832	-0.42657817298201456
qwen_magicoder	Qwen3-8B	magicoder	layers.14.mlp.down_proj	14	down_proj	-0.0003685662980939521	-0.0008877404034137726	0.00015647063245538797	0.9270801335792526	0.8045822543449407	-7.12092124244857e-05	1.7712080356655126e-05	0.008800630425769077	-0.6123509396697582
qwen_magicoder	Qwen3-8B	magicoder	layers.14.mlp.gate_proj	14	gate_proj	-0.0002619958803301952	-0.0007315458516117002	0.0002081005543958941	0.8998490528440368	0.6504102619889846	-8.425179932773741e-05	1.6461753502598014e-05	0.0066473537545447626	-0.09300550595197175
qwen_magicoder	Qwen3-8B	magicoder	layers.14.mlp.up_proj	14	up_proj	-0.0003651930171935285	-0.0008319210138965826	9.81021428205919e-05	0.9344477840259445	0.6744942180091533	-3.056419709598612e-05	1.4724280322362853e-05	0.008936609825848	-0.5959120622679074
qwen_magicoder	Qwen3-8B	magicoder	layers.14.self_attn.k_proj	14	k_proj	-0.0003028328790039313	-0.0007700334379418951	0.00015933004314782153	0.614500275988931	0.43853537847122154	-4.83473811243124e-06	2.8951493646604205e-06	0.0024110025355061956	-0.2920148486286489
qwen_magicoder	Qwen3-8B	magicoder	layers.14.self_attn.o_proj	14	o_proj	-0.00043580888724717936	-0.0008565488897386144	-2.860009181695085e-06	0.8146527630761984	0.5824865117611718	-5.069805153736299e-05	1.56567932254045e-05	0.01552642081981199	-0.940041609940981
qwen_magicoder	Qwen3-8B	magicoder	layers.14.self_attn.q_proj	14	q_proj	-5.174916787225692e-05	-0.0005589142350144073	0.0004055541314062525	0.963080960935087	0.6157927633969872	-1.4313249877130238e-05	8.531721908781933e-06	0.004247677493877024	0.9315815451306119
qwen_magicoder	Qwen3-8B	magicoder	layers.14.self_attn.v_proj	14	v_proj	-0.0003003418201305827	-0.0008695230804017333	0.00026647201510237846	0.9840119863765058	0.7610296766327714	-1.008471598233016e-05	9.96484553533128e-06	0.01297411543616432	-0.2798752692017986
qwen_magicoder	Qwen3-8B	magicoder	layers.15.mlp.down_proj	15	down_proj	-0.00022559258781495642	-0.0006898727512261906	0.0002285326907380676	0.9452364455104981	0.8163132649154933	3.826213310564197e-05	1.4479101658431845e-05	0.007534881958967903	0.0843972305371757
qwen_magicoder	Qwen3-8B	magicoder	layers.15.mlp.gate_proj	15	gate_proj	-0.000433637836917502	-0.000863751008740214	-1.5092595312440066e-05	0.9607895098658757	0.7473232124233744	-2.1243062135189653e-05	2.0783404020212895e-05	0.008413978480465996	-0.9294615155888231
qwen_magicoder	Qwen3-8B	magicoder	layers.15.mlp.up_proj	15	up_proj	-0.00023384172408307186	-0.0006691199589948186	0.0001793822670569183	0.9533093761034277	0.7093469979612121	5.4958203117457144e-05	1.805200376370977e-05	0.010010239109467616	0.0441970385621517
qwen_magicoder	Qwen3-8B	magicoder	layers.15.self_attn.k_proj	15	k_proj	-0.00016647845995230754	-0.0006761109853377107	0.00036071997563369857	0.9185968751668894	0.44085041374610917	-2.5933959115957616e-06	4.402628226800926e-06	0.003590776780774611	0.37247578946459436
qwen_magicoder	Qwen3-8B	magicoder	layers.15.self_attn.o_proj	15	o_proj	-5.413970497787976e-05	-0.0005549183603925782	0.00043626038632431943	0.9737053966852601	0.7617673401399182	-7.480053875216402e-05	1.7412613715278015e-05	0.02162197944674466	0.9199318344886744
qwen_magicoder	Qwen3-8B	magicoder	layers.15.self_attn.q_proj	15	q_proj	-0.0001553905303360986	-0.0006011955623255401	0.0003174622588958893	0.9669963849596463	0.6735906906036312	-3.3394520994653045e-05	1.7032813856567607e-05	0.005415684185562107	0.4265101616327468
qwen_magicoder	Qwen3-8B	magicoder	layers.15.self_attn.v_proj	15	v_proj	-0.00041363742507872033	-0.0008696541739780395	5.710183597001851e-05	0.980722806244609	0.7615726367364493	-1.2514088118847779e-06	1.3870867058433065e-05	0.013559147036314114	-0.8319942936438706
qwen_magicoder	Qwen3-8B	magicoder	layers.16.mlp.down_proj	16	down_proj	-0.0001355546419737769	-0.0005771111269466212	0.0003044218802061235	0.9210363435414376	0.9115919395789596	0.0002213109582054275	2.0064931354720468e-05	0.009071529341321286	0.5231756177778479
qwen_magicoder	Qwen3-8B	magicoder	layers.16.mlp.gate_proj	16	gate_proj	-0.00024872383133309786	-0.0007067430092663062	0.00020262702810959683	0.9628382865067285	0.8022223161440991	-3.886587789141621e-05	2.56516613980798e-05	0.01438497133448482	-0.028327350537389513
qwen_magicoder	Qwen3-8B	magicoder	layers.16.mlp.up_proj	16	up_proj	-0.0001154733730144188	-0.0005595814680955449	0.00031747606995164335	0.9928386250511672	0.8710494506601286	0.0002654604326797898	3.37435209027361e-05	0.018689943221857176	0.6210368775546502
qwen_magicoder	Qwen3-8B	magicoder	layers.16.self_attn.k_proj	16	k_proj	-0.00012534820154064993	-0.0006480396374082956	0.00037717907460498013	0.7280391739340927	0.4561960360588393	3.683106198266134e-06	5.626791323805429e-06	0.002404809651624756	0.5729142633108653
qwen_magicoder	Qwen3-8B	magicoder	layers.16.self_attn.o_proj	16	o_proj	-0.00030749828600492636	-0.0007935089227117476	0.00017829126999026348	0.9806148663628984	0.8054048489001338	5.2300641598480545e-05	1.2205964265021593e-05	0.01791791346100608	-0.3147505934370529
qwen_magicoder	Qwen3-8B	magicoder	layers.16.self_attn.q_proj	16	q_proj	-4.3275170638913015e-05	-0.0005015345626190061	0.00043723062902200374	0.9853464189408873	0.7727063876104002	6.0338925650413155e-05	1.1275503544416985e-05	0.006458766190954844	0.972877543221097
qwen_magicoder	Qwen3-8B	magicoder	layers.16.self_attn.v_proj	16	v_proj	-0.0003420239100690748	-0.0008607031380543943	0.0001693868795867815	0.9692240537925951	0.7599839387994659	1.690654511515588e-05	1.3980281908596485e-05	0.013315504316969328	-0.48300296196694714
qwen_magicoder	Qwen3-8B	magicoder	layers.17.mlp.down_proj	17	down_proj	-0.00019847503939612968	-0.0006637609823316824	0.0002895564024077086	0.9770628013845863	0.8720789546834263	0.000195954170135714	2.2874644159469754e-05	0.01640437104959991	0.21654811481125616
qwen_magicoder	Qwen3-8B	magicoder	layers.17.mlp.gate_proj	17	gate_proj	-0.0002808716209208379	-0.0008080589264386989	0.00023843206343103618	0.9965562577887547	0.9393656006007237	0.00018410840226007198	3.419949970352392e-05	0.03031103195688419	-0.18499191164968526
qwen_magicoder	Qwen3-8B	magicoder	layers.17.mlp.up_proj	17	up_proj	-8.28814799668359e-05	-0.0006747681586468805	0.000506894064487003	0.9926143434587678	0.905784809504672	0.0005478334662327611	5.725052183254725e-05	0.029573114773645166	0.7798656706255646
qwen_magicoder	Qwen3-8B	magicoder	layers.17.self_attn.k_proj	17	k_proj	-0.0001019173469699797	-0.0005627426211951209	0.0003709326085985684	0.7490747195236126	0.5729253753716511	-4.954336807513874e-05	7.165447960153958e-06	0.003107148227852739	0.6870989271671939
qwen_magicoder	Qwen3-8B	magicoder	layers.17.self_attn.o_proj	17	o_proj	-0.0002000058283571337	-0.0006081499037195424	0.00018782144198652137	0.9844817806655378	0.800468837004491	0.00015545914574747273	2.5219660491816117e-05	0.03017929928135655	0.2090881810551045
qwen_magicoder	Qwen3-8B	magicoder	layers.17.self_attn.q_proj	17	q_proj	-0.000273072573005176	-0.0007663862321709023	0.0002046424529102979	0.9553752805185055	0.6637574475651998	-3.158343503435553e-05	1.3198455779553049e-05	0.005763782227762449	-0.14698511757551666
qwen_magicoder	Qwen3-8B	magicoder	layers.17.self_attn.v_proj	17	v_proj	-0.0005054902590689112	-0.0010453309253102444	1.0238593963325693e-05	0.9792054083645538	0.8069030725168217	0.0001825558077727972	2.1417526578621817e-05	0.014373944463094632	-1.279617104061967
qwen_magicoder	Qwen3-8B	magicoder	layers.18.mlp.down_proj	18	down_proj	-0.00010698337535389134	-0.0005743044688076269	0.000372566307177309	0.9911112556204142	0.8873191627509418	0.00025762523278411445	2.755870047297522e-05	0.012132963254083603	0.66241084989887
qwen_magicoder	Qwen3-8B	magicoder	layers.18.mlp.gate_proj	18	gate_proj	-0.000383968358157111	-0.0008739880118213716	0.0001045621290314392	0.9965570525419655	0.9258561761260129	0.00020387114446326172	3.75940599324717e-05	0.02651176585407547	-0.687409194404019
qwen_magicoder	Qwen3-8B	magicoder	layers.18.mlp.up_proj	18	up_proj	-3.466913934613838e-05	-0.0005318779376198033	0.00044859431561876427	0.9916660844625053	0.8792509369489061	0.00033806083712352875	4.020303828965565e-05	0.02356096287469189	1.0148169777107205
qwen_magicoder	Qwen3-8B	magicoder	layers.18.self_attn.k_proj	18	k_proj	-0.0001616259334517307	-0.0006462236469397779	0.00032894228753007796	0.3751635015524387	0.4123878342794673	6.872691536766258e-06	6.241468828374023e-06	0.003745128816946924	0.39612341638537574
qwen_magicoder	Qwen3-8B	magicoder	layers.18.self_attn.o_proj	18	o_proj	-0.00015994002584551203	-0.000596300017882566	0.00027273195322419724	0.9825039957364101	0.7686012572236083	7.154545681169918e-05	1.927315972213079e-05	0.026774048104579545	0.4043392837464354
qwen_magicoder	Qwen3-8B	magicoder	layers.18.self_attn.q_proj	18	q_proj	-0.0001546669690335383	-0.0006232728540408807	0.0003203364974651179	0.9446944051455537	0.7316777914570969	5.8822913527823e-05	1.7047207897548885e-05	0.007230626605526458	0.4300362645268219
qwen_magicoder	Qwen3-8B	magicoder	layers.18.self_attn.v_proj	18	v_proj	-0.00042627507545908944	-0.0009219567306706163	3.7005061253171964e-05	0.9278271666997022	0.6506583026353695	4.236141197531021e-05	1.3825218362897055e-05	0.01250428443741078	-0.8935808591813721
qwen_magicoder	Qwen3-8B	magicoder	layers.19.mlp.down_proj	19	down_proj	-6.186644561955186e-05	-0.0005055576196459473	0.0003734884569879434	0.9390985959032261	0.7485382422311609	6.40348630405334e-05	1.568829178800963e-05	0.010435917215353422	0.8822774126145889
qwen_magicoder	Qwen3-8B	magicoder	layers.19.mlp.gate_proj	19	gate_proj	-0.0004686139157561005	-0.0010495470134449787	0.00010807986875049394	0.9986646978606546	0.9660167272703534	0.00012554603982309172	5.822679419206884e-05	0.04740572377955719	-1.0999090676895054
qwen_magicoder	Qwen3-8B	magicoder	layers.19.mlp.up_proj	19	up_proj	-0.0001571754940220567	-0.0007066537427609083	0.00037492809237026694	0.995464971684324	0.8993963546308467	0.00016591297250066024	4.711496256207579e-05	0.037321544878125626	0.41781156816650555
qwen_magicoder	Qwen3-8B	magicoder	layers.19.self_attn.k_proj	19	k_proj	-0.00037660132177540516	-0.0009002337445978258	0.00015191413828583985	0.47611310804574986	0.543122905420567	-3.513411631359677e-07	8.852896646583492e-06	0.002579999797097283	-0.6515077051806849
qwen_magicoder	Qwen3-8B	magicoder	layers.19.self_attn.o_proj	19	o_proj	-0.0003391674063244804	-0.0009221887979351107	0.00025415167090345566	0.9695299023384897	0.7341166073567201	0.00010315352971235627	1.809434486837478e-05	0.016304151070646863	-0.4690824743937307
qwen_magicoder	Qwen3-8B	magicoder	layers.19.self_attn.q_proj	19	q_proj	-0.0002594657364438792	-0.0008065353162953111	0.00027194594750638856	0.9697542404999103	0.7268881661639199	-8.795916759191615e-05	1.6440872917180805e-05	0.006873371843456676	-0.08067545506561721
qwen_magicoder	Qwen3-8B	magicoder	layers.19.self_attn.v_proj	19	v_proj	-0.00037152307932494116	-0.0008930847842673786	0.00015074034816906043	0.9848532553160504	0.8028637689830569	0.00016057672147677698	1.7179598543128922e-05	0.013170393640319474	-0.6267601055812656
qwen_magicoder	Qwen3-8B	magicoder	layers.2.mlp.down_proj	2	down_proj	-4.1473717963109254e-05	-0.0005533017279183278	0.00046974199472880744	0.9788948688438377	0.8263120997196985	-1.5584557133313644e-05	6.405423484136774e-06	0.01195776830627088	0.9816564918343167
qwen_magicoder	Qwen3-8B	magicoder	layers.2.mlp.gate_proj	2	gate_proj	-0.00011577860253756164	-0.0005696165634960425	0.0003476443654689632	0.9991645454483025	0.9243099725461804	-4.690829993086705e-06	6.272459647445587e-06	0.003023321191329176	0.6195494145005831
qwen_magicoder	Qwen3-8B	magicoder	layers.2.mlp.up_proj	2	up_proj	-9.753298564035384e-05	-0.0005859765483707678	0.00040221312617669274	0.9993970053346971	0.9278199672565612	3.330558408897389e-05	1.9940331917217854e-05	0.007026856660002159	0.7084650631370992
qwen_magicoder	Qwen3-8B	magicoder	layers.2.self_attn.k_proj	2	k_proj	-0.0001218730553251798	-0.0005472090003676101	0.00029812901296087944	0.4178599220721519	0.2897120254432481	2.3457976737359577e-07	1.6886917753994056e-06	0.0023328359228471864	0.5898495569540496
